Snowball Map,Dedupe Key,brizo_id,Name,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Title,Role,Contact Email,Contact Phone,Established,Phone,Most Common Email,Cuisines (Regional),Price Range,Dishes
1,307 10th S94607,04a7d7c8f1c41669,Yummy Dim Sum,307 10th St,Oakland,CA,94607,United States,,,,,,,,(510) 893-3388,,-,$,-
3,10118 Band95014,04cb3589fe98ae11,Duan Chun Zhen Noodle House,10118 Bandley Dr,Cupertino,CA,95014,United States,,,,,,,,(408) 320-2228,,Chinese,$$,Soups; Seafood; Fried Rice; Noodles
5,1042 Tarav94116,11738389c37e3966,Happy Family Gourmet,1042 Taraval St,San Francisco,CA,94116,United States,,,,,stevensmcgregorui53@gmail.com,,,(415) 592-8801,stevensmcgregorui53@gmail.com,Chinese,$$,
6,3525 W Car90503,11ac689c3208cc5b,Mugimaru + Toritetsu,3525 W Carson St,Torrance,CA,90503,United States,,,,,,,,(424) 237-3104,,Japanese,$$,Noodles
11,2221 Cleme94121,0d0733a0696eba1f,Izakaya Mayumi,2221 Clement St,San Francisco,CA,94121,United States,,,,,,,2019.0,(415) 742-4159,,Japanese,$,Seafood; Sushi
13,5522 Monte95138,0ae4fb90c1157c51,New Jade China,5522 Monterey Hwy,San Jose,CA,95138,United States,Michael,Liang,,,,,2010.0,(408) 229-8882,jadechina2524@gmail.com,Chinese,$,Soups; Seafood; Noodles
14,9670 Haven91730,0bb4dda78007053e,Skipjack Poke,9670 Haven Ave,Rancho Cucamonga,CA,91730,United States,,,,,skipjackpokeco@gmail.com,,2017.0,(909) 476-5089,skipjackpokeco@gmail.com,Hawaiian; Japanese,$$,Seafood; Sushi; Poke
15,80 Senter 95111,0db58234c7c09d3b,China Station Restaurant,80 Senter Rd,San Jose,CA,95111,United States,Jim,Shao,Owner,Owner,,,1977.0,(408) 225-9101,,Chinese,$$,Soups; Seafood; Fried Rice; Noodles
17,833 S Till47304,0d6d3f170222a516,China Kitchen,833 S Tillotson Ave,Muncie,IN,47304,United States,Qin,Wei,Owner,Owner,,,2005.0,(765) 282-9199,,Chinese,$,Soups; Fried Rice; Chicken Wings; French Fries; Shrimp
23,23981 Alic92691,0ca79cbcbb1125a5,Poki Cat,23981 Alicia Pkwy,Mission Viejo,CA,92691,United States,Jimmy,L,Business Owner,Owner,,,2019.0,(949) 273-3511,pokicatcorona@gmail.com,Japanese,$$,Burritos; Salads; Sushi; Poke
25,1125 S San92545,1151741aef87848e,Good China Express,1125 S Sanderson Ave,Hemet,CA,92545,United States,,,,,,,,(951) 925-1999,,Chinese,$,Fried Rice; Chicken
26,58080 29 P92284,106432bdd206c376,Good China Star,58080 29 Palms Hwy,Yucca Valley,CA,92284,United States,,,,,,,2013.0,(760) 853-0188,,Chinese,$,
30,3401 Pache93313,1294d5cda041140a,Sushi N Grill,3401 Pacheco Rd,Bakersfield,CA,93313,United States,,,,,,,,(661) 834-4227,,Japanese,$$,Sashimi; Salads; Sushi
32,2801 P St95816,01c416ea87fc87cc,Lou's Sushi,2801 P St,Sacramento,CA,95816,United States,,,,,,,,(916) 451-4700,,Japanese,$$,Sushi
33,68100 Ramo92234,01a868135196e5b6,Otori Japanese Cuisine,68100 Ramon Rd,Cathedral City,CA,92234,United States,,,,,,,2013.0,(760) 699-5486,,Japanese,$$,Sushi
36,20 E Washi94952,0906c5cb83e15a1e,Paradise Sushi & Grill,20 E Washington St,Petaluma,CA,94952,United States,,,,,allyoucaneat@paradisesushi.net,,2011.0,(707) 781-9695,hibachi@paradisesushi.net,Japanese,$$,Smoked Salmon; Sushi
37,1072 S De 95129,0987918f30918941,LeShan Beef (Chefus),1072 S De Anza Blvd,San Jose,CA,95129,United States,,,,,,,,(408) 320-2851,,Chinese,$,French Fries
39,1012 Howar94401,09f7128677d50b97,Hot Wok Bistro,1012 Howard Ave,San Mateo,CA,94401,United States,Joyce,Wang,,,,,2007.0,(650) 548-1758,jliang@hotwokbistrosm.com,Chinese,$,Chicken; Noodles
44,2200 S Gro91761,056a8f01a751f0b5,Wabi Sabi,2200 S Grove Ave,Ontario,CA,91761,United States,Tai,Chan,Owner,Owner,,,2010.0,(909) 923-8888,,Japanese,$$,Salads; Teppanyaki; Sushi; Chicken; Noodles
45,534 E Vall91776,0581a02955e174f9,Qin's Garden,534 E Valley Blvd,San Gabriel,CA,91776,United States,,,,,,,2018.0,(626) 703-4747,,Chinese,$$,Seafood; BBQ; Noodles
47,4496 Broad94611,034377402dc13ad6,TikDak,4496 Broadway,Oakland,CA,94611,United States,,,,,,,2020.0,(510) 418-1801,,Korean; Japanese,$$,Soups; Sushi; Chicken Wings; Noodles
52,4804 San J95628,01eae20bb1b17949,Szechuan Garden,4804 San Juan Ave,Fair Oaks,CA,95628,United States,Coquan,Si,,,,,2006.0,(916) 961-9381,,Chinese,$$,Seafood; Chicken; Noodles
53,4236 Madis95660,01e614bd08abd730,Ninja Hibachi Express,4236 Madison Ave,North Highlands,CA,95660,United States,,,,,,,,(916) 621-3387,,Japanese,$,Sushi; Noodles; French Fries
54,452 Old Ma93546,0258865388ea00db,GOJIRA Ramen & Sushi,452 Old Mammoth Rd,Mammoth Lakes,CA,93546,United States,,,,,gojiraramen@gmail.com,,,(760) 965-0080,gojiraramen@gmail.com,Japanese,$$,Sushi; Ramen
56,6229 Santa95119,0820a5babe39afee,Ramen Champ,6229 Santa Teresa Blvd,San Jose,CA,95119,United States,,,,,akinaifoods@gmail.com,,,(408) 420-0920,akinaifoods@gmail.com,Japanese,$$,Curry; Ramen
57,202 Clemen94118,0950b249bc9f2f8d,Oishinbo Sushi,202 Clement St,San Francisco,CA,94118,United States,,,,,,,,(628) 432-0764,,Japanese,,Sushi
58,4984 E Kin93727,065003f153cd0c12,A Star Buffet,4984 E Kings Canyon Rd,Fresno,CA,93727,United States,,,,,,,,(559) 255-2788,,Chinese,$$,Sushi
59,75 Battery94111,09a8d9dc9f8b4435,Lee's Deli,75 Battery St,San Francisco,CA,94111,United States,,,,,,,,(415) 788-7575,,Chinese,$,Sandwiches; French Fries
61,1130 Fremo93955,0f341c1d72d25634,Wakatobi Japanese Grill,1130 Fremont Blvd,Seaside,CA,93955,United States,Ray,H,Business Owner,Owner,,,2017.0,(831) 717-4624,order@wakatobirestaurants.com,Japanese,$$,Sashimi; French Fries; Steaks; Hibachi; Salads; Smoked Salmon; Sushi; Grill; Noodles
62,8338 W 3rd90048,0fbe2b71bea41d02,Basbussa,8338 W 3rd St,Los Angeles,CA,90048,United States,,Sigal,Executive Chef,Back of the House,,,,(323) 452-9250,info@basbussa.com,Chinese,$$,Dumplings; Bagels; Salads
64,43844 Paci94538,0e5e64426e866500,ZhangFei Hot Pot,43844 Pacific Commons Blvd,Fremont,CA,94538,United States,,,,,,,2019.0,(510) 573-2508,,Swiss; Chinese,$$,Soups; Hot Pot; Fondue
66,Mission St93921,0ef9001a8075ee3c,Flying Fish Grill,Mission St,Carmel-by-the-Sea,CA,93921,United States,,,,,,,1975.0,(831) 625-1962,,Japanese,$$$$,Seafood
67,115 W Main91801,104ad80eb322b299,Izakaya Akatora,115 W Main St,Alhambra,CA,91801,United States,,,,,alhambra@akatorala.com,,,(626) 943-7872,alhambra@akatorala.com,Japanese,$$,Sushi
68,2022 W Mon95382,02e45e9283f417c4,Fuji Sushi,2022 W Monte Vista Ave,Turlock,CA,95382,United States,,,,,,,,(209) 250-2132,,Japanese,$$,Sushi
69,39226 Argo94538,039dfb8263a17304,King Noodle,39226 Argonaut Way,Fremont,CA,94538,United States,Harry,Tran,Owner,Owner,,,,(510) 795-2888,,Chinese,$,Noodles
71,1231 Cabri90501,067743b26fd28e50,Kappo Irifune,1231 Cabrillo Ave,Torrance,CA,90501,United States,,,,,,,2015.0,(310) 782-7330,,Japanese,$$,Sushi
76,312 El Cam94066,0b632d1f76ff7bb8,Amami Sushi Bistro,312 El Camino Real,San Bruno,CA,94066,United States,,,,,,,,(650) 869-6088,,Japanese,$$,Seafood; Sashimi; Sushi; Ramen
77,7853 Santa90046,0e18f095bbb021f2,Kung Pao Bistro,7853 Santa Monica Blvd,West Hollywood,CA,90046,United States,Frank,C,Manager,General,,,2001.0,(323) 848-9888,kungpaobistro@gmail.com,Chinese,$$,Noodles
79,12010 Melo80234,0e6a90a48cddfffd,Sushi North,12010 Melody Dr,Westminster,CO,80234,United States,,,,,,,2013.0,(303) 452-0202,,Japanese,$$,Smoked Salmon; Sushi
80,17005 Rosc91325,0ec22fb2bf51d065,Peking Wok,17005 Roscoe Blvd,Northridge,CA,91325,United States,Justin,Te,Owner,Owner,,,2000.0,(818) 345-1122,,Chinese,$,
82,2825 S Dia91765,13b58e1bc1d4c583,Gook Hwa House,2825 S Diamond Bar Blvd,Diamond Bar,CA,91765,United States,,,,,,,1998.0,(909) 270-8899,,Chinese,$$,Dumplings; Seafood; Chicken Wings; Chicken
83,16161 Broo92708,13e700017aefdaaa,The Vox Kitchen,16161 Brookhurst St,Fountain Valley,CA,92708,United States,Trung Hieu,Nguyen,line cook-expo,Back of the House,,,2017.0,(657) 231-6493,,Vietnamese; Chinese,$$,Chicken Wings; Noodles; French Fries
84,2475 San R94583,2493a5cbfde305ac,Orient Express,2475 San Ramon Valley Blvd,San Ramon,CA,94583,United States,Thomas,Tam,Manager,General,,,1990.0,(925) 743-9516,,Chinese,$,
85,2895 S Bas95008,24618d8628fc6848,Oriental Garden Restaurant,2895 S Bascom Ave,San Jose,CA,95008,United States,Johnny,Chen,Owner,Owner,,,1984.0,(408) 371-6595,,Chinese,$$,
