Snowball Map,Brizo ID,Language Preference,Name,Street,City/Town,Zip/Postal Code,State/Province Code,Country,Cuisines (Regional),Price Range,Opening Hours,Vitality Score,Established,Phone,Most Common Email,Density @5mi,Time Zone Name,Median Price,Full Name,Role,state
20119,ee7bfaec630bd550,English,Swen Chinese Restaurant,1130 University Blvd,Tuscaloosa,35401,AL,United States,"Vietnamese, Chinese",$,"Mon-Sat 11am-10pm, Sun Closed",36,3/1/2020,2053919887,,707,Central,28,Shui Pan,Owner,-
20120,2456cd209d5525a4,English,Asian Cafe,10680 Chantilly Pkwy,Montgomery,36117,AL,United States,Chinese,$$,"Mon 3pm-8:30pm, Tue-Sat 10:30am-8:30pm, Sun 11:30am-8:30pm",41,3/1/2020,3348194111,info@montgomeryasiancafe.com,398,Central,0,,,-
20121,b0a51c4dc1f4d1f5,English,Dale's Southern Grill,1843 Montgomery Hwy S,Hoover,35244,AL,United States,"Southern, Creole, Cajun",$$,"Mon-Sat 11am-9pm, Sun Closed",80,3/1/2020,2059874757,sherah@dalesgrill.com,565,Central,0,Sherah Spain,General,-
20122,02d0cb98ba254283,English,Ding How 2 Chinese Restaurant,4800 Whitesburg Dr SE,Huntsville,35802,AL,United States,Chinese,$$,"Mon 11am-9pm, Tue Closed, Wed-Sun 11am-9pm",25,3/1/2020,2568808883,,731,Central,0,,,-
20123,325b7840ba95ef77,English,Golden City,113 W College St,Columbiana,35051,AL,United States,Chinese,$$,"Mon Closed, Tue-Sun 11am-9pm",31,3/1/2020,2056715388,adrianwang1996@gmail.com,31,Central,26,,,-
20124,7d0324b8225cdbee,English,Kabuki | Japanese Steakhouse,7834 Vaughn Rd,Montgomery,36116,AL,United States,Japanese,$$,"Mon-Fri 11am-3:30pm, Sat Noon-10:30pm, Sun Noon-9:30pm",44,3/1/2020,3342738885,,565,Central,28,Wei di Chen,Owner,-
20125,baac46501e521965,English,Sakura Cafe,7357 Theodore Dawes Rd,Theodore,36582,AL,United States,Japanese,$,"Mon Closed, Tue-Thu 11am-9:30pm, Fri-Sat 11am-10pm, Sun Noon-9:30pm",36,3/1/2020,2516533696,,163,Central,0,,,-
20126,c4699f18cbfc8e06,English,Umi Japanese Steakhouse,201 Cox Creek Pkwy,Florence,35630,AL,United States,Japanese,$$,"Mon-Thu 11am-2:30pm 4:30pm-10pm, Fri 11am-2:30pm 4:30pm-10:30pm, Sat 11am-10:30pm, Sun 11am-9:30pm",64,3/1/2020,2567186868,,315,Central,18,,,-
20127,fb551605cdf619a3,English,Mr Chen's,5461 Atlanta Hwy,Montgomery,36109,AL,United States,Chinese,$$,"Mon-Thu 11am-9pm, Fri-Sat 11am-9:30pm, Sun 11am-9pm",47,3/1/2020,3342609558,,710,Central,0,,,-
20128,2890946d1f62ca21,English,Yamato Steak House Of Japan,105 Mountain St NW,Jacksonville,36265,AL,United States,Japanese,$$,"Mon-Thu 11am-10pm, Fri-Sat 11am-10:30pm, Sun 11am-10pm",57,3/1/2020,2567820588,jacksonvilleyamato@gmail.com,66,Central,22,Jessica Lim,General,-
