Snowball ID,BRIZO_ID,STATUS,ESTABLISHMENT_NAME,STREET,CITY,ZIPCODE,STATE,COUNTRY,CUISINES_REGIONAL,PRICE_RANGE,VITALITY_SCORE,ESTABLISHED,ESTABLISHMENT_PHONE,EMAIL,FULL_NAME,ROLE_TITLE,Language Preference,Lead Score,Version
1,c02ff419741cf918,open,Hibachi Steak House,121 Cox Creek Pkwy S,Florence,35630,Alabama,United States,Japanese,$$,92,0,2567670588,,Manuel Medina,General,Chinese,0.97,1
2,3ae45c468033de78,open,Samurai Japanese Steakhouse & Sushi Bar,23624 AL-55,Andalusia,36420,Alabama,United States,Japanese,$$,45,0,3342225595,,,,Chinese,0.97,1
3,1106ddae2972ef0a,open,Chinatown Restaurant,129 Kelley Blvd,Millbrook,36054,Alabama,United States,Chinese,,41,2008,3342855335,,Chang Shaofei,Owner,Chinese,1.49,1
4,f382196d16b98bc3,open,Chef King,5628 Old Shell Rd,Mobile,36608,Alabama,United States,Chinese,$,34,0,2513422828,,,,Chinese,1.6,1
5,e909726e3a2916b2,open,Green China,9200 Highway 119,Alabaster,35007,Alabama,United States,Chinese,$$,48,0,2056244367,,,,Chinese,0.89,1
6,139214ce29d132bf,open,Tokyo Express,1875 McFarland Blvd N,Tuscaloosa,35406,Alabama,United States,Japanese,$$$,33,2019,2057645813,,,,Chinese,0.57,1
7,06fc6617d9059d00,open,Toki Sushi Steak House,648 Main St W,Rainsville,35986,Alabama,United States,Japanese,$$$,35,0,2566386888,,,,Chinese,0.57,1
8,98f93bf32f255b14,open,Asian House,8000 Madison Blvd,Madison,35758,Alabama,United States,"Japanese, Chinese",,52,0,2563251256,,,,Chinese,0.51,1
9,073bc0163002ece2,open,New China Restaurants,1378 S Forest Ave,Luverne,36049,Alabama,United States,Chinese,$,78,2007,3343352788,,Jin Senz,,Chinese,1.91,1
10,df627e8ca42469cd,open,Bamboo on 2nd,2212 2nd Ave N,Birmingham,35203,Alabama,United States,Japanese,$$,65,0,2057030551,,,,Chinese,1.01,1
11,67339148a8418e9a,open,Super Canton,2200 Ross Clark Cir,Dothan,36301,Alabama,United States,Chinese,$,45,0,3346776966,supercanton1999@gmail.com,,,Chinese,1.6,1
12,10a22f3fed3c22f1,open,Kobe Japanese Steakhouse & Sushi Bar,7760 Eastchase Pkwy,Montgomery,36117,Alabama,United States,Japanese,$$,70,0,3346947700,kobe.montgomery1@gmail.com,,,Chinese,0.87,1
13,461219ddb39ecd8c,open,Royal Buffet,1816 McFarland Blvd,Northport,35476,Alabama,United States,Chinese,$,45,0,2053330361,,,,Chinese,1.31,1
14,40395c03feef2add,open,Buffet City,2401 10th St,Phenix City,36869,Alabama,United States,Chinese,$,45,2004,3342913228,,Tim Chen,,Chinese,1.77,1
15,66e4093eaac5ae89,open,Yuan Mei Asian noodle Chinese style,2370 Hillcrest Rd,Mobile,36695,Alabama,United States,Chinese,$,70,0,2512177932,info@yuanmeimobile.com,,,Chinese,1.43,1
16,1617848d8d708ba4,open,China Pavilion,402 E Martin Luther King Hwy,Tuskegee,36083,Alabama,United States,Chinese,$$,65,1996,3347270061,,Ren Shuang,,Chinese,1.67,1
17,cfff984319f21e5c,open,Wok Express,3150 Overton Rd,Birmingham,35223,Alabama,United States,Chinese,$$,38,2011,2059708588,,,,Chinese,1.06,1
18,612f4e8a818ae17c,open,Lucky Panda,3014 Allison Bonnett Memorial Dr,Bessemer,35023,Alabama,United States,Chinese,$,34,0,2054906503,,,,Chinese,1.39,1
19,082078e124397c12,open,Kt Pho Asian,2 Public Sq W,Jacksonville,36265,Alabama,United States,"Vietnamese, Chinese",,35,0,2566445093,,,,Chinese,1.17,1
20,6fee96b1db2f26a9,open,88 Buffet,6125 University Dr NW,Huntsville,35806,Alabama,United States,Chinese,$$,70,2010,2569719870,,Jackie Lin,Owner,Chinese,1.17,1
21,f164d64ad3af8489,open,Palace Chinese Restaurant,5899 Trussville Crossings Pkwy,Birmingham,35235,Alabama,United States,Chinese,$$,41,2001,2056611668,,Yulan Wang,Owner,Chinese,1.56,1
22,5691b195a4410d08,open,China Doll,806 N Main St,Piedmont,36272,Alabama,United States,Chinese,$$,45,0,2564471888,,,,Chinese,1.31,1
23,457dc6e40fce25f4,open,Oshi Poke Bowl and Sushi,201 Jefferson St N,Huntsville,35801,Alabama,United States,"Hawaiian, Japanese",$$,45,2017,2569457805,maggie@oshipokehsv.com,,,Chinese,0.71,1
24,26cf3b8c1f94726e,open,Ichiban Sushi Florence,173 Cox Creek Pkwy S,Florence,35630,Alabama,United States,Japanese,$$,65,0,2567689998,,,,Chinese,0.94,1
25,37f69ea756f164c7,open,Golden City - Chelsea,16054 US-280,Chelsea,35043,Alabama,United States,"Japanese, Chinese",$$,52,0,2056774060,,,,Chinese,0.51,1
26,1cf44f2c4a4e024d,open,Lotus Garden,1602 AL-5,Marion,36756,Alabama,United States,Chinese,$,23,2005,3346835700,,,,Chinese,1.81,1
27,c75f1840531fc631,open,Peking Garden Restaurant,2316 St Stephens Rd,Mobile,36617,Alabama,United States,Chinese,$,58,1997,2513300207,,Zizia Vahnve,,Chinese,1.96,1
28,2e9ffcad45d8de5b,open,Sakura,11888 US-431,Guntersville,35976,Alabama,United States,Japanese,$$,39,2013,2568781886,,,,Chinese,0.86,1
29,cac66a771a253bc8,open,China Bob,5550 McFarland Blvd,Northport,35476,Alabama,United States,Chinese,$$,56,0,2053399992,info@chinabobnorthport.com,,,Chinese,1.14,1
30,b19a1b3866579f78,open,China Master,2801 S Memorial Pkwy,Huntsville,35801,Alabama,United States,Chinese,$$,37,0,2565330647,,,,Chinese,0.89,1
31,b026086eb1c2ddab,open,Lucky Pot,1780 Opelika Rd,Auburn,36830,Alabama,United States,Chinese,$$$,40,0,3342463100,,,,Chinese,0.89,1
32,5f4f1dcf74940643,open,Red Pearl Restaurant,243 W Valley Ave,Homewood,35209,Alabama,United States,Chinese,$,78,1999,2059459558,,Linda Lin,General,Chinese,1.63,1
33,52a3f02d9c451f5d,open,Great Wall Restaurant,2401 Stemley Bridge Rd,Pell City,35128,Alabama,United States,Chinese,$,35,2005,2053388908,,Chong Xian Chow,,Chinese,1.49,1
34,e3b7c7fc310e6fc2,open,Panda III Chinese Food,1070 N Brindlee Mountain Pkwy,Arab,35016,Alabama,United States,Chinese,$$,39,1998,2569312129,,Wa Ching,Owner,Chinese,1.49,1
35,a0c8f8cfcbf59b6f,open,Osaka Hartselle,1091 Highway 31 NW,Hartselle,35640,Alabama,United States,Japanese,$$$,31,0,2565029512,,,,Chinese,0.69,1
36,b73d4baf96b63a75,open,Fulin's Asian Cuisine,8141 Highway 72 W,Madison,35758,Alabama,United States,Chinese,$$,65,2012,2567217005,vivianyu@fulins.com,,,Chinese,1.03,1
37,880b2b3b648993f6,open,Hunan Chinese Restaurant,1104 Rucker Blvd,Enterprise,36330,Alabama,United States,Chinese,$,34,1987,3343931417,,Abby Loo,Owner,Chinese,1.49,1
38,8476ae4505c42946,open,Chen Express II,3161 Green Valley Rd,Vestavia Hills,35243,Alabama,United States,Chinese,$,41,0,2059686988,,,,Chinese,1.17,1
39,bbf3aa2864789aaa,open,Fuji Japanese Cuisine,218 Davis Loop,Oxford,36203,Alabama,United States,Japanese,$$,52,2003,2568358788,crosbyprice@fujiinoxford.com,,,Chinese,0.97,1
40,2446f22e2e1fbcf0,open,Chow King,1000 Beltline Rd SW,Decatur,35601,Alabama,United States,Chinese,$$,37,0,2565843555,,,,Chinese,1.31,1
41,7aa3284b62384de0,open,New China Restaurant,11521 US-431,Guntersville,35976,Alabama,United States,Chinese,$,24,2010,2568788777,,John Cheung,Owner,Chinese,1.46,1
42,e1b18e58de3c778d,open,Lava Room,116 W Mobile St,Florence,35630,Alabama,United States,Japanese,$$,39,0,2569565282,,,,Chinese,0.94,1
43,ee4a52a5edf11731,open,Pearl Garden Chinese Restaurant,2719 Lurleen B Wallace Blvd,Northport,35476,Alabama,United States,Chinese,$,39,2000,2053390880,,Sam Liew,Owner,Chinese,1.49,1
44,b260765729851a4d,open,Japanese Express,6750 Airport Blvd,Mobile,36608,Alabama,United States,Japanese,$,40,0,2512871236,,,,Chinese,1.26,1
45,b0f4d7c3e07300ee,open,Hubilai Mongolian Stir Fry,627 Boll Weevil Cir,Enterprise,36330,Alabama,United States,Mongolian,$,74,0,3347099147,,,,Chinese,1.43,1
46,8880b1a6d56c9168,open,Mandarin Kitchen,1956 S University Blvd,Mobile,36609,Alabama,United States,Chinese,$$,41,1992,2516618999,,Segul Ou,Owner,Chinese,1.49,1
47,5b5db8153ea8f3ba,open,Tokyo Japanese Steak House,594 Pinnacle Pl,Prattville,36066,Alabama,United States,"Japanese, Chinese",$$,54,2010,3342857088,,Jerry Chang,Operations,Chinese,0.83,1
48,28393eff2c34e766,open,China Chef,514 E Patton Ave,Montgomery,36111,Alabama,United States,Chinese,$,43,2005,3346132828,,Lin Gerry,Owner,Chinese,1.7,1
49,84e72fe1aada7a4e,open,Chen's Buffet,121 Lindberg Ave,Atmore,36502,Alabama,United States,Chinese,$$,34,2004,2513688727,,Shao Feng Chen,Owner,Chinese,1.56,1
50,ff9e0865a0368f5e,open,Tetsujin Japanese Sushi & Hibachi Grill,2413 Dawes Rd,Mobile,36695,Alabama,United States,Japanese,$,48,0,2516399108,,,,Chinese,0.97,1
51,1f3ba9a21e9718a4,open,Sushime Asian Bistro,6290 University Dr NW,Huntsville,35806,Alabama,United States,"Japanese, Vietnamese, Chinese, Thai",$$$,54,0,2568958484,,,,Chinese,0.57,1
