Snowball Map,Dedupe Key,brizo_id,Name,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Title,Role,Contact Email,Contact Phone,Established,Phone,Most Common Email,Cuisines (Regional),Price Range,Dishes
108,5501 Asher72204,197f2bb88b657936,Mike's Cafe,5501 Asher Ave,Little Rock,AR,72204,United States,Jason,Hoang,,,,,2013.0,(501) 562-1515,,Vietnamese; Chinese,$,Soups; Seafood; Salads; Sandwiches; Pho; Chicken Wings; Chicken
148,125 US-6571639,231525e7684047d5,House of Lee Restaurant,125 US-65,Dumas,AR,71639,United States,Chek,Lee,Owner,Owner,,,1986.0,(870) 382-2388,,Chinese,$$,
156,500 Amity 72032,2210878f78ec2a83,Umami Sushi Lounge & Grill Fusion,500 Amity Rd,Conway,AR,72032,United States,Edgar,Sarabia,Territory Manager,General,umami.conway@gmail.com,,2013.0,(501) 358-3880,umami.conway@gmail.com,Japanese,$$,Soups; Smoked Salmon; Seafood; Sushi; Chicken; French Fries
202,1147 N Tah72704,22ef841cb4f374da,Hunan Manor Chinese Restaurant,1147 N Tahoe Pl,Fayetteville,AR,72704,United States,,,,,,,2018.0,(479) 521-3883,,Chinese,$$,Soups; Seafood; Sushi; Noodles
277,1703 W Dew72012,317ee68371f51702,China Buffet,1703 W Dewitt Henry Dr,Beebe,AR,72012,United States,Eric,Young,Principal,Owner,,,2004.0,(501) 882-2882,,Chinese,$,
279,108 Garlan72390,34205951531f07ff,August Moon Chinese Restaurant,108 Garland Ave,West Helena,AR,72390,United States,Ming,Ling,Owner,Owner,,,1992.0,(870) 572-5523,,Chinese,$,
284,7858 Genoa71854,2fbe3a7f4a512031,Roux Ga Roux Cafe & Catering,7858 Genoa Rd,Texarkana,AR,71854,United States,,,,,,,,(870) 779-0008,,American; Creole; Cajun,,
327,2925 S Car72401,141ff318e45a1d52,Big Easy Catering L.L.C,2925 S Caraway Rd,Jonesboro,AR,72401,United States,,,,,,,,(870) 530-5126,,American; Cajun,,French Fries
490,106 Court 72042,8d7c2cfcfc7df553,Dragon Garden,106 Court Sq,De Witt,AR,72042,United States,Steven,Ni,Owner,Owner,,,2004.0,(870) 946-0203,,Chinese,$,
502,2318 W 28t71603,7b684a0525500e85,China Kitchen,2318 W 28th Ave,Pine Bluff,AR,71603,United States,Hong,Lin,,,,,2005.0,(870) 850-6733,,Chinese,$,Chicken
543,32 Sugar C72714,7ec1b420d078c58d,Top China,32 Sugar Creek Ctr,Bella Vista,AR,72714,United States,,,,,,,,(479) 855-6868,,Chinese,$,
602,219 N Shac72211,f97236f106865e2c,Sekisui Sushi Bar & Steakhouse,219 N Shackleford Rd,Little Rock,AR,72211,United States,Jasen,Chi,Owner,Owner,,,2000.0,(501) 221-7070,,Japanese,$$,Sushi
604,2155 W Mar72701,f8be9c732be4e5b8,Chicot Hibachi Express,2155 W Martin Luther King Blvd,Fayetteville,AR,72701,United States,Kenny,Nicoletti,Co-Owner,Owner,kenny@chicothibachiexpress.com,,,(479) 935-3316,kenny@chicothibachiexpress.com,Japanese,$$,Hibachi; Sushi; Grill
631,408 N Gree72901,f703cc7553bf3113,SASS Cuisine,408 N Greenwood Ave,Fort Smith,AR,72901,United States,,,,,,,,(479) 285-7152,,Indian; Chinese,$$,Chicken
699,715 N Arka72801,44dde62c67fb207c,Wind Taste,715 N Arkansas Ave,Russellville,AR,72801,United States,,,,,,,,(479) 967-9463,,Chinese,$,
755,536 US-7172921,6413322f57c6bd2b,China Fun,536 US-71,Alma,AR,72921,United States,Jim,Guo,Owner,Owner,,,2004.0,(479) 632-8288,,Chinese,$,
