Created Date,Lead Source,Lead Channel,Company / Account,Business Phone,Mobile - Primary,Street,Zip/Postal Code,State/Province (text only),Lead Status,Lead Owner,Unqualified Reason,Converted Date,Opportunity Name,Oppt Close Date
10/31/2022,Telemarketer,Telemarketer,SAKURA TERIYAKI CORNER INC,(301) 270-0800,,6843 NEW HAMPSHIRE AVE,20912,MD,SDR Complete,Unqualified Lead Queue,Duplicate
10/31/2022,Telemarketer,Telemarketer,KENNYS LLC,(301) 322-5588,,9301 WOODMORE CENTER DR,20706,MD,SDR Complete,Unqualified Lead Queue,Current Client
10/31/2022,Telemarketer,Telemarketer,OC POKE INC,(410) 533-7599,,215 S BALTIMORE AVE,21842,MD,SDR Complete,Unqualified Lead Queue,Duplicate
10/31/2022,Telemarketer,Telemarketer,NUMBER ONE TASTE,(410) 922-7787,,3695 OFFUTT RD,21133,MD,SDR Complete,Unqualified Lead Queue,Current Client
10/31/2022,Telemarketer,Telemarketer,CHINA CAFE,(301) 705-8888,(240) 888-3822,3935 ST CHARLES PKWY,20602,MD,SDR Complete,Unqualified Lead Queue,Duplicate
10/31/2022,Telemarketer,Telemarketer,JOY LUCK DELIVERY,(410) 263-6800,,905 BAY RIDGE RD,21403,MD,SDR Complete,Unqualified Lead Queue,Current Client
10/31/2022,Telemarketer,Telemarketer,KODO EMPIRE GARDEN,(410) 721-5777,,1166 ROUTE 3 SOUTH SUITE 210,21054,MD,SDR Complete,Unqualified Lead Queue,Lead Does Not Have Phone Ordering Business
10/31/2022,Telemarketer,Telemarketer,ORIENT EXPRESS,(410) 889-0003,,3111 ST PAUL ST,21218,MD,SDR Complete,Unqualified Lead Queue,Duplicate
10/31/2022,Telemarketer,Telemarketer,Jenny’s Express,(301) 933-8111,,2571 ENNALLS AVE,20902,MD,SDR Complete,Unqualified Lead Queue,Duplicate
10/31/2022,Telemarketer,Telemarketer,A ASIA RESTAURANT,(301) 696-1110,,436 PROSPECT BLVD,21701,MD,AE Assigned,Unqualified Lead Queue,Duplicate
10/31/2022,Telemarketer,Telemarketer,"ASIAN BOY -duplicated, DO NOT CALL",(410) 392-2726,,1197 E PULASKI HWY L,21921,MD,SDR Complete,Unqualified Lead Queue,Duplicate
10/31/2022,Telemarketer,Telemarketer,ASIAN CARRY OUT,(301) 422-4248,,2662 2506 UNIVERSITY BLVD E,20783,MD,SDR Assigned,Unqualified Lead Queue,Current Client
10/31/2022,Telemarketer,Telemarketer,CHINA SEA RESTAURANT,(301) 682-2519,,6944 CRESTWOOD BLVD,21703,MD,SDR Complete,Unqualified Lead Queue,Duplicate
10/31/2022,Telemarketer,Telemarketer,CHINESE EXPRESS,(301) 656-6111,,7613 WISCONSIN AVE,20814,MD,SDR Complete,Unqualified Lead Queue,Lead Does Not Have Phone Ordering Business
