,List Version,Snowball Map,Name,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Title,Role,Contact Email,Contact Phone,Established,Estimated Employees,Business Phone,All Phone (Print Shop),Address Check,Name + City Check,Contact Count,Most Common Email,Cuisines (Regional),Price Range,Website Technology Vendors,ID,drop,submit_form,visit_again,inbound_call,Date
0,List - B,19707,I Love Teriyaki,2310 Sunrise Blvd,Rancho Cordova,CA,95670,United States,Candice,Ham,Owner,Owner,,,1997.0,,(916) 852-6060,-,-,-,1,,Japanese,$,Facebook Pixel; GlobalFood; Google Analytics; Oracle GloriaFood; Weebly,19707,drop1-prospect,False,False,False,2023-10-04 00:00:00
1,List - B,19919,Chinatown,25542 Barton Rd,Loma Linda,CA,92354,United States,Eddie,Lor,Owner,Owner,,,2000.0,,(909) 799-6633,-,-,-,1,,Chinese,$,,19919,drop1-prospect,False,False,False,2023-10-06 00:00:00
2,List - B,20883,Prime Wok Express,6506 Lonetree Blvd,Rocklin,CA,95765,United States,Kim,Chang,Owner,Owner,,,,,(916) 788-1688,-,-,-,1,,Chinese,$,DoorDash; Grubhub; Uber Eats,20883,drop1-prospect,False,False,False,2023-10-08 00:00:00
3,List - B,21319,Katana Sushi,13825 Village Place Dr,Midlothian,VA,23114,United States,Song,S,Business Owner,Owner,,,2014.0,,(804) 893-4787,-,-,-,1,katana13825@gmail.com,Japanese,$$,,21319,drop2,False,False,False,2023-10-04 00:00:00
4,List - B,21548,Soho Japanese Bistro,7225 Heritage Square Dr,Granger,IN,46530,United States,Tony,Lim,Owner,Owner,,,2008.0,,(574) 272-2292,-,-,-,1,,Japanese,$$,,21548,drop1-prospect,False,False,False,2023-10-03 00:00:00
5,List - A,3387,China Moon,11290 W Florissant Ave,Florissant,MO,63033,United States,Gng,Lin,Principal,Owner,,,1992.0,,(314) 837-1688,"3148371688, 3148087768","3148371688, 3148087768",-,1,,Chinese,$,BringMeThat; DoorDash; Uber Eats,3387,drop1,False,True,False,2023-10-03 00:00:00
6,List - B,23002,Kyoto Hibachi Express and Sushi,5035 W 71st St,Indianapolis,IN,46268,United States,,,,,,,,,(317) 746-6973,-,-,-,0,,Japanese,$$,DoorDash; Grubhub,23002,drop2,False,False,False,2023-10-14 00:00:00
7,List - A,3531,Akhi Sushi - Southern Market 100 South Queen Street,100 S Queen St,Lancaster,PA,17603,United States,,,,,,,,,(717) 341-8178,-,-,-,0,,Japanese,,Toast Marketplace,3531,drop1,True,False,False,2023-10-04 00:00:00
8,List - B,23201,Bonfire,4021 Lebanon Pike,Hermitage,TN,37076,United States,,,,,,,,,(615) 942-6230,-,-,-,0,bonfirehiringoffice@gmail.com,Mongolian,$$,Menusifu,23201,drop2,False,False,False,2023-10-23 00:00:00
9,List - A,3838,Tamarind,2185 South Rd,Poughkeepsie,NY,12601,United States,,,,,,,,,(845) 632-2230,-,-,-,0,tamarindny@gmail.com,Indian; Chinese,$$,Clover POS; DoorDash; Google Analytics; Grubhub; Toast Email Marketing; Toast Loyalty; Toast Marketplace; Toast Payroll and Team Management; Uber Eats; Yelp Reservation,3838,drop1,False,False,False,2023-10-08 00:00:00
10,List - A,3891,Dotombori,1526 Miner St,Des Plaines,IL,60016,United States,Dae,Yoo,Owner,Owner,,,2009.0,,(847) 699-8477,-,-,-,1,,Japanese,$$,BringMeThat; Culinary Agents,3891,drop1,False,False,False,2023-10-05 00:00:00
11,List - A,3941,Nom Nom Noodle,1006 E Lincoln St,Bloomington,IL,61701,United States,,,,,nomnomnoodle309@gmail.com,,,,(309) 585-2402,-,-,-,0,nomnomnoodle309@gmail.com,Japanese,,Wix Restaurants,3941,drop1,False,True,False,2023-10-03 00:00:00
12,List - B,23711,Snack Shack,618 Upper Falls Blvd,Rochester,NY,14605,United States,,,,,,,,,(585) 685-8008,-,-,-,0,,American; Cajun,$$,Grubhub,23711,drop1-prospect,False,False,False,2023-10-05 00:00:00
13,List - B,23898,Posh Sushi Express,7019 W Village Blvd,Laredo,TX,78041,United States,Carlos,Villarreal,,,,,2007.0,,(956) 753-7674,-,-,-,1,,Japanese,$$,Google Analytics; SinglePlatform; Yelp Reservation; Yelp Waitlist; Zuppler,23898,drop1-prospect,False,False,False,2023-10-07 00:00:00
14,List - B,24285,Yummy Hibachi and Sushi,1370 Ribaut Rd,Port Royal,SC,29935,United States,,,,,,,,,(843) 379-1080,-,-,-,0,,Japanese,$$,Ez Order Now,24285,drop2,False,False,False,2023-10-04 00:00:00
15,List - B,24333,Teriyaki Wok,1160 Old W Liberty St,Sumter,SC,29150,United States,Yung,Chae,Owner,Owner,,,2000.0,,(803) 773-8722,-,-,-,2,,Japanese,$$,,24333,drop1-prospect,True,False,False,2023-10-10 00:00:00
16,List - B,24393,Top's China,6380 Richmond Rd,Williamsburg,VA,23188,United States,Mignon,Yang,Principal,Owner,,,2007.0,,(757) 229-7500,-,-,-,1,,Chinese,$,,24393,drop2,False,False,False,2023-10-18 00:00:00
17,List - A,5869,Joy Garden,241 E Main St,Galesburg,IL,61401,United States,Sencheng,Chen,Owner,Owner,,,1996.0,,(309) 343-1850,-,-,-,2,,Chinese,$,,5869,drop1,False,False,False,2023-10-04 00:00:00
18,List - B,26156,Taste Of China,440 Summit Dr,Lockport,IL,60441,United States,Kevin,Guo,Owner,Owner,,,2002.0,,(815) 836-0643,-,-,-,1,,Chinese,,BringMeThat,26156,drop1-prospect,True,True,False,2023-10-15 00:00:00
19,List - A,7193,Noodle Topia,30120 John R Rd,Madison Heights,MI,48071,United States,,,,,,,,,(248) 591-4092,-,-,-,0,,Chinese,$$,Chinese Menu Online; DoorDash; Google Analytics; Grubhub; MailChimp; Opencart; Squarespace; Uber Eats,7193,drop1,False,False,False,2023-10-04 00:00:00
20,List - B,27475,New King Wok,2025 Adam Clayton Powell Jr Blvd,New York,NY,10027,United States,Chen Zeng,Guan,Principal,Owner,,,2009.0,,(212) 222-2868,-,-,-,1,,Chinese,$,,27475,drop1-prospect,False,False,False,2023-10-04 00:00:00
21,List - B,27480,Hungry Sumo habachi house,609 James Agee St,Knoxville,TN,37916,United States,,,,,,,,,(646) 287-0871,-,-,-,0,,Japanese,,Uber Eats,27480,drop1-prospect,False,False,False,2023-10-05 00:00:00
22,List - B,28007,New Dragon,1170 Collier Rd NW,Atlanta,GA,30318,United States,Jin,Yan,Principal,Owner,,,2002.0,,(404) 350-8733,-,-,-,1,,Chinese,$$,Apple App Store; BringMeThat; Chownow; Delivery.com; DoorDash; EatStreet; Grubhub; Uber Eats,28007,drop1-prospect,False,False,False,2023-10-06 00:00:00
23,List - B,28066,Hing Wong,7922 5th Ave,Brooklyn,NY,11209,United States,,,,,,,,,(718) 866-3295,"7187486688, 9179326615","7187486688, 9179326615",-,0,,Chinese,$,Delivery.com; DoorDash; Google Analytics; Grubhub; MenuPages; Menufy; Uber Eats; WhereYouEat.com,28066,drop2,False,False,False,2023-10-14 00:00:00
24,List - B,28198,Ohana Poke Shop,2931 7th Ave,Marion,IA,52302,United States,,,,,,,,,(319) 200-5667,-,-,-,0,,Hawaiian; Japanese,$$,Bentobox; Uber Eats,28198,drop1-prospect,False,False,False,2023-10-04 00:00:00
25,List - B,28483,Osaka Ramen,2611 Walnut St,Denver,CO,80205,United States,Jeff,O,Executive Chef,Back of the House,,,2014.0,,(303) 955-7938,-,-,-,2,cole@osakaramendenver.com,Japanese,$$,Chownow; Culinary Agents; OpenTable; Squarespace,28483,drop2,False,False,False,2023-10-16 00:00:00
26,List - B,28709,Crawdaddy's on Greenfield,9427 W Greenfield Ave,West Allis,WI,53214,United States,John,Vukelic,President,General,,,2018.0,,(414) 778-2228,-,-,-,2,workatcrawdaddys@gmail.com,Southern; Cajun,$$,Apple App Store; BringMeThat; Chownow; Culinary Agents; DoorDash; Google Analytics; Grubhub; SpotHopper; Spothopper Job Listing; Spothopper Menus; Spothopper Reservations; Spothopper Text Messages; Uber Eats,28709,drop2,False,False,False,2023-10-04 00:00:00
27,List - B,29156,Cholula's Hibachi Grill,1038 E Main St,Mesa,AZ,85203,United States,,,,,info@cholulashibachigrill.com,,,,(480) 454-4729,-,-,-,0,info@cholulashibachigrill.com,Japanese,$$,Facebook Pixel; Google Analytics; Grubhub; The NAI; Toast Email Marketing; Toast Gift Cards; Toast Loyalty; Toast Marketplace; Toast Online Ordering; Toast Payroll and Team Management; Uber Eats; Yelp Reservation; Yelp Waitlist; YourAdChoices,29156,drop1-prospect,False,True,False,2023-10-05 00:00:00
28,List - B,29698,Hong Kong Chinese Restaurant,2600 S Irby St,Florence,SC,29505,United States,Qing,Qui,Principal,Owner,,,2007.0,,(843) 667-8888,-,-,-,1,,Chinese,$$,Uber Eats,29698,drop1-prospect,False,False,False,2023-10-04 00:00:00
29,List - B,29701,Yama Sushi,3909 Spring Mountain Rd,Las Vegas,NV,89102,United States,,,,,,,,,(702) 257-1100,-,-,-,0,,Japanese,$$,BringMeThat; Uber Eats; Wix Restaurants,29701,drop2,False,False,False,2023-10-14 00:00:00
30,List - B,30075,Sushi Ring,11419 19th Ave SE,Everett,WA,98208,United States,Francis,Kishimoto,Manager,General,,,2005.0,,(425) 385-2702,-,-,-,1,,Japanese,$$,BringMeThat; Grubhub; Uber Eats; WooCommerce,30075,drop2,False,False,False,2023-10-04 00:00:00
31,List - B,30608,Eat District,1914 NE 5th Ave,Boca Raton,FL,33431,United States,,,,,eatdistricthealthyasianbowl@gmail.com,,,,(561) 576-2046,-,-,-,0,eatdistricthealthyasianbowl@gmail.com,Chinese,$$,BringMeThat; DoorDash; Grubhub; Toast Email Marketing; Toast Loyalty; Toast Marketplace; Toast Online Ordering; Toast Payroll and Team Management; Uber Eats,30608,drop2,False,False,False,2023-10-22 00:00:00
32,List - B,30737,New China Buffet,2101 7th St S,Clanton,AL,35045,United States,Dennis,Xie,Principal,Owner,,,2004.0,,(205) 280-8858,-,-,-,1,,Chinese,$,SinglePlatform; Uber Eats; Yelp Reservation; Yelp Waitlist,30737,drop2,False,False,False,2023-10-21 00:00:00
33,List - B,30966,Sakurajapan sushi&grill,123 Liberty Way,Fruitland,MD,21826,United States,,,,,,,,,(646) 229-5086,-,-,-,0,,Japanese,$,BringMeThat; Uber Eats,30966,drop2,False,True,False,2023-10-03 00:00:00
34,List - A,11523,Laureles Chinese restaurant,1910 SW 1st St,Miami,FL,33135,United States,,,,,,,,,(305) 643-0099,-,-,-,0,,Chinese,$$,Grubhub,11523,drop1,False,False,False,2023-10-07 00:00:00
