Create Date,Company / Account,Street,State/Province (text only),Rating,Lead Owner,Lead Source,Lead Channel,Business Phone,Mobile - Primary,Zip/Postal Code,Email,Phone,matching_id
7/19/2023,Kizuki Ramen & Izakaya,505 rainier ave n,WA,,Wonders Lead queue,Telemarketer,Enterprise,(425) 517-0253,,98057,zdenko@kizuki.com,(425) 517-0253,505rainierave98057
1/16/2024,Unknown,,IL,,Wonders Lead queue,Marketing Inbound,GetSKT.com Desktop,,(312) 927-3265,,yaolanplace@gmail.com,(312) 927-3265,NANA
10/31/2022,Up to Me Thai Asian & Ramen,547 boston post rd e #6,MA,,Wonders Lead queue,Telemarketer,Telemarketer,(508) 251-0518,,1752,uptomethaikitchen@gmail.com,(508) 251-0518,547bostonpost1752
10/31/2022,SOHO SUSHI  INC,231 sullivan st,NY,,Wonders Lead queue,Telemarketer,Telemarketer,(212) 777-2188,,10012,sohosushi848@gmail.com,(212) 777-2188,231sullivanst10012
10/31/2022,Rice Asian Grill & Sushi Bar,3964 government blvd,AL,,Wonders Lead queue,Telemarketer,Telemarketer,(251) 378-8083,,36693,riceasiangrillandsushibar@yahoo.com,(251) 378-8083,3964government36693
4/4/2023,Yunta Nikkei,"2201 s blvd, ste 130",NC,,Wonders Lead queue,Telemarketer,Telemarketer,(980) 495-2253,,28203,randy.garcia@yuntanikkei.com,(980) 495-2253,2201sblvdst28203
7/19/2023,Kizuki Ramen & Izakaya,4203 sw alaska st,WA,,Wonders Lead queue,Telemarketer,Enterprise,(206) 206-1838,,98116,nuri@kizuki.com,(206) 206-1838,4203swalaska98116
10/31/2022,Noodle Market,470-472 massachusetts ave,MA,,Wonders Lead queue,Telemarketer,Telemarketer,(781) 646-2400,,2474,noodlemarket470@yahoo.com,(781) 646-2400,470472massach2474
3/10/2023,LoLo's Seafood Shack,303 w 116th st,NY,,Wonders Lead queue,Telemarketer,Telemarketer,(646) 649-3356,,10026,lolosseafoodshack@gmail.com,(646) 649-3356,303w116thst10026
10/31/2022,508-8263606 / 9172518033,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,(414) 779-7916,(508) 826-3606,,ivylin1985forever@gmail.com,(414) 779-7916,NANA
