Create Date,Company / Account,Street,State/Province (text only),Rating,Lead Owner,Lead Source,Lead Channel,Business Phone,Mobile - Primary,Zip/Postal Code,Email,Phone,matching_id
4/4/2023,ZEN Japanese Grill & Sushi Bistro,1703 n causeway blvd,LA,,Wonders Lead queue,Telemarketer,Telemarketer,(985) 778-2231,,70471,zensushibistro1703@gmail.com,(985) 778-2231,1703ncauseway70471
4/4/2023,Yaki Sushi Grill BBQ,"5231 university pkwy, ste 113",FL,,Wonders Lead queue,Telemarketer,Telemarketer,(941) 355-5866,,34201,yaki2018fl@gmail.com,(941) 355-5866,5231university34201
10/31/2022,Wild Ginger,48 great neck rd,NY,,Wonders Lead queue,Telemarketer,Telemarketer,(516) 487-8288,,11021,wildgingernyc@gmail.com,(516) 487-8288,48greatneckr11021
4/4/2023,Wa Sushi,"908 sr 436, ste 924",FL,,Wonders Lead queue,Telemarketer,Telemarketer,(407) 636-3251,,32707,wasushi2015@gmail.com,(407) 636-3251,908sr436ste32707
4/4/2023,Dakota Prime Steak House and Sushi Bar,2216 w landis ave,NJ,,Wonders Lead queue,Telemarketer,Telemarketer,(856) 696-3800,,8360,vinelandramada@gmail.com,(856) 696-3800,2216wlandisa8360
3/22/2023,Lost Bowls,36 n clinton,IL,,Wonders Lead queue,Telemarketer,Telemarketer,(312) 291-9262,,60661,tyler@slightlytoasted.com,(312) 291-9262,36nclinton60661
10/31/2022,Nama Sushi Bar - Bearden,5130 kingston pike,TN,,Wonders Lead queue,Telemarketer,Telemarketer,(865) 588-9811,,37919,tmatews@namisushibar.com,(865) 588-9811,5130kingstonp37919
4/4/2023,Jinsan Sushi Restaurant,211 hwy 3162,LA,,Wonders Lead queue,Telemarketer,Telemarketer,(985) 632-3363,,70354,tiger20040616@hotmail.com,(985) 632-3363,211hwy316270354
4/4/2023,Thai Taki,7 michaels mall,MA,,Wonders Lead queue,Telemarketer,Telemarketer,(617) 207-1569,,2152,thaitakithaisushi@gmail.com,(617) 207-1569,7michaelsmall2152
7/19/2023,Tajima Ramen Plaza Bonita,3030 plaza bonita rd,CA,,Wonders Lead queue,Telemarketer,Enterprise,(619) 773-6164,,91950,tajimasd.hiring@gmail.com,(619) 773-6164,3030plazaboni91950
