zip_code,state_code,region,lastmodifieddate,currently_using_competitor_c,duration_converted_c,duration_sdr_working_c,enterprise_c,street,status,isdeleted,lead_assigned_time_c,lead_created_time_c,report_filter_indicator_c,service_type_c,menu_type_c,converteddate,restaurant_time_zone_c,lead_created_day_c,first_mel_timestamp_c,systemmodstamp,clicksendsms_is_sms_sent_c,converted_time_c,is_menu_uploaded_c,promotions_c,menu_complexity_c,restaurant_time_display_c,client_language_c,automation_timestamp_c,state,createddate,monthly_revenue_c,pulley_reviewed_c,last_activity_date_c,statecode,automation_bypass_c,interest_level_c,unqualified_reason_c,restaurant_local_timezone_c,menu_approval_c,completed_time_c,days_since_last_activity_c,mentioned_competitor_c,country,first_mql_timestamp_c,salutation,actual_lead_source_c,lead_type_c,latest_mql_timestamp_c,ae_assigned_time_c,duration_sdr_complete_c,direct_manager_sdr_c,duration_sdr_assigned_c,working_start_time_c,duration_ae_assigned_c,lead_category_c,owner_type_c,mobile_primary_c,daylight_saving_hour_c,isconverted,days_since_assigned_to_person_c,hasoptedoutofemail,city,sdr_assigned_to_me_c,expected_gmv_2_c,first_touch_date_c,is_user_owner_c,assigned_sdr_c,sales_cycle_length_c,lead_source_c,postalcode,currently_using_competitor_online_c,date_assigned_to_person_c,countrycode,isunreadbyowner,restaurant_type_c,assigned_sdr_role_c,bypass_owner_assignment_c,restaurant_time_c,zip_code_1,city_1,state_code_1,population,population_band,density,density_band,median_household_income,median_income_band,timezone,school_zone
19707,DE,Northeast,2024-09-09 09:38:47.000 Z,False,7.27,34.78,False,228 LANTANA DR,Converted,False,2023-11-07 15:44:38.000 Z,2022-11-01 02:39:30.000 Z,False,Full Time,Chinese-Unknown,2023-11-08,EST,Monday,,2025-05-15 16:11:25.000 Z,False,2023-11-09 02:31:13.000 Z,False,Client Referral (Referrer $300);30 days Free Trial - VO;30 days Free Trial - DE,Advanced Menu,1:01 PM,Mandarin,2023-11-09 02:30:51.000 Z,DE,2022-11-01 02:39:30.000 Z,,False,2023-11-08,DE,False,High,,GMT-04,Approved,2023-11-09 02:31:13.000 Z,554.0,DoorDash;Uber,United States,,Mr.,CSM Referral,CSM Referral,,2023-11-08 19:15:16.000 Z,34.78,,8917.09,2023-11-09 02:31:13.000 Z,-7.27,,AE,(610) 357-9843,0,True,554.0,False,HOCKESSIN,False,0,,True,0058b00000HNKiyAAH,7.27,Client Referral - Unknown,19707,True,2023-11-08,US,False,Pick Up,SDR team user,False,13:01:33.623Z,19707,Hockessin,DE,15821,"5,001 - 20,000",463,101 - 500,"$164,225","$150,001 - $250,000",Eastern Standard Time,A
20016,DC,Southeast,2024-09-09 09:29:55.000 Z,False,0.0,,False,,Converted,False,,2022-11-01 03:30:21.000 Z,True,Full Time,Chinese-Unknown,2023-08-16,EST,Monday,,2025-05-15 16:11:25.000 Z,False,2023-08-16 19:08:00.000 Z,False,,Basic Menu,1:01 PM,Mandarin,2023-08-16 18:28:02.000 Z,MD,2022-11-01 03:30:21.000 Z,,False,2023-08-16,MD,False,Medium,,GMT-04,Approved,,638.0,,United States,,,,Marketing Inbound,,2023-08-16 19:08:00.000 Z,,,,,,,AE,(301) 658-8698,0,True,650.0,False,,False,0,2020-11-01,True,,0.0,SMS;DM,,False,2023-08-04,US,False,Delivery,,False,13:01:52.893Z,20016,Washington,DC,33518,"20,201 - 50,000",2916,"501 - 5,000","$169,489","$150,001 - $250,000",Eastern Standard Time,B+
19095,PA,Northeast,2024-12-19 08:52:02.000 Z,False,23.11,0.0,False,835 GLENSIDE AVE #205,Converted,False,2024-11-21 21:12:53.000 Z,2024-11-21 20:57:40.000 Z,True,,Chinese-Unknown,2024-11-22,EST,Monday,2024-11-21 20:57:40.000 Z,2025-05-15 16:11:25.000 Z,False,2024-11-22 20:19:44.000 Z,False,,Basic Menu,1:03 PM,Mandarin,2024-11-22 20:07:48.000 Z,PA,2022-11-01 02:41:07.000 Z,,False,2024-11-22,PA,False,Medium,,GMT-04,Not Submitted,2024-11-21 21:12:53.000 Z,174.0,,United States,2024-11-21 21:12:53.000 Z,Mrs.,Marketing Inbound,Marketing Inbound,2024-11-22 20:19:44.000 Z,2024-11-21 21:12:53.000 Z,0.0,0058b00000Fyza3AAB,18042.53,2024-11-21 21:12:53.000 Z,0.0,Inbound,AE,(215) 479-6200,0,True,175.0,False,WYNCOTE,False,39000,2024-11-21,True,005Uo00000224KwIAI,23.11,Google,19095,False,2024-11-21,US,False,Delivery,SDR team user,False,13:03:56.259Z,19095,Wyncote,PA,7070,"5,001 - 20,000",1292,"501 - 5,000","$86,250","$60,000 - $100,000",Eastern Standard Time,A-
33462,FL,Southeast,2024-11-13 09:40:32.000 Z,False,19.95,3.36,False,,Converted,False,2024-10-10 16:22:20.000 Z,2022-11-01 03:30:50.000 Z,False,,Chinese-Unknown;Japanese;Thai,2024-10-11,EST,Monday,2024-03-11 05:56:33.000 Z,2025-05-15 16:11:25.000 Z,False,2024-10-11 15:41:15.000 Z,False,,,1:01 PM,Mandarin,2024-10-11 03:09:58.000 Z,FL,2022-11-01 03:30:50.000 Z,,False,2024-10-10,FL,False,Low,,GMT-04,Not Submitted,2024-10-10 19:44:04.000 Z,217.0,,United States,2024-10-10 19:44:04.000 Z,Ms.,,Telemarketer,2024-10-11 15:41:15.000 Z,2024-10-10 19:44:04.000 Z,3.36,005Uo0000018DIrIAM,17028.86,2024-10-10 19:44:04.000 Z,0.0,Outbound,AE,(954) 821-6182,0,True,217.0,False,,False,0,2022-01-18,True,005Uo0000003djCIAQ,19.95,DM,,False,2024-10-10,US,False,Delivery,AE team user,False,13:01:55.935Z,33462,Lake Worth,FL,33241,"20,201 - 50,000",1480,"501 - 5,000","$67,916","$60,000 - $100,000",Eastern Standard Time,B-
46123,IN,Midwest,2024-10-29 09:39:52.000 Z,False,0.0,,False,,Converted,False,,2023-01-05 18:25:20.000 Z,False,Full Time,Chinese-Unknown,2023-01-05,EST,Thursday,,2025-05-15 16:11:25.000 Z,False,2023-01-05 18:30:45.000 Z,False,Client Referral (Referrer $300);Printer Promotion;5 Months Full Time Discount,Basic Menu,1:01 PM,Fuzhounese,2023-01-05 18:27:07.000 Z,IN,2023-01-05 18:25:20.000 Z,"$10,001-$20,000",False,2023-01-05,IN,False,High,Current Client,GMT-04,Approved,,861.0,,United States,,Mr.,AE Sourced,AE Sourced,,2023-01-05 18:30:45.000 Z,,,,,,,AE,(317) 793-1501,0,True,861.0,False,,False,0,2023-01-05,True,,0.0,Client Referral - Unknown,,False,2023-01-05,US,False,Pick Up,,False,13:01:58.853Z,46123,Avon,IN,36616,"20,201 - 50,000",461,101 - 500,"$100,020","$100,001 - $150,000",Eastern Standard Time,A
97333,OR,West,2024-11-13 09:40:34.000 Z,False,307.4,0.0,False,5275 Philomath Boulevard,Converted,False,2024-07-26 20:16:12.000 Z,2024-07-26 20:05:01.000 Z,True,,Chinese-Unknown,2024-08-08,PST,Friday,2024-07-26 20:05:02.000 Z,2025-05-15 16:11:25.000 Z,False,2024-08-08 15:40:28.000 Z,False,30 days Free Trial - VO,Basic Menu,10:03 AM,Mandarin,2024-08-07 21:00:20.000 Z,OR,2024-07-26 20:05:02.000 Z,,False,2024-08-07,OR,False,Medium,,GMT-07,Not Submitted,2024-07-26 20:16:12.000 Z,281.0,,United States,2024-07-26 20:16:12.000 Z,Ms.,Marketing Inbound,Marketing Inbound,2024-07-26 20:16:00.000 Z,2024-07-26 20:16:12.000 Z,0.0,0058b00000Fyza3AAB,0.19,2024-07-26 20:16:12.000 Z,0.0,Inbound,AE,(541) 609-7373,0,True,293.0,False,Corvallis,False,15600,2024-07-26,True,005Uo000000354nIAA,307.4,WeChat - Ads,97333,False,2024-07-26,US,False,Delivery,SDR team user,False,10:03:52.585Z,97333,Corvallis,OR,23302,"20,201 - 50,000",77,1 - 100,"$63,119","$60,000 - $100,000",Pacific Standard Time,A
67133,KS,Midwest,2024-11-13 09:40:30.000 Z,False,0.59,0.6,False,202 E SILKNITTER ST #9426,Converted,False,2023-11-28 20:52:14.000 Z,2022-11-01 02:40:51.000 Z,True,,Chinese-Unknown,2023-11-28,CST,Monday,2023-11-28 20:52:43.000 Z,2025-05-15 16:11:25.000 Z,False,2023-11-28 21:28:09.000 Z,False,,,12:01 AM,Mandarin,2023-11-28 21:27:33.000 Z,KS,2022-11-01 02:40:51.000 Z,,False,2023-11-28,KS,False,High,,GMT-05,Not Submitted,2023-11-28 21:28:09.000 Z,534.0,,United States,2023-11-28 20:52:43.000 Z,,Marketing Inbound,Marketing Inbound,2023-11-28 20:52:00.000 Z,2023-11-28 20:52:43.000 Z,0.6,005Uo0000018DIrIAM,9426.19,2023-11-28 21:28:09.000 Z,-0.59,Inbound,AE,(316) 670-3883,0,True,534.0,False,ROSE HILL,False,0,,True,0058b00000HliWiAAJ,0.59,DM,67133,False,2023-11-28,US,False,Pick Up,SDR team user,False,12:01:42.316Z,67133,Rose Hill,KS,6482,"5,001 - 20,000",59,1 - 100,"$95,659","$60,000 - $100,000",Central Standard Time,B-
24141,VA,Southeast,2025-02-19 01:37:15.000 Z,False,0.31,0.06,False,7440 Lee Highway,Converted,False,2024-09-04 00:45:29.000 Z,2024-09-04 00:00:30.000 Z,True,Part-Time,Chinese-Unknown,2024-09-23,EST,Tuesday,2024-09-04 00:43:40.000 Z,2025-05-15 16:11:25.000 Z,False,2024-09-23 17:59:08.000 Z,False,30 days Free Trial - VO;1 Year SMS - Free;Sept'24 - $100 Giftcard,Basic Menu,1:03 PM,Fuzhounese;Mandarin,2024-09-23 17:56:58.000 Z,VA,2024-09-04 00:00:30.000 Z,,False,2024-09-23,VA,False,Low,,GMT-04,Not Submitted,2024-09-23 17:38:55.000 Z,234.0,,United States,2024-09-23 17:40:27.000 Z,Ms.,Marketing Inbound,Marketing Inbound,2024-09-23 17:59:08.000 Z,2024-09-23 17:40:27.000 Z,472.89,0058b00000HCkC1AAL,0.75,2024-09-04 00:49:12.000 Z,0.03,Inbound,AE,(917) 826-6286,0,True,234.0,False,Radford,False,0,2024-09-03,True,0058b00000Fyza3AAB,0.31,SMS,24141,False,2024-09-23,US,False,Delivery,SDR team user,False,13:03:54.372Z,24141,Radford,VA,22989,"20,201 - 50,000",139,101 - 500,"$58,544","$1 - $60,000",Eastern Standard Time,B
80238,CO,West,2024-09-09 08:14:50.000 Z,False,48.13,0.0,False,,Converted,False,2023-11-16 17:57:37.000 Z,2023-11-14 17:49:36.000 Z,True,Full Time,Chinese-Unknown,2023-11-16,EST,Tuesday,,2025-05-15 16:11:25.000 Z,False,2023-11-16 17:57:37.000 Z,False,30 days Free Trial - VO,,1:03 PM,Mandarin,2023-11-16 16:23:23.000 Z,NY,2023-11-14 17:49:37.000 Z,,False,2023-11-16,NY,False,Low,,GMT-04,Not Submitted,2023-11-16 17:57:37.000 Z,546.0,,United States,,,,Marketing Inbound,,2023-11-14 17:49:51.000 Z,0.0,,48.13,2023-11-16 17:57:37.000 Z,-48.13,,AE,(720) 695-1382,0,True,548.0,False,,False,0,2023-11-14,True,,48.13,SMS,,False,2023-11-14,US,False,,,False,13:03:17.700Z,80238,Denver,CO,21632,"20,201 - 50,000",1718,"501 - 5,000","$157,706","$150,001 - $250,000",Mountain Standard Time,B
34293,FL,Southeast,2024-09-09 09:38:44.000 Z,False,0.12,0.0,False,,Converted,False,2023-10-15 16:19:46.000 Z,2022-11-01 03:30:29.000 Z,True,Full Time,Chinese-Unknown,2023-10-15,EST,Monday,,2025-05-15 16:11:25.000 Z,False,2023-10-15 16:19:46.000 Z,False,30 days Free Trial - VO,,1:01 PM,Mandarin,2023-10-15 16:19:13.000 Z,FL,2022-11-01 03:30:29.000 Z,"$80,001-$90,000",False,2023-10-15,FL,False,Medium,,GMT-04,Not Submitted,2023-10-15 16:19:46.000 Z,578.0,DoorDash;Uber,United States,,,,Marketing Inbound,,2023-10-15 16:12:20.000 Z,0.0,,8364.82,2023-10-15 16:19:46.000 Z,-0.12,,AE,(941) 275-4093,0,True,578.0,False,,False,0,2021-08-06,True,,0.12,SMS,,False,2023-10-15,US,False,Pick Up,,False,13:01:54.399Z,34293,Venice,FL,39534,"20,201 - 50,000",335,101 - 500,"$84,110","$60,000 - $100,000",Eastern Standard Time,A
