Area_Code,State_Name,State_Area,Country
201,New Jersey,NJ,United States
202,District of Columbia,DC,United States
203,Connecticut,CT,United States
205,Alabama,AL,United States
206,Washington,WA,United States
207,Maine,ME,United States
208,Idaho,ID,United States
209,California,CA,United States
210,Texas,TX,United States
212,New York,NY,United States
213,California,CA,United States
214,Texas,TX,United States
215,Pennsylvania,PA,United States
216,Ohio,OH,United States
217,Illinois,IL,United States
218,Minnesota,MN,United States
219,Indiana,IN,United States
220,Ohio,OH,United States
224,Illinois,IL,United States
225,Louisiana,LA,United States
228,Mississippi,MS,United States
229,Georgia,GA,United States
231,Michigan,MI,United States
234,Ohio,OH,United States
239,Florida,FL,United States
240,Maryland,MD,United States
248,Michigan,MI,United States
251,Alabama,AL,United States
252,North Carolina,NC,United States
253,Washington,WA,United States
254,Texas,TX,United States
256,Alabama,AL,United States
260,Indiana,IN,United States
262,Wisconsin,WI,United States
267,Pennsylvania,PA,United States
269,Michigan,MI,United States
270,Kentucky,KY,United States
272,Pennsylvania,PA,United States
276,Virginia,VA,United States
281,Texas,TX,United States
301,Maryland,MD,United States
302,Delaware,DE,United States
303,Colorado,CO,United States
304,West Virginia,WV,United States
305,Florida,FL,United States
307,Wyoming,WY,United States
308,Nebraska,NE,United States
309,Illinois,IL,United States
310,California,CA,United States
312,Illinois,IL,United States
313,Michigan,MI,United States
314,Missouri,MO,United States
315,New York,NY,United States
316,Kansas,KS,United States
317,Indiana,IN,United States
318,Louisiana,LA,United States
319,Iowa,IA,United States
320,Minnesota,MN,United States
321,Florida,FL,United States
323,California,CA,United States
325,Texas,TX,United States
330,Ohio,OH,United States
331,Illinois,IL,United States
334,Alabama,AL,United States
336,North Carolina,NC,United States
337,Louisiana,LA,United States
339,Massachusetts,MA,United States
346,Texas,TX,United States
347,New York,NY,United States
351,Massachusetts,MA,United States
352,Florida,FL,United States
360,Washington,WA,United States
361,Texas,TX,United States
364,Kentucky,KY,United States
385,Utah,UT,United States
386,Florida,FL,United States
401,Rhode Island,RI,United States
402,Nebraska,NE,United States
404,Georgia,GA,United States
405,Oklahoma,OK,United States
406,Montana,MT,United States
407,Florida,FL,United States
408,California,CA,United States
