,Page location,Date,Category,Airfryer_Type,ID,visit_again,form_submission
3,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=01007,2023/11/06,DM1_trifold,airfryer,01007,False,False
4,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=01011,2023/11/27,DM1_trifold,airfryer,01011,False,False
5,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=01336,2023/11/17,DM1_trifold,airfryer,01336,False,False
6,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=03007,2023/11/09,DM1_trifold,airfryer,03007,False,False
7,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=05854,2023/11/15,DM1_trifold,airfryer,05854,False,False
8,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=12345,2023/11/03,DM1_trifold,airfryer,12345,False,False
9,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=17553,2023/11/10,DM1_trifold,airfryer,17553,False,False
10,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=19187,2023/11/15,DM1_trifold,airfryer,19187,False,False
11,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=19320,2023/11/19,DM1_trifold,airfryer,19320,False,False
13,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=20318,2023/11/23,DM1_envelope,airfryer2,20318,False,False
14,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=20363,2023/11/16,DM1_envelope,airfryer2,20363,False,False
