lead_channel_split,first_mel_month,total_mel,total_mql,total_sql,total_onboarded
Channel / Partner,2024-01,0.5,0,0,0
Channel / Partner,2024-02,1,0,0,0
Channel / Partner,2024-03,2,1,1,0
Channel / Partner,2024-04,2.5,1.5,0,0
Channel / Partner,2024-05,2.5,0,0,0
Channel / Partner,2024-06,2,0,0,0
Channel / Partner,2024-07,1.5,0,0,0
Channel / Partner,2024-08,0.5,0,0,0
Channel / Partner,2024-09,1.5,0.5,0,0
Channel / Partner,2024-11,0.5,0,0,0
Channel / Partner,2024-12,1,0,0,0
Chinese Website,2024-02,0,0,0,0
Chinese Website,2024-03,2,0,0,0
Chinese Website,2024-04,1,1,0,0
Chinese Website,2024-05,1,0,0,0
Chinese Website,2024-06,0.3333333333333333,0.3333333333333333,0,0
Chinese Website,2024-07,1,1,0,0
Chinese Website,2024-09,1,0,0,0
Chinese Website,2024-11,1,0,0,0
Chinese Website,2024-12,2,0,0,0
Client Referral - AE,2024-07,1,0,0,0
Client Referral - AE,2024-12,1,1,1,0
Client Referral - CSM,2024-02,0.5,0.5,0.5,0
Client Referral - CSM,2024-03,2,2,1,0
Client Referral - CSM,2024-06,1.5,1.5,1.5,1.5
Client Referral - CSM,2024-07,0.5,0.5,0.5,0.5
Client Referral - CSM,2024-08,0.5,0.5,0.5,0.5
Client Referral - CSM,2024-12,0.5,0.5,0.5,0.5
Client Referral - Marketing,2024-01,1,1,1,0
Client Referral - Marketing,2024-03,1,1,0,0
Client Referral - Marketing,2024-09,0.25,0.25,0,0
Client Referral - Marketing,2024-10,1,1,0,0
Client Referral - Marketing,2024-11,1.5,1.5,1,0
Client Referral - Marketing,2024-12,4.833333333333333,4.833333333333333,2,1.5
Client Referral - Partnerships,2024-02,0.5,0,0,0
Client Referral - Partnerships,2024-10,2.5,0,0,0
Client Referral - Unknown,2024-01,4.833333333333333,3.333333333333333,3.333333333333333,0.5
Client Referral - Unknown,2024-02,2,2,1,0.5
Client Referral - Unknown,2024-03,62.5,5,5,2
Client Referral - Unknown,2024-04,3.166666666666667,2.666666666666667,2.1666666666666665,1
Client Referral - Unknown,2024-05,2,2,1.5,1
Client Referral - Unknown,2024-06,1.3333333333333333,1.3333333333333333,1,1
