UID,FT/PT,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Q3'24,Q4'24
R82806,PT,0,"4,554","5,180","4,217","7,321","4,630","4,127","1,931",0,0,0,0,0
R83579,PT,0,0,0,0,"2,400",0,"2,400",400,0,0,0,0,0
R81001,FT,"31,970","25,351","25,626","27,240","25,629","23,874","25,956","26,123","32,520","32,711","32,999","33,591","33,359"
R81002,FT,"11,029","11,479","12,403","11,901","11,272","12,122","11,186","11,125","9,914","8,441","8,424","8,170","7,770"
R81007,FT,"18,244","19,715","15,725","14,980","13,741","18,046","14,984","16,863","14,901","15,157","14,131","15,721","18,658"
R81008,PT,"15,353","10,862","11,373","12,338","13,351","10,179","10,039","11,743","12,063","9,682","9,869","10,332","18,654"
R81009,FT,"26,949","32,209","30,481","27,262","24,330","28,318","26,561","28,135","23,350","29,437","26,083","27,945","25,133"
R81013,PT,"35,435","29,706","29,465","32,297","31,355","28,139","32,061","24,018","20,665","21,943","26,560","25,673","22,935"
R81016,FT,"48,137","42,206","12,312","9,484","8,857","8,046","7,409","6,672","9,939","11,626","11,023","11,339","10,508"
R81018,FT,"37,124","35,843","33,498","33,805","31,099","33,844","34,806","35,685","38,983","34,923","38,932","37,640","34,194"
R81019,FT,"49,446","52,880","50,611","49,910","41,385","52,503","51,459","54,979","49,735","54,055","53,774","53,830","62,411"
R81021,FT,0,"25,447","18,754","17,838","18,240","15,045","14,168","15,142","15,489","13,290","13,814","11,809","13,598"
R81022,FT,"32,432","22,493","24,707","20,566","27,764","24,663","31,033","30,163","25,778","27,752","31,764","32,927","29,414"
R81023,FT,"9,351","7,452","6,812","6,044","8,238","6,557","6,118","7,215","7,060","5,068","4,612","5,013","5,073"
R81026,FT,"47,842","43,518","44,210","43,319","35,502","34,772","38,361","39,439","35,254","36,813","39,268","37,767","36,947"
R81028,FT,"54,508","62,431","61,224","62,589","56,308","66,258","60,198","64,815","54,089","64,113","64,443","60,515","55,830"
R81029,FT,"35,851","30,843","29,739","32,751","35,499","32,755","33,514","35,491","38,089","33,284","32,784","36,233","33,641"
R81031,FT,"22,685","33,895","38,137","25,611","22,149","28,790","36,333","28,555","23,826","30,835","33,308","27,948","23,701"
R81033,FT,"26,305","38,655","39,554","44,906","42,782","57,308","66,774","61,990","52,728","62,376","57,634","61,720","60,786"
R81035,FT,"19,257","19,440","20,616","20,845","16,799","20,345","20,573","18,237","17,656","18,372","18,563","19,589","17,562"
R81037,FT,"36,247","30,043","32,940","30,128","31,129","31,030","30,542","29,640","26,236","29,874","31,299","29,967","29,955"
R81051,FT,"24,055","23,968","22,720","20,110","21,283","21,353","20,212","24,462","21,117","23,499","26,679","18,523",0
R81052,FT,"26,217","39,666","37,780","36,941","30,103","37,077","37,240","38,312","34,576","38,386","38,915","38,057","34,998"
R81053,FT,"66,539","70,493","54,895","55,803","57,647","58,068","53,690","56,881","55,083","57,543",653,648,648
