List,Sub Campaign Tags
Brizo,Mkt_DM_Snowflake_OctoberV1
Brizo,Mkt_DM_Snowflake_OctoberV1
Brizo,Mkt_DM_Snowflake_OctoberV1
Brizo,Mkt_DM_Snowflake_OctoberV1
Brizo,Mkt_DM_Snowflake_OctoberV2
Brizo,Mkt_DM_Snowflake_OctoberV2
Brizo,Mkt_DM_Snowflake_AirfryerV1
Brizo,Mkt_DM_Snowflake_AirfryerV3
Brizo,Mkt_DM_Snowflake_AirfryerV2
Brizo,Mkt_DM_Snowflake_AirfryerV4
Brizo,Mkt_DM_Snowflake_2024FebSQL
Brizo,Mkt_DM_Snowflake_2024FebCW
Brizo,Mkt_DM_Snowflake_2024FebNoPromo
Brizo,Mkt_DM_Snowflake_2024Mar_SQL_Only
Brizo,Mkt_DM_Snowflake_2024Mar_Trial_Only
Brizo,Mkt_DM_Snowflake_2024Mar_SQL_and_Trial
Brizo,Mkt_DM_Snowflake_2024AprBrizoTrialSMS
Brizo,Mkt_DM_Snowflake_2024AprBrizoSMSOnly
Brizo,Mkt_DM_Snowflake_2024AprBrizoCWSMS
Brizo,Mkt_DM_Snowball_2024May_BrizoPostCard
Brizo,Mkt_DM_Snowball_2024May_BrizoBifold
Brizo,Mkt_DM_Snowflake_2024JunBrizoTrial
Brizo,Mkt_DM_Snowflake_2024JunBrizo50off
Brizo,Mkt_DM_Snowflake_AirfryerV6
Brizo,Mkt_DM_Snowflake_2023ChristmasV2
Brizo,Mkt_DM_Snowflake_2023ChristmasV1
Brizo,Mkt_DM_Snowflake_2023DecemberEng
Brizo,Mkt_DM_Snowflake_2023ChristmasV8
Brizo,Mkt_DM_Snowflake_2024JanUS
Brizo,Mkt_DM_Snowflake_2024JanCanada
Old List,Mkt_DM_Snowflake_2023ChristmasV6
Old List,Mkt_DM_Snowflake_2023ChristmasV5
Old List,Mkt_DM_Snowflake_2023ChristmasV10
Old List,Mkt_DM_Snowflake_2024JanUS
Old List,Mkt_DM_Snowflake_2024JanCanada
Print Shop,Mkt_DM_Snowflake_AirfryerV6
Print Shop,Mkt_DM_Snowflake_2023ChristmasV4
Print Shop,Mkt_DM_Snowflake_2023ChristmasV3
Print Shop,Mkt_DM_Snowflake_AirfryerV5
Print Shop,Mkt_DM_Snowflake_2023ChristmasV9
Print Shop ,Mkt_DM_Snowflake_2024JanUS
Print Shop,Mkt_DM_Snowflake_2024JanCanada
Wonders Lead Queue,Mkt_DM_Snowflake_2024AprWLQTrialSMS
Wonders Lead Queue,Mkt_DM_Snowflake_2024AprWLQSMSOnly
Wonders Lead Queue,Mkt_DM_Snowflake_2024AprWLQCWSMS
Wonders Lead Queue,Mkt_DM_Snowball_2024May_WLQPostCard
Wonders Lead Queue,Mkt_DM_Snowball_2024May_WLQBifold
Marketing Nurture Queue,Mkt_DM_Snowflake_2024JunMNQTrial
Marketing Nurture Queue,Mkt_DM_Snowflake_2024JunMNQ50off
