UNIQUE_CODE,TENURE_IN_COMPLETE_MONTHS
R87591,8
R86082,0
R86757,0
R82022,39
R82658,0
R85338,21
R83639,29
R88612,42
R88755,5
R83308,20
R87258,6
R88663,1
R83981,0
R86769,12
R86859,6
R81772,25
R88287,46
R85613,0
R82392,35
R85882,5
R86397,6
R85963,9
R87001,7
R83662,20
R88829,0
R87555,0
R82732,6
R82597,15
R85069,16
R88776,69
R89102,0
R82039,0
R87769,1
R89989,
R88106,34
R82665,
R88736,0
R81051,59
R87712,0
R88781,17
R85032,8
R88162,52
R86173,0
R85015,26
R88255,3
R85196,0
R81113,
R86668,17
R85307,0
R83853,18
R82936,12
R87852,4
R81529,31
R86551,10
R85689,0
R81502,40
R85853,12
R88997,24
R83078,23
R86735,10
R83826,31
R81992,
R85366,18
R81236,51
R81131,
R87872,2
R83158,34
R88128,15
R87036,8
R83792,10
R88952,4
R82787,0
R87765,1
R82239,0
R87152,9
R87633,0
R86009,1
R88628,1
R82398,13
R82795,11
R88576,0
R83563,0
R81507,43
R88183,14
R85621,1
R86058,0
R81926,7
R81766,16
R88678,21
R87266,1
R88982,55
R87796,0
R81902,32
R85177,
R85003,
R86729,4
R83173,2
R89125,2
R88884,
R85222,0
R81397,41
R88763,42
R89105,1
R81921,0
R87503,3
R85863,0
R85098,10
R85726,17
R86505,0
R88738,
R82058,0
R86712,0
R85889,0
R87775,5
R86201,2
R87079,0
R88835,23
R86191,1
R81917,0
R81381,48
R86129,
R81539,25
R83007,11
R82625,21
R86605,2
R81688,17
R86587,6
R81366,0
R86623,0
R82711,5
R87855,0
R87721,5
R88509,34
R88187,20
R85173,27
R81713,37
R81882,10
R86188,6
R88993,6
R85913,13
R87527,0
R83632,0
R87287,2
R89208,0
R81335,37
R88778,6
R87329,1
R86069,5
R81865,45
R86912,7
R87587,4
R86653,3
R83915,24
R86991,12
R87312,0
R85361,6
R83892,12
R89078,1
R86327,0
R82308,14
R86196,10
R88726,17
R88196,46
R87853,2
R86389,0
R86179,17
R83819,22
R86616,16
R87109,2
R82938,5
R87828,0
R86602,13
R87916,6
R83881,2
R87536,2
R88727,27
R83135,4
R87669990,
R86167,16
R82995,1
R83305,2
R86862,8
R81319,1
R82925,22
R85388,5
R82901,28
R88356,1
R83899,27
R86985,15
R85525,25
R87179,0
R82935,0
R84538,
R82397,2
R87365,0
R83011,17
R83086,24
R86361,0
R86581,0
R83719,22
R83195,0
R82862,17
R87082,0
R83529,6
R81701,26
R82353,15
R85119,0
R86958,0
R85983,2
R81053,54
R83715,0
R88335,2
R85225,11
R87629,3
R87086,2
R87222,7
R83205,23
R85593,19
R87369,1
R81118,40
R81137,1
R81136,40
R87566,0
R87181,3
R88697,18
R82676,2
R82957,0
R89123,0
R81299,0
R83955,18
R86151,1
R86571,8
R81572,8
R87956,0
R81671,35
R87575,0
R85727,
R88586,0
R87316,0
R82572,24
R86102,0
R89019,0
R81079,
R87182,0
R81363,6
R83515,8
R85988,1
R85251,1
R87337,0
R88172,
R86793,0
R86501,5
R81067,48
R85902,15
R86362,16
R88996,1
R87288,0
R83585,15
R85077,2
R86711,0
R81875,35
R81175,0
R86222,0
R82571,5
R88573,
R88828,13
R87251,0
R88823,63
R87377,0
R81092,1
R81986,0
R88925,4
R85721,2
R88581,
R81571,9
R86877,6
R87279,1
R88891,11
R83352,2
R83088,22
R86262,8
R82323,0
R82618,41
R88259,55
R86969,1
R87567,0
R83712,7
R86113,3
R85516,0
R86665,10
R81039,3
R86239,0
R85357,5
R88686,3
R86259,15
R85211,0
R81268,11
R85252,24
R81389,35
R82633,5
R86617,0
R86057,0
R81165,
R88862,3
R81972,35
R86199,1
R87238,0
R82983,10
R85651,1
R87767,3
R81082,39
R88715,13
R85893,1
R88985,
R82033,38
R83199,24
R86073,6
R88767,11
R85005,28
R88677,39
R82553,17
R81209,13
R88532,0
R87622,0
R88371,5
R88588,27
R87008,0
R85377,10
R88552,9
R86278,5
