Snowball_ID,Date,first_visit,page_view,scroll,session_start,user_engagement,Phone_Number_Click,click,video_complete,video_progress,video_start,referraliwatch,AnyFormSubmit,Any_Form-Submit,form_start,Restaurant.Name,Mailing.Address,City.Name,State,TELEPHONENUMBER,Zip.Code,Carrier.code,Mailing.address.mailability.score,ABI.Number,Contact.First.Name,Contact.Last.Name,Contact.Salutation,Contact.Gender.Code,Contact.Title.Description,Owner.Minority,Location.Employment.Size.Description,Location.Sales.Volume.Description,Small.Business.Entrepreneur.Indicator,Franchise.Specialty.Description1,True.Franchise.Indicator,Ethnic.Code.Desc,Group.Code.Desc
31373,20230601,1,1,1,1,0,0,0,0,0,0,0,0,0,0,YUMMY JAPAN,4787 BAY RD,SAGINAW,MI,(989) 790-2998,48604-2527,C003,1C,385137542,JOAN,ZHOU,MS,F,OWNER,,1-4,"LESS THAN $500,000",Y,,,Chinese,Far Eastern
30850,20230603,2,2,0,2,2,0,0,0,0,0,0,0,0,0,Yan's Chinese Grill,1181 TWINBERRY AVE,CLOVIS,CA,(559) 297-0500,93612-3904,C035,1A,NA,,,,,,,,,,,,Unknown,Uncoded (No Group)
30610,20230620,1,1,1,1,0,0,0,0,0,0,0,0,0,0,WORLD AMERICAN KITCHEN INC,12703 111TH AVE,JAMAICA,NY,(718) 848-5951,11420-1604,C026,1C,432139816,,,,,,,1-4,"LESS THAN $500,000",N,,,Unknown,Uncoded (No Group)
30279,20230819,0,1,0,0,0,0,0,0,0,0,0,0,0,0,WOK 28,1634 HOPKINS RD,WILLIAMSVILLE,NY,(716) 636-0597,14221-1752,C023,1C,482649126,CHUM PING,NI,MR,M,OWNER,,1-4,"LESS THAN $500,000",Y,,,Chinese,Far Eastern
30252,20230603,1,1,0,1,1,1,1,0,0,0,0,0,0,0,WOK & ROLL,6578 S KANNER HWY,STUART,FL,(772) 288-1117,34997-6396,R026,1C,616782793,WENDY,WANG,MS,F,MANAGER,,5-9,"LESS THAN $500,000",N,,,Chinese,Far Eastern
30251,20230624,1,1,0,1,0,0,0,0,0,0,0,0,0,0,WOK & ROLL,812 S GUADALUPE ST STE 101,SAN MARCOS,TX,(512) 216-6247,78666-6920,C008,1C,425683481,MINDI,LAI,MS,F,MANAGER,,10-19,"LESS THAN $500,000",N,,,Chinese,Far Eastern
29889,20230827,1,1,1,1,1,0,0,0,0,0,0,0,0,0,WASABI BISTRO,2435 N DIERS AVE,GRAND ISLAND,NE,(308) 382-1722,68803-1240,R011,1C,717213169,NING,YANG,MS,F,OWNER,,10-19,"$500,000-1 MILLION",N,,,Chinese,Far Eastern
29815,20230609,1,1,0,1,0,0,0,0,0,0,0,0,0,0,WANG GARDEN,1114 WESTCHESTER AVE,BRONX,NY,(718) 328-7026,10459-2505,C012,1C,707736347,,,,,,,1-4,$1-2.5 MILLION,N,,,Unknown,Uncoded (No Group)
28735,20230611,1,2,1,2,1,0,0,0,0,0,0,0,0,0,TIMMY CHAN,7625 W BELLFORT ST,HOUSTON,TX,(713) 729-1888,77071-2103,C009,1C,894884865,MICHAEL,TRAN,MR,M,MANAGER,,1-4,"LESS THAN $500,000",N,,,Vietnamese,Far Eastern
28649,20230612,1,1,0,1,0,0,0,0,0,0,0,0,0,0,The Lantern Restaurant,6008 FERNDELL ST,BRADENTON,FL,(941) 746-1831,34208-4053,C046,1A,NA,,,,,,,,,,,,Unknown,Uncoded (No Group)
27751,20230608,0,2,1,2,0,0,0,0,0,0,0,0,0,0,TASTE OF CHINA,5030 PLANK RD,FREDERICKSBRG,VA,(540) 785-6688,22407-6647,R084,1C,NA,,,,,,,,,,,,Unknown,Uncoded (No Group)
27751,20230607,1,1,1,1,0,0,0,0,0,0,0,0,0,0,TASTE OF CHINA,5030 PLANK RD,FREDERICKSBRG,VA,(540) 785-6688,22407-6647,R084,1C,NA,,,,,,,,,,,,Unknown,Uncoded (No Group)
27742,20230612,1,1,0,1,0,0,0,0,0,0,0,0,0,0,Taste Of China,1935 FEDERAL BLVD,DENVER,CO,(303) 477-2204,80204-1726,C015,1C,NA,,,,,,,,,,,,Unknown,Uncoded (No Group)
27494,20230617,1,1,0,1,0,0,0,0,0,0,0,0,0,0,TAKARA STEAKHOUSE SUSHI,5527 S WILLIAMSON BLVD STE 805,PORT ORANGE,FL,(386) 756-6668,32128-8303,R032,1C,401999489,,,,,,,5-9,"LESS THAN $500,000",N,,,Unknown,Uncoded (No Group)
27400,20230608,1,1,1,1,0,0,0,0,0,0,0,0,0,0,TAD THAI GRAND CAFE,1681 GRAND AVE,SAINT PAUL,MN,(651) 690-1393,55105-1805,C053,1C,458718616,OULA,SOUVANH,MR,M,FINANCE EXEC,,20-49,$1-2.5 MILLION,N,,,Unknown,Uncoded (No Group)
27102,20230601,0,1,0,1,1,0,0,0,0,0,0,0,0,0,Sushi Yan,1929 N FEDERAL HWY,BOCA RATON,FL,(561) 826-7931,33432-1934,C016,1C,735143878,,,,,,,1-4,"LESS THAN $500,000",N,,,Unknown,Uncoded (No Group)
27089,20230601,1,1,1,1,0,0,0,0,0,0,0,0,0,0,SUSHI YA,1545 S STATE ST,OREM,UT,(801) 225-7760,84097-7705,C013,1C,388614380,RI,LIU,,,OWNER,,5-9,"LESS THAN $500,000",Y,,,Chinese,Far Eastern
26808,20230609,1,1,0,1,1,0,0,0,0,0,0,0,0,0,Sushi Ko,30703 W 12 MILE RD,FARMINGTN HLS,MI,(248) 471-4363,48334-3813,C088,1C,888242336,HEWANG,JI,MR,M,OWNER,,1-4,"LESS THAN $500,000",Y,,,Chinese,Far Eastern
26777,20230921,1,1,1,1,1,0,0,0,0,0,0,0,0,0,Sushi kampai,10312 BLOOMINGDALE AVE STE 111,RIVERVIEW,FL,(813) 620-3717,33578-3603,R059,1C,733882830,ZHIDAN,LI,,,OWNER,,5-9,"LESS THAN $500,000",Y,,,Chinese,Far Eastern
26777,20230824,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Sushi kampai,10312 BLOOMINGDALE AVE STE 111,RIVERVIEW,FL,(813) 620-3717,33578-3603,R059,1C,733882830,ZHIDAN,LI,,,OWNER,,5-9,"LESS THAN $500,000",Y,,,Chinese,Far Eastern
