"Lead ID","Lead Source","Lead Category","Lead Channel","Created By","Lead Owner","Mobile - Primary","Business Phone","First Name","Last Name","Company / Account","Menu Type","State/Province (text only)","Country (text only)","Latest Re-engaged Date","Latest Campaign","Created Date","WeChat External Id","Lead Status","Lead Stage","Unqualified Reason","Rejected Reason","Opportunity: Created Date","Opportunity ID","Opportunity: Account","Stage","Oppt Close Date","Restaurant ID"
"00QUo000005mDg2","Marketing Inbound","","DM","JotForm Integration User","Wonders Lead queue","(619) 315-6897","","","Chaudhary","Unknown","Chinese","","United States","2/5/2024","Mkt_DM_Snowflake_2024FebSQL","2/5/2024","","New","","","","","","","","",""
"00QUo000005lzgH","Marketing Inbound","Inbound","DM","Kiera Zhang","Yaning Wang","(682) 269-4022","","","王","Unknown","Chinese","TX","United States","","","2/5/2024","","AE Assigned","","","","","","","","",""
"00QUo000005lZHD","Marketing Inbound","Inbound","DM","Shaoxiang Chan","Ailin Li","(612) 227-8856","","","陈老板娘","Unknown","Chinese","MN","United States","","","2/5/2024","","AE Assigned","","","","","","","","",""
"00QUo000005eMrp","Marketing Inbound","Inbound","DM; WeChat - Ads","Yannie Yap","Marketing Nurture Queue","(347) 935-2341","","","陈老板","陈老板","Wings","NY","United States","2/5/2024","Mkt_WeChatAds_WeChat_General","2/3/2024","","AE Assigned","Rejected","","Is ICP but Interested in DE Only","","","","","",""
"00QUo000005eJsI","Marketing Inbound","Inbound","DM; WeChat - Ads","Yannie Yap","Arthur Chen","(972) 814-7455","","","卢老板","卢老板9728147455-取餐+外卖","Wings","TX","United States","","","2/3/2024","","Converted","","","","2/3/2024","006Uo000007W4wE","卢老板9728147455-取餐+外卖","Discovery/Demo","3/4/2024",""
"00QUo000005b5Qt","Marketing Inbound","Inbound","DM","Shaoxiang Chan","Yaning Wang","(407) 431-9878","(407) 431-9878","","David","Unknown","Japanese","FL","United States","","","2/2/2024","","Converted","","","","2/2/2024","006Uo000007TpEP","Unknown","Discovery/Demo","3/3/2024",""
"00QUo000005axd3","Marketing Inbound","Inbound","DM","Shaoxiang Chan","Jiaxin Chen","(385) 258-9236","","","sherly","Unknown","Chinese","UT","United States","2/5/2024","Mkt_DM_Snowflake_2024JanUS","2/2/2024","","AE Assigned","","","","","","","","",""
"00QUo000005WnIu","Marketing Inbound","Inbound","DM","Shaoxiang Chan","Jiaxin Chen","(917) 274-9091","(618) 351-6888","","陈","Yamato Steak House Of Japan","Japanese","ID","United States","2/2/2024","Mkt_DM_Snowflake_2024FebUS","2/1/2024","","Converted","","","","2/2/2024","006Uo000007THJB","Yamato Steak House Of Japan","Discovery/Demo","3/31/2024",""
"00QUo000005WHdy","Marketing Inbound","Inbound","DM","Shaoxiang Chan","Yaning Wang","(917) 539-9460","","","林老板","Unknown","Japanese","FL","United States","","","2/1/2024","","Converted","","","","2/1/2024","006Uo000007O4Mf","Unknown","Discovery/Demo","3/2/2024",""
"00QUo000005UhMS","Marketing Inbound","Inbound","DM","JotForm Integration User","Yaning Wang","(469) 688-0181","","","Renee Zhang","Unknown","Chinese","TX","United States","1/31/2024","Mkt_DM_Snowflake_2024FebCW","1/31/2024","","Converted","","","","2/1/2024","006Uo000007Oz6L","Unknown","Discovery/Demo","3/2/2024",""
"00QUo000005U1ev","Marketing Inbound","Inbound","DM","JotForm Integration User","Marketing Nurture Queue","(347) 658-2225","(859) 469-9098","","jdjd","Miyako Poke Bowl","Chinese; Japanese","KY","United States","1/31/2024","Mkt_DM_Snowflake_2024FebSQL","1/31/2024","","SDR Complete","Rejected","","No Interest to talk to sales","","","","","",""
"00QUo000005TqDI","Marketing Inbound","Inbound","DM","JotForm Integration User","Wonders Lead queue","(903) 272-9911","","","London","Unknown","Chinese","TX","United States","1/31/2024","Mkt_DM_Snowflake_2024FebCW","1/31/2024","","SDR Working","Did not pick up","","","","","","","",""
"00QUo000005QLab","Marketing Inbound","Inbound","DM","Shaoxiang Chan","Jessica Wang","(225) 202-7357","","","向老板","Unknown","Chinese","AZ","United States","","","1/30/2024","","Converted","","","","1/30/2024","006Uo000007GBRj","Unknown","Discovery/Demo","2/29/2024",""
"00QUo000005PMbx","Marketing Inbound","Inbound","DM","JotForm Integration User","Unqualified Lead Queue","(917) 637-0001","(215) 639-3955","","张","China Sun","Chinese","PA","United States","1/30/2024","Mkt_DM_Snowflake_2024FebSQL","1/30/2024","","SDR Complete","Unqualified","Duplicate","","","","","","",""
"00QUo000005Lm3d","Marketing Inbound","Inbound","DM; SMS","Shaoxiang Chan","Yaning Wang","(646) 269-7278","(717) 901-5608","","陈老板","BEST WOK","Chinese","PA","United States","","","1/29/2024","","Converted","","","","1/29/2024","006Uo000007BSwD","BEST WOK","Discovery/Demo","2/28/2024",""
"00QUo000005LNpy","Marketing Inbound","Inbound","Client Referral; DM","Shaoxiang Chan","Ailin Li","(240) 601-8989","(301) 951-8999","","Jason","Golden House","Chinese","MD","United States","","","1/29/2024","","Converted","","","","1/29/2024","006Uo000007AVCz","Golden House","Discovery/Demo","2/28/2024",""
"00QUo000005HxfA","Marketing Inbound","Inbound","DM","JotForm Integration User","Wonders Lead queue","(785) 304-4682","","","jeff","The China Palace R86929","Chinese","KS","United States","1/28/2024","Mkt_DM_Snowflake_2024JanV1","1/28/2024","","Converted","","","","1/29/2024","006Uo000007APik","The China Palace R86929","Closed Won","2/28/2024","R86929"
"00QUo000005ER3t","Marketing Inbound","Inbound","DM","Shaoxiang Chan","Marketing Nurture Queue","(917) 346-4289","","","林老板","Unknown","Chinese; Japanese; Other","NE","United States","1/31/2024","Mkt_SMS_Internal_General","1/27/2024","","AE Assigned","Rejected","","Not a decision maker","","","","","",""
"00QUo000005EGoQ","Marketing Inbound","Inbound","Client Referral; DM","JotForm Integration User","Wonders Lead queue","(917) 833-5080","(937) 325-7338","","Ms.潘","YAMATO STEAK HOUSE R86897","Japanese","OH","United States","1/27/2024","Mkt_DM_Snowflake_2024JanV1","1/27/2024","","Converted","","","","1/27/2024","006Uo0000074bUo","YAMATO STEAK HOUSE R86897","Closed Won","2/26/2024","R86897"
"00QUo0000056dAH","Marketing Inbound","Inbound","DM","Shaoxiang Chan","Jiaxin Chen","(601) 988-4287","","","曾","曾海鲜来取","Cajun; Other","MS","United States","","","1/25/2024","","Converted","","","","1/25/2024","006Uo000006waAx","曾海鲜来取","Discovery/Demo","2/24/2024",""
"00QUo0000056Auf","Marketing Inbound","Inbound","DM","Shaoxiang Chan","Yaning Wang","(347) 612-8745","","","陈老板娘","Unknown","Chinese","NY","United States","","","1/25/2024","","Converted","","","","1/25/2024","006Uo000006viLy","Unknown","Discovery/Demo","2/24/2024",""
"00QUo0000052aCf","Marketing Inbound","Inbound","DM","Shaoxiang Chan","Yaning Wang","(406) 794-7749","","","Tina","Unknown","Chinese; Japanese","MT","United States","","","1/24/2024","","Converted","","","","1/24/2024","006Uo000006sVwD","Unknown","Discovery/Demo","2/23/2024",""
"00QUo000004yInm","Marketing Inbound","Inbound","DM","Shaoxiang Chan","Yaning Wang","(202) 361-3372","","","Andy","Unknown","Japanese","MD","United States","","","1/23/2024","","Converted","","","","1/23/2024","006Uo000006nlYd","Unknown","Discovery/Demo","2/22/2024",""
"00QUo000004txuq","Marketing Inbound","Inbound","DM; SMS","Shaoxiang Chan","Marketing Nurture Queue","(757) 362-8587","","","女老板","Unknown","Chinese","VA","United States","1/31/2024","Mkt_SMS_Internal_General","1/22/2024","","SDR Working","Did not pick up","","","","","","","",""
"00QUo000004tD2L","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(604) 876-3620","","Argo CafΘ","Argo CafΘ","Cajun","BC","Canada","1/22/2024","Mkt_DM_Snowflake_2024JanV5","1/22/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004tCiz","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(905) 534-8887","","Ten Ren's Tea","Ten Ren's Tea","Chinese","ON","Canada","1/22/2024","Mkt_DM_Snowflake_2024JanV5","1/22/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004tBi5","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(613) 737-3198","","Ginkgo Garden","Ginkgo Garden","Chinese","ON","Canada","1/22/2024","Mkt_DM_Snowflake_2024JanV4","1/22/2024","","SDR Complete","Dead","","","","","","","",""
