Snowball.Map,Name,Contact.Last.Name,Contact.First.Name,Contact.Salutation,Contact.Gender.Code,Contact.Title.Description,Price,Reviews,Category,Phone.Number,FullAddress,Street,City,State,Zip,Location.Sales.Volume.Description,Location.Employment.Size.Description,Small.Business.Entrepreneur.Indicator,Vendor.Ethnicity.Description,infoUSA.ID,Franchise.Specialty.Description1,True.Franchise.Indicator
67985,Sun Wui Restaurant,,,,,,,NA,Chinese,(709) 786-0888,"['6 Sawdust Road', 'Bay Roberts, NL A0A 1X0', 'Canada']",6 Sawdust Road,Bay Roberts,NL,A0A 1X0,,,,,NA,,
67986,Kylin Restaurant and Buffet,,,,,,null,1,Chinese,(709) 596-5710,"['68-70 Harvey Street', 'Harbour Grace, NL A0A 2M0', 'Canada']",68-70 Harvey Street,Harbour Grace,NL,A0A 2M0,,,,,NA,,
67987,Wong's House Restaurant,,,,,,$$,4,Chinese,(709) 229-7628,"['Conception Bay', 'Holyrood, NL A0A 2R0', 'Canada']",Conception Bay,Holyrood,NL,A0A 2R0,,,,,NA,,
67988,Hoi Pun,TOM,YET YEE,MR,M,OWNER,null,1,Chinese,(709) 227-2549,"['14 Prince William Drive', 'Placentia, NL A0B 2Y0', 'Canada']",14 Prince William Drive,Placentia,NL,A0B 2Y0,"LESS THAN $500,000",4-Jan,Y,Chinese,11745809,,
67989,Wongs Palace Restaurant,,,,,,null,3,Chinese,(709) 279-3773,"['29 McGettigan Boulevard', 'Marystown, NL A0E 2M0', 'Canada']",29 McGettigan Boulevard,Marystown,NL,A0E 2M0,,,,,NA,,
67990,Dragon and Phoenix,,,,,,null,1,Chinese,(709) 524-6688,"['386 J R Smallwood Boulevard', 'Gambo, NL A0G 1T0', 'Canada']",386 J R Smallwood Boulevard,Gambo,NL,A0G 1T0,,,,,NA,,
67991,Grenfell Restaurant,ENAULT,CHARLES,MR,M,OWNER,null,3,Chinese,(709) 288-0264,"['9 Grenfell Drive', 'Wabush, NL A0R 1B0', 'Canada']",9 Grenfell Drive,Wabush,NL,A0R 1B0,$1-2.5 MILLION,20-49,N,French,55618730,,
67992,Sequerra's Restaurant,BATINO,JOSELITO,MR,M,OWNER,$$,2,Chinese,(709) 753-8887,"['27 Elizabeth Avenue', """"St. John's, NL A1A 1W6"""", 'Canada']",27 Elizabeth Ave,St. John's,NL,A1A 1W6,"$500,000-1 MILLION",19-Oct,N,Italian,47377031,,
67993,China House Restaurant,TAM,HANG KUEN,MS,F,OWNER,null,9,Chinese,(709) 754-2892,"['141 Torbay Rd', """"St John's, NL A1A 2H1"""", 'Canada']",141 Torbay Rd,St. John's,NL,A1A 2H1,"LESS THAN $500,000",9-May,Y,"Khmer (Kampuchean, Cambodian)",11667284,,
67994,Canton Restaurant,,,,,,$$,2,Chinese,(709) 738-1968,"['445 Newfoundland Drive', """"St John's, NL A1A 4C3"""", 'Canada']","445 Newfoundland Drive,",St Johns,NL,A1A 4C3,,,,,NA,,
67995,Kung Fu Chinese Restaurant,,,,,,null,1,Chinese,(709) 738-8838,"['27 Airport Heights Drive', """"St. John's, NL A1A 4W8"""", 'Canada']",27 Airport Heights Dr,St. John's,NL,A1A 4W8,,,,,NA,,
67996,Golden Phoenix Buffet,YU,YONGTAO,MR,M,OWNER,null,9,Chinese,(709) 579-0785,"['56A Kenmount Road', """"St John's, NL A1B 1W3"""", 'Canada']",56A Kenmount Rd,St. John's,NL,A1B 1W2,"$500,000-1 MILLION",19-Oct,N,Chinese,58799339,,
67997,Noodle Nami,,,,,,null,3,Cajun Seafood,(709) 722-4141,"['8-10 Rowan Street', 'Suite L003', """"St. John's, NL A1B 2X1"""", 'Canada']","8-10 Rowan Street, Suite L003,",St. Johns,NL,A1B 2X1,,,,,NA,,
67998,Kenmount Restaurant,HONG,KEN,MR,M,OWNER,$$,5,Chinese,(709) 753-8385,"['75 Kenmount Road', """"St. John's, NL A1B 3P8"""", 'Canada']","75 Kenmount Road,",St. Johns,NL,A1B 3P8,"LESS THAN $500,000",9-May,Y,Chinese,11755527,,
67999,sun sushi,XIE,MING,,,OWNER,null,4,Japanese,() ,"['193 Kenmount Road', """"St. John's, NL A1B 3P9"""", 'Canada']",193 Kenmount Rd,St. John's,NL,A1B 3P9,"LESS THAN $500,000",9-May,Y,Chinese,763253793,,
68000,Wok Box,STEELE,JAMES,MR,M,MANAGER,$$,5,Cajun Seafood,(709) 726-3222,"['55 A-1 Kelsey Dr', """"St John's, NL A1B 5C8"""", 'Canada']","55 A-1 Kelsey Dr,",St Johns,NL,A1B 5C8,"LESS THAN $500,000",9-May,N,English,58796145,,Y
68001,Bad Bones Ramen,,,,,,$$,26,Japanese,(709) 237-2200,"['178 Water St', """"St. John's, NL A1C 1A9"""", 'Canada']",178 Water St,St. John's,NL,A1C 1A9,,,,,NA,,
68002,Sushi Island,,,,,,$$,29,Japanese,(709) 753-2378,"['210 Water Street', """"Saint John's, NL A1C 1A9"""", 'Canada']",210 Water St,St. John's,NL,A1C 1A9,,,,,NA,,
68003,Hong Kong Restaurant,MEIKEM,YOK,MR,M,OWNER,$$,6,Chinese,(709) 753-8838,"['361 Water Street', """"St. John's, NL A1C 1C2"""", 'Canada']","361 Water Street,",St. Johns,NL,A1C 1C2,"LESS THAN $500,000",9-May,Y,Chinese,25318155,,
68004,MAGIC WOK EATERY,LI,JERRY,MR,M,OWNER,$$,17,Chinese,(709) 753-6907,"['402 - 408 Water Street', """"St. John's, NL A1C 1C9"""", 'Canada']","402-408 Water Street,",St. Johns,NL,A1C 1C9,$1-2.5 MILLION,20-49,N,Chinese,11763976,,
68005,Sun Sushi,SUN,CHANGYUN,MS,F,OWNER,$$,19,Japanese,(709) 726-8688,"['186 Duckworth Street', """"St. John's, NL A1C 1G5"""", 'Canada']",186 Duckworth St,St. John's,NL,A1C 1G5,"LESS THAN $500,000",9-May,Y,Chinese,47376835,,
68006,Bamboo Garden,,,,,,$$,8,Chinese,(709) 726-7802,"['252 Duckworth St', """"St. John's, NL A1C 1G6"""", 'Canada']","252 Duckworth St,",St. Johns,NL,A1C 1G6,,,,,NA,,
68007,Basho Restaurant & Lounge,,,,,,$$$,25,Japanese,(709) 576-4600,"['283 Duckworth Street', """"St. John's, NL A1C 1G9"""", 'Canada']",283 Duckworth St,St. John's,NL,A1C 1G9,,,,,NA,,
68008,Sushi Nami Royale,,,,,,$$,17,Japanese,(709) 722-1003,"['36 George Street', """"Saint John's, NL A1C 1M3"""", 'Canada']","36 George Street,",Saint Johns,NL,A1C 1M3,,,,,NA,,
