EXTERNAL_USER_ID,MESSAGE_BODY,TIME_RECEIVED_EST
R88132,10,2024-08-30 7:58:54
R88388,10,2024-08-29 16:23:35
R82086,10,2024-08-29 15:47:58
R81166,10,2024-08-31 23:14:54
R81751,10,2024-08-30 20:38:17
R86205,10,2024-08-30 16:34:00
R81698,10,2024-08-30 15:27:15
R82029,10,2024-08-30 14:29:02
R82002,10,2024-08-30 12:19:02
R83836,10,2024-08-30 11:59:04
R83602,10,2024-08-30 11:57:45
R86267,10,2024-08-30 10:55:57
R81975,10,2024-08-30 10:09:24
R85913,10,2024-08-30 4:13:11
R81959,10,2024-08-30 1:17:56
R86822,10,2024-08-29 23:03:18
R83116,10,2024-08-29 22:08:05
R82381,10,2024-08-29 21:14:28
R86861,10,2024-08-29 21:06:11
R85159,10,2024-08-29 19:34:41
R82815,10,2024-08-29 19:44:54
R82922,10,2024-08-29 19:31:32
R87533,10,2024-08-29 19:39:22
R81272,10,2024-08-29 18:52:37
R81815,10,2024-08-29 18:26:50
R82559,10,2024-08-29 18:35:16
R85539,10,2024-08-29 18:25:30
R85708,10,2024-08-29 18:01:51
R83577,10,2024-08-29 18:08:09
R86561,10,2024-08-29 18:07:15
R86979,10,2024-08-29 17:53:16
R82072,10,2024-08-29 17:28:55
R86818,10,2024-08-29 17:33:56
R88852,10,2024-08-29 16:55:55
R88226,10,2024-08-29 15:11:12
R83072,10,2024-08-29 16:54:46
R85037,10,2024-08-29 16:50:17
R82921,10,2024-08-29 16:46:20
R86823,10,2024-08-29 16:36:52
R85868,10,2024-08-29 16:31:04
R86596,10,2024-08-29 16:31:56
R88685,10,2024-08-29 15:13:21
R81983,10,2024-08-29 16:24:40
R81805,10,2024-08-29 16:17:09
R87601,10,2024-08-29 16:16:57
R81076,10,2024-08-29 16:12:38
R86769,10,2024-08-29 16:19:55
R88627,10,2024-08-29 15:07:17
R85768,10,2024-08-29 16:13:45
R83857,10,2024-08-29 16:07:24
R85976,10,2024-08-29 16:01:41
R83705,10,2024-08-29 16:01:26
R83983,10,2024-08-29 16:00:44
R87158,10,2024-08-29 15:54:45
R85259,10,2024-08-29 15:49:15
R85151,10,2024-08-29 15:56:10
R85866,10,2024-08-29 15:46:20
R85372,10,2024-08-29 15:36:02
R86119,10,2024-08-29 15:37:05
R86526,10,2024-08-29 15:35:10
R87507,10,2024-08-29 15:45:31
R86698,10,2024-08-29 15:43:15
R86668,10,2024-08-29 15:24:31
R86293,10,2024-08-29 15:26:21
R83367,10,2024-08-29 15:33:30
R86832,10,2024-08-29 15:23:51
R86282,10,2024-08-29 15:22:38
R82078,10,2024-08-29 15:17:11
R87398,10,2024-08-29 15:15:03
R87375,10,2024-08-29 15:22:14
R87173,10,2024-08-29 15:11:53
R83706,10,2024-08-29 15:12:50
R85715,10,2024-08-29 15:18:22
R88967,10,2024-08-29 15:20:53
R88915,10,2024-08-29 15:14:44
R85955,10,2024-08-29 15:22:17
R81861,10,2024-08-29 15:23:02
R83861,10,2024-08-29 15:17:11
R83087,10,2024-08-29 15:21:59
R82382,10,2024-08-29 15:22:41
R86592,10,2024-08-29 15:19:57
R83193,10,2024-08-29 15:25:43
R81333,10,2024-08-29 15:22:10
R87603,10,2024-08-29 15:11:03
R86077,10,2024-08-29 15:15:32
R82393,10,2024-08-29 15:01:46
R81195,10,2024-08-29 15:06:48
R81283,10,2024-08-29 15:01:23
R88112,10,2024-08-29 15:01:53
R81787,10,2024-08-29 15:01:01
R85503,10,2024-08-29 15:01:13
R81035,10,2024-08-29 15:02:42
R81359,10,2024-08-29 15:08:10
R85153,10,2024-08-29 15:01:52
R82918,10,2024-08-29 15:01:09
R88969,10,2024-08-29 15:11:31
R82888,10,2024-08-29 15:08:43
R82816,10,2024-08-29 15:05:38
R81029,10,2024-08-29 15:08:36
R85758,10,2024-08-29 15:06:09
R81865,10,2024-08-29 15:00:52
R83663,10,2024-08-29 15:04:03
R81195,10,2024-08-29 15:09:35
R82209,10,2024-08-29 15:02:31
R83791,10,2024-08-29 15:02:02
R85663,10,2024-08-29 15:01:42
R87175,10,2024-08-29 15:01:30
R85167,10,2024-08-29 15:00:42
R85835,10,2024-08-29 15:01:47
R81778,10,2024-08-29 15:00:41
R86553,10,2024-08-29 15:01:41
R88508,10,2024-08-29 15:02:36
R83179,10,2024-08-29 15:01:16
R86228,10,2024-08-29 15:01:18
R82778,10,2024-08-29 15:01:45
R83285,10,2024-08-29 15:04:25
R86355,10,2024-08-29 15:02:50
R87579,10,2024-08-29 15:01:02
R81953,10,2024-08-29 15:00:48
R87015,10,2024-08-29 15:04:18
R83019,10,2024-08-29 15:01:07
R88218,10,2024-08-29 15:01:04
R86807,10,2024-08-29 15:01:04
R86192,10,2024-08-29 15:01:04
R83785,10,2024-08-29 15:02:11
R85739,10,2024-08-29 15:03:26
R81739,10,2024-08-29 15:02:31
R81267,10,2024-08-29 15:01:24
R86853,10,2024-08-29 15:05:28
R83678,10,2024-08-29 15:01:08
R87322,10,2024-08-29 15:04:31
R88527,10,2024-08-29 15:01:45
R87167,10,2024-08-29 15:01:09
R88818,10,2024-08-29 16:36:39
R81191,10,2024-08-29 15:29:17
R88299,10,2024-08-29 15:01:57
R88719,10,2024-08-29 15:00:49
R81975,9,2024-08-30 10:09:20
R81909,9,2024-08-30 8:23:06
R86171,9,2024-08-30 1:34:23
R86697,9,2024-08-29 18:10:05
R85812,9,2024-08-29 16:52:47
R83227,9,2024-08-29 15:58:43
R86886,9,2024-08-29 15:42:23
R85182,9,2024-08-29 15:33:22
R82772,9,2024-08-29 15:03:18
R85999,9,2024-08-29 15:13:39
R85588,9,2024-08-29 15:01:22
R81063,9,2024-08-29 15:08:57
R81302,9,2024-08-29 15:01:21
R82879,9,2024-08-29 15:00:59
R85002,9,2024-08-29 15:01:16
R85056,9,2024-08-29 15:01:47
R87136,9,2024-08-29 15:01:27
R82777,9,2024-08-29 15:01:22
R88703,9,2024-08-29 15:02:06
R88995,8,2024-08-30 13:11:07
R83959,8,2024-08-30 10:41:13
R87612,8,2024-08-29 23:42:55
R82003,8,2024-08-29 20:52:34
R87615,8,2024-08-29 20:29:02
R85788,8,2024-08-29 20:05:55
R82773,8,2024-08-29 18:47:15
R85737,8,2024-08-29 17:19:24
R86808,8,2024-08-29 16:48:00
R82055,8,2024-08-29 16:32:13
R83292,8,2024-08-29 16:32:08
R87307,8,2024-08-29 16:22:45
R82603,8,2024-08-29 16:17:25
R85336,8,2024-08-29 15:47:20
R87608,8,2024-08-29 15:47:11
R81302,8,2024-08-29 15:33:14
R81918,8,2024-08-29 15:32:21
R81693,8,2024-08-29 15:02:33
R87521,8,2024-08-29 15:05:07
R82009,8,2024-08-29 15:04:47
R85867,8,2024-08-29 15:04:00
R87531,8,2024-08-29 15:01:39
R82505,8,2024-08-29 15:00:50
R82088,8,2024-08-29 15:13:54
R85668,8,2024-08-29 15:05:43
R86751,8,2024-08-29 15:02:10
R83656,8,2024-08-29 15:15:20
R87521,8,2024-08-29 15:06:10
R83611,8,2024-08-29 15:04:27
R86905,8,2024-08-29 15:01:42
R86175,8,2024-08-29 15:01:22
R82868,8,2024-08-29 15:01:25
R87085,8,2024-08-29 15:01:46
R82767,8,2024-08-29 15:00:45
R81508,8,2024-08-29 15:01:19
R81929,8,2024-08-29 15:04:25
R83833,8,2024-08-29 15:00:51
R88689,8,2024-08-29 15:20:21
R88213,8,2024-08-29 15:01:05
R82036,7,2024-09-01 13:40:59
R87165,7,2024-08-30 11:03:01
R85677,7,2024-08-30 9:03:34
R85592,7,2024-08-29 20:06:15
R83103,7,2024-08-29 19:57:50
R81019,7,2024-08-29 18:02:45
R82723,7,2024-08-29 15:40:40
R82689,7,2024-08-29 15:13:09
R82095,7,2024-08-29 15:18:40
R82803,7,2024-08-29 15:21:07
R87355,7,2024-08-29 15:15:41
R85637,7,2024-08-29 15:04:12
R87063,7,2024-08-29 15:01:50
R83081,7,2024-08-29 15:00:46
R83108,7,2024-08-29 15:01:07
R88333,7,2024-08-29 15:05:57
R81531,7,2024-08-29 15:03:39
R83112,7,2024-08-29 15:01:57
R83052,7,2024-08-29 15:01:04
R88313,7,2024-08-29 15:01:54
R88769,7,2024-08-29 15:00:54
R86122,7,2024-08-30 18:08:11
R82587,6,2024-08-30 14:14:15
R86767,6,2024-08-30 13:32:24
R81802,6,2024-08-30 12:35:15
R81519,6,2024-08-29 18:14:57
R82825,6,2024-08-29 15:55:53
R86296,6,2024-08-29 15:24:40
R81393,6,2024-08-29 15:14:13
R86579,6,2024-08-29 15:03:12
R86788,6,2024-08-29 15:01:40
R82889,6,2024-08-29 15:06:04
R87521,6,2024-08-29 15:01:39
R85876,6,2024-08-29 15:01:09
R83835,5,2024-08-31 16:19:16
R86216,5,2024-08-31 14:11:43
R83168,5,2024-08-30 22:27:57
R86162,5,2024-08-30 12:00:53
R83171,5,2024-08-30 9:43:05
R86772,5,2024-08-30 1:00:29
R86033,5,2024-08-29 23:38:42
R82026,5,2024-08-29 23:17:01
R86152,5,2024-08-29 19:35:15
R82768,5,2024-08-29 17:10:08
R85263,5,2024-08-29 16:35:36
R83759,5,2024-08-29 16:03:14
R86298,5,2024-08-29 15:56:30
R86659,5,2024-08-29 15:55:18
R85823,5,2024-08-29 15:49:53
R83208,5,2024-08-29 15:33:12
R86509,5,2024-08-29 15:32:40
R86029,5,2024-08-29 15:25:26
R87161,5,2024-08-29 15:21:12
R81537,5,2024-08-29 15:16:27
R82671,5,2024-08-29 15:01:08
R86128,5,2024-08-29 15:10:56
R81252,5,2024-08-29 15:03:59
R87153,5,2024-08-29 15:11:02
R86809,5,2024-08-29 15:00:51
R81535,5,2024-08-29 15:00:45
R83211,5,2024-08-29 15:01:34
R81825,5,2024-08-29 15:01:15
R88816,5,2024-08-29 15:01:55
R87575,5,2024-08-29 15:03:10
R88523,5,2024-08-29 16:05:10
R88319,5,2024-08-29 15:15:40
R82029,5,2024-08-29 15:00:31
R82838,4,2024-08-31 0:02:29
R86303,4,2024-08-29 21:40:28
R85877,4,2024-08-29 19:41:06
R85999,4,2024-08-29 18:09:03
R85798,4,2024-08-29 16:25:49
R83057,4,2024-08-29 15:26:06
R82078,4,2024-08-29 15:19:00
R82997,4,2024-08-29 15:12:21
R86755,4,2024-08-29 15:04:13
R85113,3,2024-08-29 19:14:36
R81503,3,2024-08-29 17:22:34
R86106,3,2024-08-29 15:56:59
R82616,3,2024-08-29 15:42:36
R82616,3,2024-08-29 15:42:30
R85096,3,2024-08-29 15:32:13
R82681,3,2024-08-29 15:14:07
R88551,3,2024-08-29 15:01:01
R88513,3,2024-08-29 15:02:43
R85757,2,2024-08-30 20:27:21
R87007,2,2024-08-29 19:27:22
R81816,2,2024-08-29 16:00:08
R85796,2,2024-08-29 15:35:29
R85767,2,2024-08-29 15:08:07
R83187,2,2024-08-29 15:01:01
R83379,1,2024-08-31 19:24:00
R85716,1,2024-08-31 19:36:25
R85082,1,2024-08-30 17:50:41
R85082,1,2024-08-30 17:50:38
R85082,1,2024-08-30 17:48:49
R82873,1,2024-08-30 13:33:39
R83533,1,2024-08-30 12:42:41
R86099,1,2024-08-30 10:49:07
R87397,1,2024-08-29 23:31:10
R86232,1,2024-08-29 22:30:02
R81318,1,2024-08-29 21:54:29
R83861,1,2024-08-29 20:26:55
R82788,1,2024-08-29 20:24:28
R86827,1,2024-08-29 20:15:28
R81273,1,2024-08-29 19:51:05
R81817,1,2024-08-29 19:23:58
R82051,1,2024-08-29 18:28:10
R83118,1,2024-08-29 18:28:37
R87021,1,2024-08-29 16:53:01
R81021,1,2024-08-29 15:44:37
R82989,1,2024-08-29 15:41:25
R88931,1,2024-08-29 15:36:36
R83728,1,2024-08-29 15:14:24
R86383,1,2024-08-29 15:24:22
R83635,1,2024-08-29 15:06:00
R86723,1,2024-08-29 15:06:13
R87153,1,2024-08-29 15:08:41
R87017,1,2024-08-29 15:03:28
