Page location,Date,Event name,Sessions
https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=03387,20231003,first_visit,1
https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=03387,20231003,page_view,1
https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=03387,20231003,scroll,1
https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=03387,20231003,session_start,1
https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=03387,20231005,page_view,1
https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=03387,20231005,session_start,1
https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=03531,20231004,first_visit,1
https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=03531,20231004,page_view,1
https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=03531,20231004,scroll,1
https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=03531,20231004,session_start,1
https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=03838,20231008,first_visit,1
https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=03838,20231008,user_engagement,1
https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=03891,20231005,first_visit,1
https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=03891,20231005,page_view,1
https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=03891,20231005,scroll,1
https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=03891,20231005,session_start,1
https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=03941,20231003,first_visit,1
https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=03941,20231005,page_view,1
