URL from Google Analytics,Snowball Map,repeated,Restaurant Name,Business Phone,Menu Type,Cuisine Type,Address,City,State,Region,Session Date,Lead Created Date,Date Diff,BY PHONE,BY NAME
https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=43009,43009,FALSE,Eden Bento Cafe,(778) 471-7072,Korean; Japanese,Korean; Japanese,450 Lansdowne St,Kamloops,BC,Canada,10/11/2023,10/11/2023,0,7784717072,-
https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=35942,35942,FALSE,Grab Protein Bowl Express (720 W Highland Ave),(480) 658-7966,American; Japanese,American Chinese,720 W Highland Ave,Phoenix,AZ,Southwest,10/5/2023,9/22/2023,13,4806587966,9/22/2023
https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=43975,43975,FALSE,Hatsuki Sushi,(250) 376-8815,Korean; Japanese,Korean; Japanese,424 Tranquille Rd,Kamloops,BC,Canada,10/10/2023,9/21/2023,19,2503768815,-
https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=19919,19919,FALSE,Chinatown,(909) 799-6633,Chinese,American Chinese,25542 Barton Rd,Loma Linda,CA,West,10/6/2023,9/13/2023,23,9097996633,9/13/2023
https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=37391,37391,FALSE,China House,(504) 368-5520,Chinese,American Chinese,3600 MacArthur Blvd,New Orleans,LA,Southeast,10/3/2023,9/3/2023,30,5043685520,9/3/2023
https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=30966,30966,FALSE,Sakurajapan sushi&grill,(646) 229-5086,Japanese,American Chinese,123 Liberty Way,Fruitland,MD,Northeast,10/4/2023,8/7/2023,58,6462295086,-
https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=14556,14556,FALSE,Kinton Ramen,(312) 374-3942,Japanese,Japanese,163 N Sangamon St,Chicago,IL,Midwest,10/2/2023,4/4/2023,181,3123743942,-
https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=17307,17307,FALSE,Go Sushi,(928) 440-5001,Japanese,American Chinese,1411 S Milton Rd,Flagstaff,AZ,Southwest,10/2/2023,4/4/2023,181,9284405001,-
https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=38815,38815,FALSE,Terakawa Ramen,(609) 799-6688,Japanese,Japanese,64 Princeton Hightstown Rd,Princeton Junction,NJ,Northeast,10/3/2023,4/4/2023,182,6097996688,-
https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=19707,19707,FALSE,I Love Teriyaki,(916) 852-6060,Japanese,American Chinese,2310 Sunrise Blvd,Rancho Cordova,CA,West,10/4/2023,4/4/2023,183,9168526060,-
https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=28198,28198,FALSE,Ohana Poke Shop,(319) 200-5667,Hawaiian; Japanese,Hawaiian; Japanese,2931 7th Ave,Marion,IA,Midwest,10/4/2023,4/4/2023,183,3192005667,-
https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=34605,34605,FALSE,Yamato Japanese Steakhouse,(601) 568-5151,Japanese,American Chinese,211 S Lewis Ave,Philadelphia,MS,Southeast,10/4/2023,4/4/2023,183,6015685151,-
https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=21319,21319,FALSE,Katana Sushi,(804) 893-4787,Japanese,American Chinese,13825 Village Place Dr,Midlothian,VA,Southeast,10/4/2023,4/4/2023,183,8048934787,-
https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=24285,24285,FALSE,Yummy Hibachi and Sushi,(843) 379-1080,Japanese,Japanese,1370 Ribaut Rd,Port Royal,SC,Southeast,10/4/2023,4/4/2023,183,8433791080,-
https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=32624,32624,FALSE,Kai Thai Restaurant,(478) 454-1237,Japanese; Thai,Japanese; Thai,2470 N Columbia St,Milledgeville,GA,Southeast,10/7/2023,4/4/2023,186,4784541237,-
