Row Labels,Sum of ARR,Sum of Total,Sum of Take Rate,,ID,Base & Other Fees,Rental,Voice ARR,Adj,ID,WP ARR,,ID,DE ARR,,ID,Status,,,
R81001,"31,356","448,581",6.99%,,R81001,0,0,"31,356",0.00%,R81001,"1,996",,R81001,"1,110",,R88269,Jul'24 Reactivate,,R88256,Jul'24 Y
R81002,"8,194","117,221",6.99%,,R81002,0,0,"8,194",,R81007,"1,244",,R81008,103,,R81631,Jul'24 Reactivate,,R88971,Jul'24 Y
R81007,"12,977","162,217",8.00%,,R81003,0,0,0,,R81008,305,,R81013,700,,R81925,Jul'24 Reactivate,,R81139,Jul'24 Y
R81008,"6,284","82,790",7.59%,,R81005,0,0,0,,R81013,"1,606",,R81016,778,,R82092,Jul'24 Reactivate,,R81291,Jul'24 Y
R81009,"26,596","309,615",8.59%,,R81006,0,0,0,,R81016,"1,609",,R81075,118,,R82662,Jul'24 Reactivate,,R81293,Jul'24 Y
R81013,"22,999","329,031",6.99%,,R81007,0,0,"12,977",,R81018,"3,174",,R81132,534,,R82911,Jul'24 Reactivate,,R81381,Jul'24 Y
R81016,"9,267","115,833",8.00%,,R81008,200,0,"8,684",,R81019,"5,352",,R81133,"1,204",,R82919,Jul'24 Reactivate,,R81375,Jul'24 Y
R81018,"34,264","439,846",7.79%,,R81009,10,0,"26,716",,R81026,"2,940",,R81135,541,,R83326,Jul'24 Reactivate,,R81581,Jul'24 Y
R81019,"46,265","593,903",7.79%,,R81011,0,0,0,,R81028,"6,371",,R81151,341,,R83618,Jul'24 Reactivate,,R81662,Jul'24 Y
R81021,"12,158","173,935",6.99%,,R81012,0,0,0,,R81031,"3,694",,R81159,32,,R85001,Jul'24 Reactivate,,R81732,Jul'24 Y
R81022,"31,559","451,484",6.99%,,R81013,0,0,"22,999",,R81033,"6,967",,R81177,"1,153",,R85218,Jul'24 Reactivate,,R81839,Jul'24 Y
R81023,"4,520","56,570",7.99%,,R81015,0,0,0,,R81051,"3,329",,R81178,677,,R85596,Jul'24 Reactivate,,R81908,Jul'24 Y
R81026,"34,962","443,113",7.89%,,R81016,0,0,"9,267",,R81058,"1,535",,R81186,96,,R85835,Jul'24 Reactivate,,R81997,Jul'24 Y
R81028,"57,500","757,582",7.59%,,R81017,0,0,0,,R81068,"4,257",,R81188,716,,R85861,Jul'24 Reactivate,,R82523,Jul'24 Y
R81029,"35,454","507,214",6.99%,,R81018,0,0,"34,264",,R81072,"1,191",,R81195,252,,R86086,Jul'24 Reactivate,,R82601,Jul'24 Y
R81031,"27,199","344,724",7.89%,,R81019,0,0,"46,265",,R81073,"1,812",,R81201,27,,R86297,Jul'24 Reactivate,,R82682,Jul'24 Y
R81033,"51,493","621,140",8.29%,,R81021,0,0,"12,158",,R81075,276,,R81202,262,,R86601,Jul'24 Reactivate,,R82761,Jul'24 Y
R81035,"20,298","254,045",7.99%,,R81022,0,0,"31,559",,R81088,"13,025",,R81207,"1,024",,R86622,Jul'24 Reactivate,,R82895,Jul'24 Y
R81037,"29,010","415,027",6.99%,,R81023,0,0,"4,520",,R81095,"5,800",,R81211,186,,R86652,Jul'24 Reactivate,,R82875,Jul'24 Y
R81051,"17,157","220,241",7.79%,,R81025,0,0,0,,R81101,865,,R81232,884,,R87015,Jul'24 Reactivate,,R83013,Jul'24 Y
R81052,"36,124","420,531",8.59%,,R81026,0,0,"34,962",,R81121,"2,442",,R81238,376,,R87181,Jul'24 Reactivate,,R83022,Jul'24 Y
R81053,0,0,7.59%,,R81027,0,0,0,,R81122,"1,971",,R81251,131,,R87038,Jul'24 New,,R83086,Jul'24 Y
R81055,"25,261","294,078",8.59%,,R81028,10,0,"57,620",,R81132,"1,520",,R81255,166,,R87302,Jul'24 New,,R83127,Jul'24 Y
R81057,"20,827","297,954",6.99%,,R81029,0,0,"35,454",,R81133,"1,433",,R81308,158,,R87376,Jul'24 New,,R83279,Jul'24 Y
R81058,"15,622","200,541",7.79%,,R81031,0,0,"27,199",,R81135,776,,R81318,293,,R87556,Jul'24 New,,R83388,Jul'24 Y
R81061,0,0,6.99%,,R81032,0,0,0,,R81161,"3,333",,R81333,234,,R87372,Jul'24 New,,R83369,Jul'24 Y
R81063,"22,216","317,827",6.99%,,R81033,0,0,"51,493",,R81166,"7,613",,R81375,108,,R87396,Jul'24 New,,R83662,Jul'24 Y
R81065,"41,295","590,775",6.99%,,R81035,0,0,"20,298",,R81167,"4,671",,R81379,314,,R87501,Jul'24 New,,R83693,Jul'24 Y
R81067,0,0,6.99%,,R81036,0,0,0,,R81171,"2,180",,R81501,256,,R87515,Jul'24 New,,R83688,Jul'24 Y
R81068,"35,338","442,277",7.99%,,R81037,0,0,"29,010",,R81177,"2,296",,R81585,"1,729",,R87516,Jul'24 New,,R83853,Jul'24 Y
R81072,"14,778","176,142",8.39%,,R81038,0,0,0,,R81178,742,,R81596,740,,R87532,Jul'24 New,,R83936,Jul'24 Y
R81073,"8,207","102,584",8.00%,,R81039,0,0,0,,R81183,"2,639",,R81625,142,,R87557,Jul'24 New,,R83918,Jul'24 Y
R81075,"8,437","120,702",6.99%,,R81051,0,0,"17,157",,R81188,822,,R81626,330,,R87286,Jul'24 New,,R83935,Jul'24 Y
R81076,"30,368","384,887",7.89%,,R81052,0,0,"36,124",,R81195,"1,114",,R81639,353,,R87375,Jul'24 New,,R85087,Jul'24 Y
R81081,"17,903","256,128",6.99%,,R81053,54,0,648,,R81201,77,,R81673,884,,R87381,Jul'24 New,,R85069,Jul'24 Y
R81082,0,0,7.89%,,R81055,0,0,"25,261",,R81202,633,,R81679,105,,R87386,Jul'24 New,,R85016,Jul'24 Y
R81086,0,0,7.59%,,R81056,0,0,0,,R81203,"9,058",,R81683,102,,R87398,Jul'24 New,,R85316,Jul'24 Y
R81087,"17,714","233,380",7.59%,,R81057,0,0,"20,827",,R81207,"1,590",,R81687,"1,446",,R87519,Jul'24 New,,R85378,Jul'24 Y
R81088,"31,081","393,935",7.89%,,R81058,10,0,"15,742",,R81211,370,,R81689,287,,R87527,Jul'24 New,,R85766,Jul'24 Y
R81091,"5,367","76,785",6.99%,,R81059,0,0,0,,R81219,"2,989",,R81715,693,,R87552,Jul'24 New,,R85815,Jul'24 Y
R81095,"51,752","631,897",8.19%,,R81061,0,0,0,,R81225,"3,611",,R81716,266,,R87369,Jul'24 New,,R85899,Jul'24 Y
R81096,"29,561","344,129",8.59%,,R81062,0,0,0,,R81226,81,,R81726,408,,R87393,Jul'24 New,,R85963,Jul'24 Y
R81098,"10,226","146,299",6.99%,,R81063,0,0,"22,216",,R81228,"1,166",,R81805,"1,253",,R87382,Jul'24 New,,R85998,Jul'24 Y
R81099,0,0,6.99%,,R81065,0,0,"41,295",,R81232,"1,363",,R81811,268,,R87523,Jul'24 New,,R86003,Jul'24 Y
R81101,"9,451","124,518",7.59%,,R81066,0,0,0,,R81238,596,,R81812,322,,R87318,Jul'24 New,,R86176,Jul'24 Y
R81103,"13,661","170,757",8.00%,,R81067,0,0,0,,R81251,353,,R81835,609,,R87368,Jul'24 New,,R85873,Jul'24 Y
R81107,"25,138","359,630",6.99%,,R81068,0,0,"35,338",,R81255,508,,R81861,153,,R87378,Jul'24 New,,R86208,Jul'24 Y
R81109,"23,718","296,844",7.99%,,R81069,0,0,0,,R81269,"3,322",,R81863,333,,R87383,Jul'24 New,,R86322,Jul'24 Y
R81112,"22,785","325,966",6.99%,,R81071,0,0,0,,R81278,"1,811",,R81912,106,,R87389,Jul'24 New,,R86295,Jul'24 Y
R81116,"20,963","299,894",6.99%,,R81072,0,0,"14,778",,R81285,"5,928",,R81918,291,,R87397,Jul'24 New,,R86397,Jul'24 Y
R81117,"3,408","48,755",6.99%,,R81073,0,0,"8,207",,R81286,190,,R81963,"2,269",,R87505,Jul'24 New,,R86587,Jul'24 Y
R81118,0,0,6.99%,,R81075,0,0,"8,437",,R81287,"2,839",,R81969,10,,R87511,Jul'24 New,,R86799,Jul'24 Y
R81119,"5,572","79,711",6.99%,,R81076,10,0,"30,488",,R81288,"1,179",,R81972,586,,R87513,Jul'24 New,,R86967,Jul'24 Y
R81121,"31,988","421,446",7.59%,,R81077,0,0,0,,R81297,703,,R82011,70,,R87525,Jul'24 New,,R86986,Jul'24 Y
R81122,0,0,8.00%,,R81078,0,0,0,,R81308,332,,R82022,502,,R87537,Jul'24 New,,R87119,Jul'24 Y
R81125,"4,372","62,540",6.99%,,R81081,0,0,"17,903",,R81309,"1,506",,R82031,53,,R87332,Jul'24 New,,R87116,Jul'24 Y
R81127,"33,034","413,437",7.99%,,R81082,0,0,0,,R81315,464,,R82055,14,,R87388,Jul'24 New,,R87115,Jul'24 Y
R81128,"10,584","151,419",6.99%,,R81083,0,0,0,,R81318,595,,R82083,"1,045",,R87399,Jul'24 New,,R87183,Jul'24 Y
