Row Labels,Sum of ARR,Sum of Total,Sum of Take Rate,,ID,Base & Other Fees,Rental,Voice ARR,Adj,ID,WP ARR,,ID,DE ARR,,ID,Status
R81001,"31,345","448,426",6.99%,,R81001,0,0,"32,356",3.23%,R81001,"2,082",,R81001,955,,R88269,Reactivate
R81002,"8,079","115,574",6.99%,,R81002,0,0,"8,340",,R81007,"1,381",,R81008,61,,R81631,Reactivate
R81007,"11,864","148,294",8.00%,,R81003,0,0,0,,R81008,288,,R81013,871,,R81925,Reactivate
R81008,"6,043","79,616",7.59%,,R81005,0,0,0,,R81013,"1,831",,R81016,718,,R82092,Reactivate
R81009,"25,164","292,943",8.59%,,R81006,0,0,0,,R81016,"1,881",,R81075,132,,R82662,Reactivate
R81013,"23,266","332,851",6.99%,,R81007,0,0,"12,247",,R81018,"3,017",,R81132,455,,R82911,Reactivate
R81016,"9,477","118,459",8.00%,,R81008,200,0,"8,638",,R81019,"4,678",,R81133,"1,045",,R82919,Reactivate
R81018,"33,293","427,376",7.79%,,R81009,10,0,"26,096",,R81026,"2,944",,R81135,883,,R83326,Reactivate
R81019,"46,009","590,612",7.79%,,R81011,0,0,0,,R81028,"6,514",,R81151,315,,R83618,Reactivate
R81021,"14,069","201,275",6.99%,,R81012,0,0,0,,R81031,"4,241",,R81177,"1,591",,R85001,Reactivate
R81022,"30,991","443,366",6.99%,,R81013,0,0,"24,017",,R81033,"6,613",,R81178,821,,R85218,Reactivate
R81023,"4,163","52,104",7.99%,,R81015,0,0,0,,R81051,"3,126",,R81186,79,,R85596,Reactivate
R81026,"37,671","477,448",7.89%,,R81016,0,0,"9,783",,R81058,"2,082",,R81188,"1,066",,R85835,Reactivate
R81028,"55,610","732,673",7.59%,,R81017,0,0,0,,R81068,"4,454",,R81195,187,,R85861,Reactivate
R81029,"34,695","496,358",6.99%,,R81018,0,0,"34,367",,R81072,"1,489",,R81201,58,,R86086,Reactivate
R81031,"31,397","397,929",7.89%,,R81019,0,0,"47,493",,R81073,"2,384",,R81202,277,,R86297,Reactivate
