Row Labels,Sum of ARR,Sum of Total,Sum of Take Rate,,ID,Base & Other Fees,Rental,Voice ARR,Adj,ID,WP ARR,,ID,DE ARR,,ID,Status,,,
R81001,"31,633","452,539",6.99%,,R81001,0,0,"31,633",0.00%,R81001,"1,899",,R81008,61,,R88269,Jul'24 Reactivate,,R88256,Jul'24 Y
R81002,"8,587","122,845",6.99%,,R81002,0,0,"8,587",,R81007,"1,401",,R81075,27,,R81631,Jul'24 Reactivate,,R88971,Jul'24 Y
R81007,"13,518","168,971",8.00%,,R81007,0,0,"13,518",,R81008,"1,116",,R81178,92,,R81925,Jul'24 Reactivate,,R81139,Jul'24 Y
R81008,"17,615","232,081",7.59%,,R81008,0,0,"17,615",,R81013,"1,188",,R81195,6,,R82092,Jul'24 Reactivate,,R81291,Jul'24 Y
R81009,"27,752","323,069",8.59%,,R81009,10,0,"27,872",,R81016,"1,550",,R81271,2,,R82662,Jul'24 Reactivate,,R81293,Jul'24 Y
R81013,"24,849","355,488",6.99%,,R81013,0,0,"24,849",,R81018,"2,793",,R81379,30,,R82911,Jul'24 Reactivate,,R81381,Jul'24 Y
R81016,"9,842","123,021",8.00%,,R81016,0,0,"9,842",,R81019,"5,723",,R81679,19,,R82919,Jul'24 Reactivate,,R81375,Jul'24 Y
R81018,"35,377","454,134",7.79%,,R81018,0,0,"35,377",,R81026,"2,460",,R81683,26,,R83326,Jul'24 Reactivate,,R81581,Jul'24 Y
R81019,"49,549","636,053",7.79%,,R81019,0,0,"49,549",,R81028,"6,291",,R81805,227,,R83618,Jul'24 Reactivate,,R81662,Jul'24 Y
R81021,"12,846","183,782",6.99%,,R81021,0,0,"12,846",,R81031,"4,479",,R81861,37,,R85001,Jul'24 Reactivate,,R81732,Jul'24 Y
R81022,"34,526","493,935",6.99%,,R81022,0,0,"34,526",,R81033,"6,363",,R81863,59,,R85218,Jul'24 Reactivate,,R81839,Jul'24 Y
R81023,"4,961","62,093",7.99%,,R81023,0,0,"4,961",,R81051,"2,659",,R81912,22,,R85596,Jul'24 Reactivate,,R81908,Jul'24 Y
R81026,"35,369","448,273",7.89%,,R81026,0,0,"35,369",,R81058,"1,478",,R81963,419,,R85835,Jul'24 Reactivate,,R81997,Jul'24 Y
R81028,"53,509","704,996",7.59%,,R81028,10,0,"53,629",,R81068,"4,270",,R81965,126,,R85861,Jul'24 Reactivate,,R82523,Jul'24 Y
R81029,"36,156","517,252",6.99%,,R81029,0,0,"36,156",,R81072,"1,463",,R81969,1,,R86086,Jul'24 Reactivate,,R82601,Jul'24 Y
R81031,"26,438","335,079",7.89%,,R81031,0,0,"26,438",,R81073,"1,973",,R82022,74,,R86297,Jul'24 Reactivate,,R82682,Jul'24 Y
R81033,"51,702","623,672",8.29%,,R81033,0,0,"51,702",,R81075,519,,R82031,51,,R86601,Jul'24 Reactivate,,R82761,Jul'24 Y
R81035,"19,566","244,879",7.99%,,R81035,0,0,"19,566",,R81088,"12,699",,R82055,5,,R86622,Jul'24 Reactivate,,R82895,Jul'24 Y
R81037,"36,212","518,051",6.99%,,R81037,0,0,"36,212",,R81095,"9,355",,R82201,78,,R86652,Jul'24 Reactivate,,R82875,Jul'24 Y
R81051,"16,810","215,783",7.79%,,R81051,0,0,"16,810",,R81101,"1,147",,R82512,13,,R87015,Jul'24 Reactivate,,R83013,Jul'24 Y
R81052,"39,152","455,786",8.59%,,R81052,0,0,"39,152",,R81121,"2,218",,R82566,44,,R87181,Jul'24 Reactivate,,R83022,Jul'24 Y
R81053,0,0,7.59%,,R81053,54,0,648,,R81122,"1,623",,R82586,128,,R87038,Jul'24 New,,R83086,Jul'24 Y
R81055,"24,393","283,975",8.59%,,R81055,0,0,"24,393",,R81132,"1,206",,R82708,21,,R87302,Jul'24 New,,R83127,Jul'24 Y
R81057,"20,419","292,113",6.99%,,R81057,0,0,"20,419",,R81133,"1,617",,R82727,8,,R87376,Jul'24 New,,R83279,Jul'24 Y
R81058,"15,660","201,031",7.79%,,R81058,10,0,"15,780",,R81135,192,,R82758,5,,R87556,Jul'24 New,,R83388,Jul'24 Y
R81061,0,0,6.99%,,R81063,0,0,"23,598",,R81159,402,,R82882,31,,R87372,Jul'24 New,,R83369,Jul'24 Y
R81063,"23,598","337,599",6.99%,,R81065,0,0,"43,326",,R81161,"3,682",,R82885,17,,R87396,Jul'24 New,,R83662,Jul'24 Y
R81065,"43,326","619,835",6.99%,,R81068,0,0,"36,356",,R81166,"7,753",,R82889,42,,R87501,Jul'24 New,,R83693,Jul'24 Y
R81067,0,0,6.99%,,R81072,0,0,"16,180",,R81167,"3,928",,R82906,11,,R87515,Jul'24 New,,R83688,Jul'24 Y
R81068,"36,356","455,017",7.99%,,R81073,0,0,"8,655",,R81171,"1,594",,R83027,5,,R87516,Jul'24 New,,R83853,Jul'24 Y
R81072,"16,180","192,850",8.39%,,R81075,0,0,"9,548",,R81177,"1,893",,R83187,5,,R87532,Jul'24 New,,R83936,Jul'24 Y
R81073,"8,655","108,188",8.00%,,R81076,10,0,"28,799",,R81178,673,,R83193,80,,R87557,Jul'24 New,,R83918,Jul'24 Y
R81075,"9,548","136,588",6.99%,,R81081,0,0,"19,047",,R81183,"2,687",,R83212,61,,R87286,Jul'24 New,,R83935,Jul'24 Y
R81076,"28,679","363,481",7.89%,,R81087,200,0,"6,298",,R81188,896,,R83227,69,,R87375,Jul'24 New,,R85087,Jul'24 Y
R81081,"19,047","272,487",6.99%,,R81088,0,0,"33,512",,R81195,225,,R83276,29,,R87381,Jul'24 New,,R85069,Jul'24 Y
R81082,0,0,7.89%,,R81091,0,0,"10,813",,R81201,241,,R83333,28,,R87386,Jul'24 New,,R85016,Jul'24 Y
R81086,0,0,7.59%,,R81095,0,0,"49,108",,R81202,657,,R83357,42,,R87398,Jul'24 New,,R85316,Jul'24 Y
R81087,"3,898","51,357",7.59%,,R81096,10,0,"31,524",,R81203,"7,999",,R83376,6,,R87519,Jul'24 New,,R85378,Jul'24 Y
R81088,"33,512","424,736",7.89%,,R81098,0,0,"10,939",,R81207,"1,397",,R83377,1,,R87527,Jul'24 New,,R85766,Jul'24 Y
R81091,"10,813","154,689",6.99%,,R81101,0,0,"9,291",,R81211,459,,R83509,19,,R87552,Jul'24 New,,R85815,Jul'24 Y
R81095,"49,108","599,613",8.19%,,R81103,0,0,"13,944",,R81219,"2,568",,R83511,14,,R87369,Jul'24 New,,R85899,Jul'24 Y
R81096,"31,404","365,592",8.59%,,R81107,0,0,"22,016",,R81225,"2,950",,R83532,52,,R87393,Jul'24 New,,R85963,Jul'24 Y
R81098,"10,939","156,493",6.99%,,R81109,0,0,"22,435",,R81226,133,,R83559,16,,R87382,Jul'24 New,,R85998,Jul'24 Y
R81099,0,0,6.99%,,R81112,0,0,"27,413",,R81228,834,,R83656,89,,R87523,Jul'24 New,,R86003,Jul'24 Y
R81101,"9,291","122,410",7.59%,,R81116,0,0,"21,834",,R81232,"1,363",,R83791,126,,R87318,Jul'24 New,,R86176,Jul'24 Y
R81103,"13,944","174,304",8.00%,,R81117,54,0,648,,R81238,655,,R83882,59,,R87368,Jul'24 New,,R85873,Jul'24 Y
R81107,"22,016","314,971",6.99%,,R81119,0,0,"5,409",,R81251,295,,R83906,22,,R87378,Jul'24 New,,R86208,Jul'24 Y
R81109,"22,435","280,785",7.99%,,R81121,0,0,"33,857",,R81255,549,,R83995,17,,R87383,Jul'24 New,,R86322,Jul'24 Y
R81112,"27,413","392,177",6.99%,,R81127,0,0,"31,811",,R81269,"2,614",,R85066,51,,R87389,Jul'24 New,,R86295,Jul'24 Y
R81116,"21,834","312,356",6.99%,,R81128,200,0,"12,448",,R81278,"1,830",,R85155,3,,R87397,Jul'24 New,,R86397,Jul'24 Y
R81117,0,0,6.99%,,R81132,0,0,"29,756",,R81285,"5,512",,R85182,5,,R87505,Jul'24 New,,R86587,Jul'24 Y
R81118,0,0,6.99%,,R81133,0,0,"23,192",,R81286,70,,R85207,95,,R87511,Jul'24 New,,R86799,Jul'24 Y
R81119,"5,409","77,383",6.99%,,R81135,0,0,"3,430",,R81287,"2,272",,R85216,7,,R87513,Jul'24 New,,R86967,Jul'24 Y
R81121,"33,857","446,074",7.59%,,R81151,0,0,"23,874",,R81297,622,,R85263,31,,R87525,Jul'24 New,,R86986,Jul'24 Y
R81122,0,0,8.00%,,R81155,0,0,"20,294",,R81308,384,,R85286,6,,R87537,Jul'24 New,,R87119,Jul'24 Y
R81125,0,0,6.99%,,R81157,10,0,"6,956",,R81309,"1,177",,R85289,35,,R87332,Jul'24 New,,R87116,Jul'24 Y
R81127,"31,811","398,135",7.99%,,R81158,0,0,"9,795",,R81315,698,,R85333,1,,R87388,Jul'24 New,,R87115,Jul'24 Y
R81128,"10,048","143,743",6.99%,,R81159,10,0,"6,256",,R81318,775,,R85365,12,,R87399,Jul'24 New,,R87183,Jul'24 Y
R81132,"29,756","392,043",7.59%,,R81161,10,0,"40,272",,R81323,"13,789",,R85371,128,,R87508,Jul'24 New,,R87182,Jul'24 Y
R81133,"23,192","269,983",8.59%,,R81162,0,0,"8,141",,R81333,"1,409",,R85605,7,,R86663,Jul'24 New,,R87205,Jul'24 Y
R81135,"3,430","42,878",8.00%,,R81166,0,0,"6,407",,R81353,"6,461",,R85658,64,,R87528,Jul'24 New,,R87208,Jul'24 Y
R81136,0,0,7.59%,,R81167,10,0,"28,526",,R81357,500,,R85668,19,,R87321,Jul'24 New,,R87236,Jul'24 Y
R81139,0,0,6.99%,,R81168,0,0,"5,546",,R81358,"2,132",,R85766,20,,R87367,Jul'24 New,,R87251,Jul'24 Y
R81151,"23,874","341,541",6.99%,,R81171,0,0,"16,337",,R81371,"3,198",,R85785,1,,R87371,Jul'24 New,,R87238,Jul'24 Y
R81152,0,0,6.99%,,R81172,10,0,"14,861",,R81379,285,,R85923,8,,R87391,Jul'24 New,,R87261,Jul'24 Y
