UID,Sum of ARR,Sum of Total,Sum of Take Rate,,ID,Base & Other Fees,Rental,Voice ARR,,ID,WP ARR,,ID,DE ARR
R81001,"29,388","420,436",6.99%,,R81001,0,0,"29,388",,R81001,"2,610",,R81001,713
R81002,"8,441","120,752",6.99%,,R81002,0,0,"8,441",,R81007,"1,951",,R81008,82
R81007,"13,206","165,074",8.00%,,R81003,0,0,0,,R81008,449,,R81013,526
R81008,"6,751","88,945",7.59%,,R81005,0,0,0,,R81013,"1,358",,R81016,472
R81009,"29,317","341,288",8.59%,,R81006,0,0,0,,R81016,"1,964",,R81075,126
R81013,"20,059","286,968",6.99%,,R81007,0,0,"13,206",,R81018,"2,455",,R81132,387
R81016,"9,190","114,875",8.00%,,R81008,200,0,"9,151",,R81019,"6,176",,R81133,640
R81018,"32,468","416,785",7.79%,,R81009,10,0,"29,437",,R81026,"3,258",,R81135,454
R81019,"47,879","614,622",7.79%,,R81011,0,0,0,,R81028,"8,110",,R81151,246
R81021,"13,290","190,128",6.99%,,R81012,0,0,0,,R81031,"3,845",,R81168,44
R81022,"27,752","397,021",6.99%,,R81013,0,0,"20,059",,R81033,"7,214",,R81177,1338
R81023,"5,068","63,427",7.99%,,R81015,0,0,0,,R81051,"4,414",,R81195,279
R81026,"33,555","425,282",7.89%,,R81016,0,0,"9,190",,R81053,"6,685",,R81201,41
R81028,"55,883","736,267",7.59%,,R81017,0,0,0,,R81058,"1,744",,R81202,190
R81029,"33,284","476,169",6.99%,,R81018,0,0,"32,468",,R81068,"4,493",,R81207,1191
R81031,"26,990","342,082",7.89%,,R81019,0,0,"47,879",,R81072,"1,556",,R81211,162
R81033,"55,162","665,406",8.29%,,R81021,0,0,"13,290",,R81073,"2,885",,R81232,595
R81035,"18,372","229,942",7.99%,,R81022,0,0,"27,752",,R81075,514,,R81238,264
R81037,"29,874","427,383",6.99%,,R81023,0,0,"5,068",,R81088,"12,855",,R81239,304
R81051,"19,085","244,994",7.79%,,R81025,0,0,0,,R81095,"11,983",,R81251,125
R81052,"38,386","446,869",8.59%,,R81026,0,0,"33,555",,R81101,"1,532",,R81255,237
R81053,"50,858","670,063",7.59%,,R81027,0,0,0,,R81121,"2,269",,R81308,76
R81055,"24,803","288,738",8.59%,,R81028,10,0,"56,003",,R81122,"2,291",,R81318,249
R81057,"21,067","301,388",6.99%,,R81029,0,0,"33,284",,R81127,"3,526",,R81375,322
R81058,"15,548","199,583",7.79%,,R81031,0,0,"26,990",,R81132,"1,744",,R81379,195
R81061,0,0,6.99%,,R81032,0,0,0,,R81133,"2,028",,R81509,54
R81063,"23,117","330,712",6.99%,,R81033,0,0,"55,162",,R81135,"1,250",,R81625,198
R81065,"40,464","578,881",6.99%,,R81035,0,0,"18,372",,R81161,"3,361",,R81626,527
R81067,0,0,6.99%,,R81036,0,0,0,,R81166,"7,231",,R81639,233
R81068,"34,513","431,957",7.99%,,R81037,0,0,"29,874",,R81167,"5,394",,R81673,702
R81072,"15,522","185,009",8.39%,,R81038,0,0,0,,R81171,"2,649",,R81679,122
R81073,"10,735","134,192",8.00%,,R81039,0,0,0,,R81177,"2,784",,R81683,130
R81075,"9,546","136,568",6.99%,,R81051,0,0,"19,085",,R81183,"3,680",,R81708,595
R81076,"28,636","362,943",7.89%,,R81052,0,0,"38,386",,R81195,"1,155",,R81715,643
R81081,"15,570","222,751",6.99%,,R81053,0,0,"50,858",,R81201,178,,R81716,369
R81082,0,0,7.89%,,R81055,0,0,"24,803",,R81202,708,,R81726,513
R81086,0,0,7.59%,,R81056,0,0,0,,R81203,"10,026",,R81757,30
R81087,"15,908","209,590",7.59%,,R81057,0,0,"21,067",,R81207,"2,310",,R81811,130
R81088,"28,177","357,127",7.89%,,R81058,10,0,"15,668",,R81219,"3,259",,R81812,260
R81091,"13,294","190,185",6.99%,,R81059,0,0,0,,R81225,"4,951",,R81819,589
R81095,"54,162","661,322",8.19%,,R81061,0,0,0,,R81226,242,,R81835,659
R81096,"36,792","428,310",8.59%,,R81062,0,0,0,,R81228,"1,227",,R81861,118
R81098,"9,958","142,464",6.99%,,R81063,0,0,"23,117",,R81232,"1,725",,R81863,233
R81099,0,0,6.99%,,R81065,0,0,"40,464",,R81238,876,,R81912,108
R81101,"11,492","151,411",7.59%,,R81066,0,0,0,,R81239,"1,146",,R81918,317
R81103,"16,630","210,767",7.89%,,R81067,0,0,0,,R81251,424,,R81963,213
R81107,"26,109","373,516",6.99%,,R81068,0,0,"34,513",,R81255,806,,R81969,26
R81109,"25,117","314,357",7.99%,,R81069,0,0,0,,R81269,"2,875",,R81988,17
R81112,"22,921","327,911",6.99%,,R81071,0,0,0,,R81278,"3,131",,R82022,645
R81116,"20,183","288,740",6.99%,,R81072,0,0,"15,522",,R81285,"6,702",,R82031,68
R81117,"4,172","59,692",6.99%,,R81073,0,0,"10,735",,R81286,125,,R82055,13
R81118,0,0,6.99%,,R81075,0,0,"9,546",,R81287,"2,917",,R82083,1159
R81119,"6,616","94,651",6.99%,,R81076,10,0,"28,756",,R81288,"1,440",,R82201,216
R81121,"28,196","371,488",7.59%,,R81077,0,0,0,,R81297,"2,996",,R82336,698
R81122,0,0,8.00%,,R81078,0,0,0,,R81308,308,,R82352,167
R81125,"25,289","361,789",6.99%,,R81081,0,0,"15,570",,R81309,"1,668",,R82368,306
R81127,"31,904","399,300",7.99%,,R81082,0,0,0,,R81315,821,,R82385,806
R81128,"6,108","87,376",6.99%,,R81083,0,0,0,,R81318,904,,R82512,78
R81132,"26,741","352,320",7.59%,,R81085,0,0,0,,R81323,"13,712",,R82566,182
R81133,"18,669","217,329",8.59%,,R81086,0,0,0,,R81353,"5,633",,R82619,420
R81135,"14,611","182,864",7.99%,,R81087,0,0,"15,908",,R81357,536,,R82695,612
R81136,0,0,7.59%,,R81088,0,0,"28,177",,R81358,"2,376",,R82708,53
R81139,"5,301","75,842",6.99%,,R81089,0,0,0,,R81371,"4,337",,R82716,535
R81151,"23,424","335,106",6.99%,,R81091,0,0,"13,294",,R81373,"4,147",,R82727,612
R81152,0,0,6.99%,,R81092,0,0,0,,R81379,705,,R82758,44
R81155,"19,775","282,898",6.99%,,R81093,0,0,0,,R81383,"3,076",,R82782,924
R81157,"8,310","118,886",6.99%,,R81095,0,0,"54,162",,R81392,"2,218",,R82882,309
R81158,"10,499","150,202",6.99%,,R81096,10,0,"36,912",,R81393,"7,696",,R82889,161
R81159,"4,770","68,237",6.99%,,R81097,0,0,0,,R81395,"12,430",,R82906,101
R81161,"41,292","480,703",8.59%,,R81098,0,0,"9,958",,R81396,"4,295",,R82977,209
R81162,"11,246","160,880",6.99%,,R81099,0,0,0,,R81501,"4,389",,R82997,281
R81163,0,0,6.99%,,R81101,0,0,"11,492",,R81507,"3,457",,R83006,172
R81166,"6,004","85,900",6.99%,,R81102,0,0,0,,R81509,164,,R83015,108
R81167,"32,304","409,427",7.89%,,R81103,0,0,"16,630",,R81531,"2,693",,R83027,28
R81168,"6,205","88,768",6.99%,,R81105,0,0,0,,R81535,"3,042",,R83093,158
R81169,0,0,7.89%,,R81106,0,0,0,,R81555,"3,037",,R83116,473
