UID,Sum of ARR,Sum of Total,Sum of Take Rate,,ID,Base & Other Fees,Rental,Voice ARR,,ID,WP ARR,,ID,DE ARR
R81001,"29,562","422,915",6.99%,,R81001,0,0,"29,562",,R81001,"2,367",,R81001,"1,070"
R81002,"8,424","120,514",6.99%,,R81002,0,0,"8,424",,R81007,"1,301",,R81008,134
R81007,"12,830","160,379",8.00%,,R81003,0,0,0,,R81008,442,,R81013,844
R81008,"6,893","90,817",7.59%,,R81005,0,0,0,,R81013,"1,212",,R81016,790
R81009,"25,963","302,251",8.59%,,R81006,0,0,0,,R81016,"2,426",,R81075,152
R81013,"24,504","350,554",6.99%,,R81007,0,0,"12,830",,R81018,"3,096",,R81132,474
R81016,"7,807","97,594",8.00%,,R81008,200,0,"9,293",,R81019,"5,112",,R81133,806
R81018,"35,836","460,024",7.79%,,R81009,10,0,"26,083",,R81026,"2,813",,R81135,"1,126"
R81019,"48,662","624,675",7.79%,,R81011,0,0,0,,R81028,"5,993",,R81151,466
R81021,"13,814","197,624",6.99%,,R81012,0,0,0,,R81031,"3,578",,R81177,"1,826"
R81022,"31,764","454,422",6.99%,,R81013,0,0,"24,504",,R81033,"6,512",,R81178,953
R81023,"4,612","57,719",7.99%,,R81015,0,0,0,,R81051,"3,228",,R81186,78
R81026,"36,455","462,037",7.89%,,R81016,0,0,"7,807",,R81058,"1,847",,R81188,668
R81028,"58,330","768,517",7.59%,,R81017,0,0,0,,R81068,"4,292",,R81195,403
R81029,"32,784","469,015",6.99%,,R81018,0,0,"35,836",,R81072,"1,370",,R81201,80
R81031,"29,730","376,810",7.89%,,R81019,0,0,"48,662",,R81073,"2,507",,R81202,247
R81033,"51,122","616,671",8.29%,,R81021,0,0,"13,814",,R81075,390,,R81207,"1,666"
R81035,"18,563","232,329",7.99%,,R81022,0,0,"31,764",,R81088,"13,341",,R81211,265
R81037,"31,299","447,767",6.99%,,R81023,0,0,"4,612",,R81095,"5,909",,R81232,"1,671"
