,Unnamed: 0,Page location,Date,Category,Airfryer_Type,ID,visit_again,form_submission,Snowball Map,Brizo ID,Name,Opening Hours,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Title,Role,Contact Email,Contact Phone,Established,Estimated Employees,Business Phone,Contact Count,Most Common Email,Cuisines (Regional),Price Range
0,3,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=01007,2023/11/06,DM1_trifold,airfryer,01007,False,False,01007,fc88642264fab047,China Cafeteria,"Mon-Thu 11am-9:30pm, Fri-Sat 11am-10pm, Sun 11am-9:30pm",2910 Rainbow Dr,Decatur,GA,30034,United States,Michael,Tien,Owner,Owner,,,2010.0,,4042439005.0,1.0,,Chinese,$
1,4,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=01011,2023/11/27,DM1_trifold,airfryer,01011,False,False,01011,fd657e0139e0bd1e,Front Street Grill,"Mon Closed, Tue 5pm-10pm, Wed-Thu 5pm-Midnight, Fri-Sat 5pm-2am, Sun Closed",115 S Front St,Dardanelle,AR,72834,United States,Monti,Kist,Owner,Owner,,,2007.0,,4792294458.0,1.0,,Creole; Cajun,$$
2,5,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=01336,2023/11/17,DM1_trifold,airfryer,01336,False,False,01336,80cb2ca086450166,Yummy Garden,"Mon-Fri 11am-7:30pm, Sat 11am-8pm, Sun 11am-7:30pm",2300 Pleasant Hill Rd,Duluth,GA,30096,United States,,,,,,,,,7706238391.0,0.0,,Szechuan; Cantonese; Chinese,$
3,6,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=03007,2023/11/09,DM1_trifold,airfryer,03007,False,False,03007,0a8aa6806d142f64,Color Oaks Chinese Food,"Mon-Sat 11am-8:30pm, Sun Closed",1032 E Avenida de los Arboles,Thousand Oaks,CA,91360,United States,,,,,,,,,8052417761.0,0.0,,Chinese,
4,7,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=05854,2023/11/15,DM1_trifold,airfryer,05854,False,False,05854,1e33688ab97ed0a0,Paper Pot Shabu,Daily 11:30am-2:30pm 5pm-9:30pm,20657 Golden Springs Dr,Diamond Bar,CA,91789,United States,Julia Kwanho,Kim,Administrator,Owner,,,2008.0,,9092747616.0,3.0,,Korean; Japanese,$$
5,8,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=12345,2023/11/03,DM1_trifold,airfryer,12345,False,False,12345,9436b40e28b806f0,Ocean Pearl Chinese Restaurant,"Mon Midnight-9pm, Tue Closed, Wed-Sun 11am-9:30pm",441 W Victory Way,Craig,CO,81625,United States,Lin,Wu,Owner,Owner,,,2003.0,,9708248888.0,3.0,,Chinese,$$
6,9,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=17553,2023/11/10,DM1_trifold,airfryer,17553,False,False,17553,035ed40f77596718,Dragon Garden,"Mon-Thu 11:30am-9pm, Fri-Sat 11:30am-10pm, Sun 11:30am-9pm",35 N Washington St,North Attleboro,MA,2760,United States,Raymond,Mui,,,,,2001.0,,5086958000.0,1.0,info@goldendragon-ma.com,Chinese,$
7,10,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=19187,2023/11/15,DM1_trifold,airfryer,19187,False,False,19187,11cf81e2d8dc5b2a,Panda House,"Mon Closed, Tue-Sun 11am-9:30pm",7071 Raeford Rd,Fayetteville,NC,28304,United States,,,,,info@pandahouse-nc.com,,,,9108608338.0,0.0,info@pandahouse-nc.com,Chinese,$
8,11,https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=19320,2023/11/19,DM1_trifold,airfryer,19320,False,False,19320,676ecf4335015eeb,Crystal Jade,"Mon 11am-9pm, Tue Closed, Wed-Sun 11am-9pm",7255 Cedar St,Omaha,NE,68124,United States,Steve,Yau,,,,,,,4023981688.0,1.0,shirleysieng@yahoo.com,Chinese,$$
9,13,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=20318,2023/11/23,DM1_envelope,airfryer2,20318,False,False,20318,4ada0ded57db6908,Yamato Sushi & Hibachi,,125 Flemingsburg Rd,Morehead,KY,40351,United States,,,,,,,,,6067841666.0,0.0,,Japanese,$$
10,14,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=20363,2023/11/16,DM1_envelope,airfryer2,20363,False,False,20363,a5065a650f37603c,Peking Villa,"Mon Closed, Tue-Thu 1pm-9pm, Fri-Sat 1pm-9:30pm, Sun 1pm-9pm",21609 Harper Ave,St Clair Shores,MI,48080,United States,Hong,Ma,President,General,,,1977.0,,5867727210.0,6.0,,Chinese,$
11,15,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=21136,2023/11/20,DM1_envelope,airfryer2,21136,False,False,21136,9fb3d9e51ce906ff,Beijing Chinese Restaurant,"Mon 11am-9pm, Tue Closed, Wed-Sun 11am-9pm",1408 Darlington Ave,Crawfordsville,IN,47933,United States,Cheng,Ten,Owner,Owner,,,2003.0,,7653591885.0,1.0,beijingchineserest765@gmail.com,Chinese,$
12,16,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=21315,2023/11/14,DM1_envelope,airfryer2,21315,False,True,21315,bb9a7d07451ecfff,Golden Sun Chinese Restaurant,"Mon Closed, Tue-Thu 10:30am-10pm, Fri-Sat 10:30am-11pm, Sun Noon-10pm",815 W Park Ave,Ocean,NJ,7712,United States,Wah,Wong,Owner,Owner,,,1995.0,,7324936398.0,2.0,,Cantonese,$
13,17,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=21512,2023/11/16,DM1_envelope,airfryer2,21512,False,True,21512,22337c59462cc8de,China Town,Daily 11am-10pm,41934 NC-12,Avon,NC,27915,United States,Jimmy,Chen,Principal,Owner,,,2002.0,,2529950118.0,1.0,,Chinese,$
14,18,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=22160,2023/11/15,DM1_envelope,airfryer2,22160,False,True,22160,d00b7ab90bff3852,Eastern Buffet,,701 S Greenville West Dr,Greenville,MI,48838,United States,Hou,Guo,Principal,Owner,,,2004.0,,6162258221.0,1.0,,Chinese,$
15,19,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=22627,2023/11/28,DM1_envelope,airfryer2,22627,False,False,22627,397a06fcb1c0a916,Sappari Japanese Steak House,"Mon Closed, Tue-Fri 5pm-10pm, Sat 4:30pm-10pm, Sun Closed",115 Red Banks Rd,Greenville,NC,27858,United States,Diane,Barrow,Owner,Owner,,,1995.0,,2527568241.0,2.0,huydao24@yahoo.com,Japanese,$$
16,20,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=23164,2023/11/15,DM1_envelope,airfryer2,23164,False,False,23164,0a3f444f66aa8798,Wok N Roll,,1408 E 53rd St,Chicago,IL,60615,United States,Ling,Tin,Owner,Owner,,,2000.0,,7736433500.0,2.0,,Chinese,
17,21,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=23888,2023/11/13,DM1_envelope,airfryer2,23888,False,False,23888,e7050b627e7af2f5,Hunan Wok,,513 High St,Mt Holly,NJ,8060,United States,Wong,Zheng,Owner,Owner,,,,,6092652897.0,1.0,,Chinese,$
18,22,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=23904,2023/11/20,DM1_envelope,airfryer2,23904,False,True,23904,c11d4a5414a65ca2,Taste of China,,711 W 17th St,Bloomington,IN,47404,United States,,,,,,,,,8126501088.0,0.0,,Chinese,
