,Snowball Map,Restaurant Name,Address,City,Zipcode,State,Country,Phone Number(s),Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
0,88976,Hachi Sushi,2135 Albert St,Regina,S4P 2V1,SK,CAN,3065251768.0,3067376557.0,,,,,,,
1,88977,New Dragon Boat,1775 Ernest Ave,London,N6E 2V5,ON,CAN,5196818808.0,2267005188.0,4168013188.0,6476743393.0,5196363693.0,,,,
2,88978,Great Moon Buffet,1801 Dundas E,Whitby,L1N 7C5,ON,CAN,9054338828.0,9059256151.0,,,,,,,
3,88979,Yang Sheng Restaurant,662 Somerset St W,Ottawa,K1R 5K4,ON,CAN,6132355794.0,3437773144.0,6134211263.0,6137628600.0,6134214120.0,6138166368.0,,,
4,88980,Pearl,2901 Bayview Ave,North York,M2K 1000000,ON,CAN,4162261233.0,6472985780.0,4165068886.0,,,,,,
5,88981,Beijing House,1850 Island Hwy N,Campbell River,V9W 2G1,BC,CAN,2508303268.0,2508307388.0,,,,,,,
6,88982,Aki Da Japanese Seafood House,1911 Queen St E,Toronto,M4L 1H3,ON,CAN,4166912788.0,6472418744.0,4166922788.0,4169189936.0,,,,,
7,88983,Angel's Diner,100 Belmont Dr,London,N6J 4J7,ON,CAN,5196902900.0,,,,,,,,
8,88984,Tandoori Flare,1357 Johnston Rd,White Rock,V4B 3Z2,BC,CAN,6043852012.0,6467041988.0,4142359220.0,6045432100.0,6047605437.0,6048490119.0,,,
9,88985,Lorenzo's Restaurant,3007 Carling Avenue,Ottawa,K2B 7Y6,ON,CAN,6135962222.0,,,,,,,,
10,88986,BarBurrito,50 Market St S,Brantford,N3S 2000,ON,CAN,5197544985.0,5195120182.0,5197611703.0,,,,,,
11,88987,Vietnamese Noodle House,121 Preston Street,Ottawa,K1R 7P3,ON,CAN,6132332201.0,6134471230.0,,,,,,,
12,88988,Golden China Cuisine,4555 Hwy 7 W,Woodbridge,L4L 1S6,ON,CAN,9058563888.0,,,,,,,,
13,88989,Gusto Di Quattro,1 Lonsdale Ave,North Vancouver,V7M 20000,BC,CAN,6049244444.0,,,,,,,,
14,88990,Rajdoot Restaurant,2424 4 St SW,Calgary,T2S 2T4,AB,CAN,4032450181.0,,,,,,,,
15,88991,El Matador,131 W Esplanade,North Vancouver,V7M 1A1,BC,CAN,6047701717.0,,,,,,,,
16,88992,La Tortilla Mexicana,910 Esquimalt Rd,Victoria,V9A 3M7,BC,CAN,7784331331.0,,,,,,,,
17,88993,Mexican Family Steakhouse,5217 48 Ave,Taber,T1G 1S8,AB,CAN,4032239464.0,,,,,,,,
18,88994,Canra Srilankan Plus,88 West Pender,Vancouver,V6B 6N9,BC,CAN,6045683545.0,7788233545.0,,,,,,,
19,88995,Al Salam Bakery & Restaurant,10141 34 Ave NW,Edmonton,T6E 6J8,AB,CAN,7809440000.0,5879263351.0,,,,,,,
20,88996,White Lotus,15 Worobetz Pl,Saskatoon,S7L 6R4,SK,CAN,3069741060.0,3063411387.0,6399161868.0,,,,,,
21,88997,Happy Sushi,5632 Victoria Dr.,Vancouver,V5P 3W4,BC,CAN,6045683727.0,7788555108.0,6047732168.0,,,,,,
22,88998,Luna Crepes & Cafe,329 March Rd,Ottawa,K2K 20,ON,CAN,6132545551.0,,,,,,,,
23,88999,Daves Chicken & Seafood,2603 Eglinton Ave W,Toronto,M6M 1T3,ON,CAN,6473521125.0,,,,,,,,
24,89000,Beijing Dumplings,66 Edward Street,Toronto,M5G 1C9,ON,CAN,6477487711.0,,,,,,,,
25,89001,The Three Amigos,4035 106th St NW,Edmonton,T6J 2S3,AB,CAN,7804906394.0,7029327626.0,,,,,,,
26,89002,Kim Kim Restaurant,1188 Kennedy Rd,Toronto,M1P 2L1,ON,CAN,4167578300.0,4167288632.0,,,,,,,
27,89003,Madinah Grill,2680 Lawrence Ave E,Toronto,M1P 4Y4,ON,CAN,6473438598.0,6472986128.0,,,,,,,
28,89004,Smilie’s Village Restaurant,981 Fir Street,Sherwood Park,T8A 4N5,AB,CAN,7804641200.0,7809208586.0,,,,,,,
29,89005,Wok House,388 Saint Albert Trail,Saint Albert,T8N 5S8,AB,CAN,7804587755.0,7808607566.0,7808607569.0,7808637569.0,7807297566.0,6472429283.0,7808858098.0,7809375115.0,
30,89006,Asian Express Hotpot,10586 100 St NW,Edmonton,T5H 2R6,AB,CAN,7804218300.0,,,,,,,,
31,89007,Spicy 6,1116 Robson St,Vancouver,V6E 1B2,BC,CAN,6043367999.0,7788552254.0,6479867273.0,,,,,,
32,89008,Aji Sai Japanese Restaurant,32 Dundas St West,Belleville,K8P 1A3,ON,CAN,6139663939.0,,,,,,,,
33,89009,Kabab & Tikah House,178 Carlton Street,Toronto,M5A 2K6,ON,CAN,4169648414.0,6477850666.0,,,,,,,
34,89010,Ma La Chi Huo Chinese Cuisine,346 Spadina Ave,Toronto,M5T 2G2,ON,CAN,6479398388.0,6475002188.0,4169536708.0,,,,,,
35,89011,Gateway Asian Grill,106 Main St,Blaine Lake,S0J 0J0,SK,CAN,3064972555.0,,,,,,,,
