created_date,first_mel_timestamp,latest_mql_timestamp,assigned_time_ae_,opportunity_created_date,closed_won_date
2025-07-08,2025-07-08 17:16:00,,,,
2025-07-08,2025-07-08 14:36:00,2025-07-08 14:36:00,,,
2025-07-08,2025-07-08 14:31:00,,,,
2025-07-08,2025-07-08 01:16:00,,,,
2025-07-08,2025-07-08 00:46:00,,,,
2025-07-07,2025-07-07 23:46:00,,,,
2025-07-07,2025-07-07 22:47:00,,,,
2025-07-07,2025-07-07 22:47:00,,,,
2025-07-07,2025-07-07 21:46:00,,,,
2025-07-07,2025-07-07 20:01:00,,,,
2025-07-07,2025-07-07 19:31:00,,,,
2025-07-07,2025-07-07 19:21:00,,,,
2025-07-07,2025-07-07 18:18:00,,,,
2025-07-07,2025-07-07 18:01:00,,,,
2025-07-07,2025-07-07 17:16:00,,,,
2025-07-07,2025-07-07 17:09:00,2025-07-08 17:08:00,2025-07-07 17:23:00,2025-07-08,
2025-07-07,2025-07-07 15:47:00,,,,
2025-07-07,2025-07-07 15:09:00,,,,
2025-07-07,2025-07-07 13:17:00,,,,
2025-07-07,2025-07-07 12:53:00,2025-07-07 12:53:00,,,
2025-07-07,2025-07-07 12:46:00,,,,
2025-07-07,2025-07-07 12:31:00,,,,
2025-07-07,2025-07-07 12:31:00,,,,
2025-07-07,2025-07-07 12:14:00,2025-07-07 12:14:00,,,
2025-07-07,2025-07-07 11:07:00,2025-07-07 11:24:00,2025-07-07 11:24:00,,
2025-07-07,2025-07-07 03:31:00,,,,
2025-07-07,2025-07-07 02:59:00,2025-07-07 02:59:00,,,
2025-07-07,2025-07-07 01:01:00,,,,
2025-07-06,2025-07-06 22:46:00,,,,
2025-07-06,2025-07-06 21:43:00,,,,
2025-07-06,2025-07-06 20:46:00,,,,
2025-07-06,2025-07-06 18:20:00,,,,
2025-07-06,2025-07-06 16:31:00,,,,
2025-07-06,2025-07-06 11:41:00,2025-07-06 11:41:00,,,
2025-07-06,2025-07-06 11:32:00,2025-07-06 11:32:00,,,
2025-07-06,2025-07-06 10:31:00,,,,
2025-07-06,2025-07-06 00:30:00,,,,
2025-07-05,2025-07-05 21:00:00,,,,
2025-07-05,2025-07-05 20:46:00,,,,
2025-07-05,2025-07-05 19:59:00,,,,
2025-07-05,2025-07-05 18:01:00,,,,
2025-07-05,2025-07-05 17:46:00,,,,
2025-07-05,2025-07-05 16:01:00,,,,
2025-07-05,2025-07-05 14:41:00,2025-07-05 15:05:00,,,
2025-07-05,2025-07-05 14:12:00,,,,
2025-07-05,2025-07-05 12:46:00,2025-07-05 12:46:00,,,
2025-07-05,2025-07-05 10:51:00,,,,
2025-07-05,2025-07-05 01:31:00,,,,
2025-07-05,2025-07-05 00:31:00,,,,
2025-07-04,2025-07-04 23:47:00,,,,
2025-07-04,2025-07-04 20:56:00,,,,
2025-07-04,2025-07-04 18:54:00,2025-07-04 18:54:00,,,
2025-07-04,2025-07-04 17:46:00,,,,
2025-07-04,2025-07-04 13:56:00,2025-07-04 15:20:00,2025-07-04 14:25:00,2025-07-04,
2025-07-04,2025-07-04 12:48:00,2025-07-04 12:48:00,,,
2025-07-04,2025-07-04 11:27:00,,,,
2025-07-04,2025-07-04 06:41:00,,,,
2025-07-04,2025-07-04 01:01:00,,,,
2025-07-03,2025-07-03 21:31:00,,,,
2025-07-03,2025-07-03 20:01:00,,,,
2025-07-03,2025-07-03 19:31:00,,,,
2025-07-03,2025-07-03 16:40:00,,,,
2025-07-03,2025-07-03 15:16:00,,,,
2025-07-03,2025-07-03 14:40:00,,,,
2025-07-03,2025-07-03 14:16:00,,,,
2025-07-03,2025-07-03 13:07:00,,,,
2025-07-03,2025-07-03 12:41:00,,,,
2025-07-03,2025-07-03 10:30:00,,,,
2025-07-03,2025-07-03 09:31:00,,,,
2025-07-03,2025-07-03 08:50:00,,,,
2025-07-03,2025-07-03 03:59:00,2025-07-03 03:59:00,,,
2025-07-03,2025-07-03 02:31:00,,,,
2025-07-03,2025-07-03 00:16:00,,,,
2025-07-02,2025-07-02 23:31:00,,,,
2025-07-02,2025-07-02 22:31:00,,,,
2025-07-02,2025-07-02 22:31:00,,,,
2025-07-02,2025-07-02 22:31:00,,,,
2025-07-02,2025-07-02 22:31:00,,,,
2025-07-02,2025-07-02 22:31:00,,,,
2025-07-02,2025-07-02 22:31:00,,,,
2025-07-02,2025-07-02 22:31:00,,,,
2025-07-02,2025-07-02 22:31:00,,,,
2025-07-02,2025-07-02 22:31:00,,,,
2025-07-02,2025-07-02 22:16:00,,,,
2025-07-02,2025-07-02 21:17:00,,,,
2025-07-02,2025-07-02 21:01:00,,,,
2025-07-02,2025-07-02 21:01:00,,,,
2025-07-02,2025-07-02 20:46:00,,,,
2025-07-02,2025-07-02 20:17:00,,,,
2025-07-02,2025-07-02 20:01:00,,,,
2025-07-02,2025-07-02 19:46:00,,,,
2025-07-02,2025-07-02 19:16:00,,,,
2025-07-02,2025-07-02 17:46:00,,,,
2025-07-02,2025-07-02 17:31:00,,,,
2025-07-02,2025-07-02 17:31:00,,,,
2025-07-02,2025-07-02 17:16:00,,,,
2025-07-02,2025-07-02 17:16:00,,,,
2025-07-02,2025-07-02 17:16:00,,,,
2025-07-02,2025-07-02 17:16:00,,,,
2025-07-02,2025-07-02 17:01:00,,,,
2025-07-02,2025-07-02 16:46:00,,,,
2025-07-02,2025-07-02 16:12:00,,,,
2025-07-02,2025-07-02 14:49:00,,,,
2025-07-02,2025-07-02 14:01:00,,,,
2025-07-02,2025-07-02 11:30:00,,,,
2025-07-02,2025-07-02 09:46:00,,,,
2025-07-02,2025-07-02 06:46:00,,,,
2025-07-02,2025-07-02 06:01:00,,,,
2025-07-02,2025-07-02 03:31:00,,,,
2025-07-02,2025-07-02 03:29:00,2025-07-02 03:29:00,,,
2025-07-02,2025-07-02 00:01:00,,,,
2025-07-01,2025-07-01 21:01:00,,,,
2025-07-01,2025-07-01 20:52:00,,,,
