Snowball Map,ID,Name,Opening Hours,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Title,Role,Contact Email,Contact Phone,Established,Estimated Employees,Business Phone,Contact Count,Most Common Email,Cuisines (Regional),Price Range
5,13e700017aefdaaa,The Vox Kitchen,"Mon-Thu 10am-9pm, Fri-Sat 10am-10pm, Sun 10am-9pm",16161 Brookhurst St,Fountain Valley,CA,92708,United States,Nam,Dao,Floor Staff,,,,2017,,(657) 231-6493,3,,Vietnamese; Chinese,$$
6,14ed0c7c947da0a6,Niko Niko Sushi,"Mon-Thu 11am-9pm, Fri-Sat 11am-10pm, Sun 11am-9pm",12731 Towne Center Dr,Cerritos,CA,90703,United States,William,Drake,Principal,Owner,,,2006,,(562) 865-2949,2,nikocerritos@gmail.com,Japanese,$$
12,1e5781fa107005bc,Pho & Roll,"Mon-Thu Noon-9pm, Fri-Sat Noon-10pm, Sun Closed",7007 Greenleaf Ave,Whittier,CA,90602,United States,Dan,Friesner,Self Employed,,,,2013,,(562) 698-6947,2,,Japanese; Vietnamese,$$
22,21fb7576f528dc63,Midori Sushi,"Mon-Thu Noon-2:30pm 5am-10pm, Fri-Sat Noon-2:30pm 5am-10:30pm, Sun 2pm-9pm",13905 Ventura Blvd,Sherman Oaks,CA,91423,United States,Won,Choi,Owner,Owner,,,2004,,(818) 789-1188,1,,Japanese,$$
25,2210878f78ec2a83,Umami Sushi Lounge & Grill Fusion,"Mon-Thu 11am-2pm 5pm-8:30pm, Fri-Sat 11am-2pm 5pm-9:30pm, Sun Closed",500 Amity Rd,Conway,AR,72032,United States,Johnny,Ho,Principal,Owner,,,2013,,(501) 358-3880,3,umami.conway@gmail.com,Japanese,$$
27,24ecc5f720581aeb,Manpuku,"Mon-Sat 11:30am-2pm 4pm-8pm, Sun Closed",2977 College Ave,Berkeley,CA,94705,United States,Suk,Yoo,Owner,Owner,,,2003,,(510) 848-2536,1,,Japanese,$
30,255b26277e534c1a,Happy Garden,"Mon-Fri 11am-8:30pm, Sat Noon-8:30pm, Sun 1pm-6:30pm",1205 Plaza Ave,Escalon,CA,95320,United States,Shun,Kwok,Owner,Owner,,,2007,,(209) 838-8688,1,,Japanese,$
41,05619f9f011bfaa7,Tomodachi Restaurant,"Mon-Thu 11:30am-2pm 5pm-10pm, Fri 11:30am-2pm 5pm-10:30pm, Sat 11:30am-10:30pm, Sun 11:30am-9:30pm",2779 Agoura Rd,Westlake Village,CA,91361,United States,Richard,Chun,Owner,Owner,,,2001,,(805) 777-7578,1,,Japanese,$$
45,0c63e60706302300,Hirano's Southside,"Mon 11am-2pm, Tue-Sat 11am-2pm 5pm-8pm, Sun Closed",13015 Abercorn St,Savannah,GA,31419,United States,Junji,Hirano,Principal,Owner,,,1998,,(912) 961-0770,1,,Japanese,$$
47,0e6cb9c902534630,Sushi Brokers,"Mon-Thu 11am-11pm, Fri-Sat 11am-1am, Sun 11am-10pm",17025 N Scottsdale Rd,Scottsdale,AZ,85255,United States,Jean,Campbell,Manager,General,,,2000,,(480) 515-5000,5,accounting@sushibrokers.com,Japanese,$$
