Snowball Map,Restaurant Name,Address,City,Zipcode,State,Phone,List
2,A Star Buffet,4984 E Kings Canyon Rd,Fresno,93727,CA,5592552788,Brizo
4,Amami Sushi Bistro,312 El Camino Real,San Bruno,94066,CA,6508696088,Brizo
6,Tian Jin Dumplings,989 Franklin St,Oakland,94607,CA,5104596265,Brizo
8,Oishinbo Sushi,202 Clement St,San Francisco,94118,CA,6284320764,Brizo
10,LeShan Beef (Chefus),1072 S De Anza Blvd,San Jose,95129,CA,4083202851,Brizo
12,J-Town Sushi,22 Peace Plz,San Francisco,94115,CA,4159229575,Brizo
14,Hibachi Grill & Noodle Bar,35 SE 6th St,Miami,33131,FL,3054249593,Brizo
16,Yume,18515 S Dixie Hwy,Cutler Bay,33157,FL,3059645373,Brizo
18,Flying Fish Grill,Mission St,Carmel-by-the-Sea,93921,CA,8316251962,Brizo
20,ZhangFei Hot Pot,43844 Pacific Commons Blvd,Fremont,94538,CA,5105732508,Brizo
22,Wakatobi Japanese Grill,1130 Fremont Blvd,Seaside,93955,CA,8317174624,Brizo
24,Happy Family Gourmet,1042 Taraval St,San Francisco,94116,CA,4155928801,Brizo
26,Hong Kong Chinese Food,Carpenter Station Rd,Wilmington,19810,DE,3025299226,Brizo
28,Konfucious Eats,1700 McHenry Ave,Modesto,95350,CA,2094243049,Brizo
30,Big Easy Catering L.L.C,2925 S Caraway Rd,Jonesboro,72401,AR,8705305126,Brizo
32,Lou's Sushi,2801 P St,Sacramento,95816,CA,9164514700,Brizo
34,Chopstix Chinese Restaurant,61 Main St,Jewett City,6351,CT,8603768893,Brizo
36,GOJIRA Ramen & Sushi,452 Old Mammoth Rd,Mammoth Lakes,93546,CA,7609650080,Brizo
38,Jikan Japanese Restaurant,3495 Concours,Ontario,91764,CA,9099452818,Brizo
40,China Garden,10019 N Dale Mabry Hwy,Tampa,33618,FL,8139684899,Brizo
42,Szechuan Garden,4804 San Juan Ave,Fair Oaks,95628,CA,9169619381,Brizo
44,US Chinese Food,3240 W Century Blvd,Inglewood,90303,CA,3106745588,Brizo
46,Ji Rong Peking Duck,8450 E Valley Blvd,Rosemead,91770,CA,6262808600,Brizo
48,WooChi,1901 S Signal Butte Rd,Mesa,85209,AZ,4803543400,Brizo
50,Qin's Garden,534 E Valley Blvd,San Gabriel,91776,CA,6267034747,Brizo
52,Izakaya Mayumi,2221 Clement St,San Francisco,94121,CA,4157424159,Brizo
54,Poki Cat,23981 Alicia Pkwy,Mission Viejo,92691,CA,9492733511,Brizo
56,China Station Restaurant,80 Senter Rd,San Jose,95111,CA,4082259101,Brizo
58,Kung Pao Bistro,7853 Santa Monica Blvd,West Hollywood,90046,CA,3238489888,Brizo
60,Ichiban Buffet,5269 W Irlo Bronson Memorial Hwy,Kissimmee,34746,FL,4073966668,Brizo
62,China Garden,289 Main St,Ansonia,6401,CT,2037322121,Brizo
64,Izakaya Akatora,115 W Main St,Alhambra,91801,CA,6269437872,Brizo
66,Doc's Oyster Bar,303 Glen Ave,Valparaiso,32580,FL,8507290406,Brizo
68,TikDak,4496 Broadway,Oakland,94611,CA,5104181801,Brizo
70,King Noodle,39226 Argonaut Way,Fremont,94538,CA,5107952888,Brizo
72,Sichuan Home,5037 Geary Blvd,San Francisco,94118,CA,4152213288,Brizo
74,China Express,12633 Glenoaks Blvd,Los Angeles,91342,CA,8183675811,Brizo
76,Asian Cuisine and Vietnamese Noodle House,1627 Coalton Rd,Louisville,80027,CO,3034940199,Brizo
78,RA Sushi,9918 Glades Rd,Boca Raton,33434,FL,5619629980,Brizo
80,China Palace,15555 Main St,Hesperia,92345,CA,7609482298,Brizo
82,It's Lunch Time,3205 Edward Ave,Santa Clara,95054,CA,4082352350,Brizo
84,House of Lee Restaurant,125 US-65,Dumas,71639,AR,8703822388,Brizo
86,Fan Bistro,1616 Washington Blvd,Fremont,94539,CA,5102708828,Brizo
88,Xiao Loong Restaurant,250 W Portal Ave,San Francisco,94127,CA,4157535678,Brizo
90,Tien Tien Chinese Food Take-Out,9975 Miramar Pkwy,Miramar,33025,FL,9544366913,Brizo
92,Yo Sushi,807 Marina Village Pkwy,Alameda,94501,CA,5105222353,Brizo
94,China Jade,10150 W Indiantown Rd,Jupiter,33478,FL,5617480203,Brizo
96,Pacific Counter,11581 E State Road 70,Bradenton,34202,FL,9417398039,Brizo
98,Hibachi Ko,477 Camino del Rio S,San Diego,92108,CA,6192984666,Brizo
