List Source,Mapping,UNIQUE_CODE,ENGLISH_NAME,BUSINESS_PHONE,MOBILE_PRIMARY__C,ADDRESS,ZIP_CODE,STATE_CODE,COUNTRY
Existing Clients,12550 East21220,R87205XXFC,ASIAN WOKFC Training,4103352722,,12550 Eastern Ave,21220,MD,United States
Existing Clients,1610 Crosb10461,R8000X2346,JAP  RESTO_TONI,1111111111,,1610 Crosby Ave,10461,NY,United States
Existing Clients,28 Northfi28472,R81234,TRAINING,9106421188,,28 Northfield Center,28472,NC,United States
Existing Clients,1600 A St 47441,R87277,CHINA SEA,8128471988,6465100867,1600 A St NE,47441,IN,United States
Existing Clients,1017 W Ste19973,R87275,GREAT WALL,3026292751,9172087382,1017 W Stein Hwy,19973,DE,United States
Existing Clients,10 North W8037,R87291,Wok N Roll,6095673515,3157967107,10 North White Horse Pike,8037,NJ,United States
Existing Clients,8350 East 46037,R87278,NEW CHINA,3175372188,9175288292,8350 East 96th Street,46037,IN,United States
Existing Clients,155 North 10701,R8717106,NEW CHINA FC Training,6666666666,,155 North Broadway,10701,NY,United States
Existing Clients,3540 Highw30013,R83291,YUMMY HOUSE,7706799444,3348332667,3540 Highway 20 SE,30013,GA,United States
Existing Clients,8380 West 89129,R86909,COOK ON WOK,7026588877,7028825985,8380 West Cheyenne Avenue,89129,NV,United States
Existing Clients,2591 Anthe89052,R86386,CHINA A GO GO ANTHEM VILLAGE,7024929458,7027691355,2591 Anthem Village Dr,89052,NV,United States
Existing Clients,1247 Horse19335,R88629,CHINA MOON,6102698881,2673310989,1247 Horseshoe Pike,19335,PA,United States
Existing Clients,756 N Well11757,R82916,GOOD TASTE,6312268266,7186660785,756 N Wellwood Ave,11757,NY,United States
Existing Clients,1224 Liber18102,R85873,HUNAN GARDEN,6104323509,7189020537,1224 Liberty St,18102,PA,United States
Existing Clients,113 US 80 39056,R86275,WINGSIDE,6017085199,9179139979,113 US 80 East,39056,MS,United States
Existing Clients,446 Amboy 8861,R81285,DIAMOND,7328261118,9173553737,446 Amboy Ave,8861,NJ,United States
Existing Clients,6805 York 21212,R81023,MANDARIN TASTE,4103772500,3478305728,6805 York Road Suite B,21212,MD,United States
Existing Clients,2966 S Rid32141,R86261,JOY LUCK,3864260797,6464369051,2966 S Ridgewood Ave,32141,FL,United States
Existing Clients,1500 Canto44312,R86732,HUNAN KING,3307336858,3309409901,1500 Canton Rd,44312,OH,United States
Existing Clients,83-06 Gran11373,R81292,LI LI,7185336500,9179126162,83-06 Grand Ave,11373,NY,United States
Existing Clients,4480 Broad10040,R83915,NO. 1,2123042913,6464312632,4480 Broadway 192nd Street,10040,NY,United States
Existing Clients,539 Hamilt8609,R88817,FOOD KING,6093933103,6098016961,539 Hamilton Ave,8609,NJ,United States
Existing Clients,132 East M19956,R88312,NO.1,3028750112,9176261708,132 East Market St,19956,DE,United States
Existing Clients,2816 Washi30909,R87012,CHINA RESTAURANT,7067388998,5183132017,2816 Washington Rd #107,30909,GA,United States
Existing Clients,550 Walton53073,R81275,DRAGON BUFFET,9204495013,3045883119,550 Walton Drive,53073,WI,United States
Existing Clients,22411 Grat48021,R83371,PANDA,5867788808,3473840706,22411 Gratiot Ave,48021,MI,United States
Existing Clients,1114 4th A54552,R85788,CHINA BEIJING,7157621888,7159658194,1114 4th Avenue S,54552,WI,United States
Existing Clients,2359 Grand10468,R81235,GREAT WALL,7183671277,3472484763,2359 Grand Concourse,10468,NY,United States
Existing Clients,4471 Colum30907,R83187,TONY'S EXPRESS RESTAURANT,7622227484,7065890282,4471 Columbia Rd,30907,GA,United States
Existing Clients,298 Middle6010,R86235,NICE CHINESE RESTAURANT,8605840452,6462626965,298 Middle St,6010,CT,United States
Existing Clients,829 N Tatn19801,R88791,JOYFUL GARDEN,3025711889,9175421980,829 N Tatnail Street,19801,DE,United States
Existing Clients,3131 US Hw33805,R87207,XING XING KITCHEN,8636883181,3322752262,3131 US Hwy 98 N,33805,FL,United States
Existing Clients,2731 E 3rd45403,R88887,RICE,9372522999,9372521991,2731 E 3rd St,45403,OH,United States
Existing Clients,267 C Cass30120,R86096,MR EGGROLL,4708882553,4703094989,267 C Cassville Rd,30120,GA,United States
Existing Clients,297 Broad 7605,R83156,CHINA TASTE,2015857771,3474356740,297 Broad Ave,7605,NJ,United States
Existing Clients,666 W 204t10034,R81052,HANG LEE,2129420927,9173627858,666 W 204th Street,10034,NY,United States
Existing Clients,4783 Tilgh18104,R81535,CHINA HOUSE,6103951855,6463715678,4783 Tilghman St,18104,PA,United States
Existing Clients,8781 Monro48429,R85151,CHINA HOUSE,9892882888,9175353693,8781 Monroe Rd,48429,MI,United States
Existing Clients,4064 Fores33406,R87172,CHINA STAR,5619677333,5614414440,4064 Forest Hill Blvd #7,33406,FL,United States
Existing Clients,1214 Hunts37334,R86021,CHINA EXPRESS,9312975062,9178562773,1214 Huntsville Hwy,37334,TN,United States
Existing Clients,3358 Canoe34772,R85818,CHINA WOK,4078928880,4077383900,3358 Canoe Creek Road,34772,FL,United States
Existing Clients,989 New Br6110,R87052,NEW TASTE OF CHINA,8609530108,8609370566,989 New Britain Ave,6110,CT,United States
Existing Clients,17  Cedar 10522,R86303,GOLDEN DRAGON,9146937578,9178561663,17  Cedar St,10522,NY,United States
Existing Clients,225 Hardin44833,R88822,CHINA HOUSE,4194681688,9177555067,225 Harding Way E,44833,OH,United States
Existing Clients,906 Conest19010,R81007,LITTLE BASIL,6105254210,6465523687,906 Conestoga Road,19010,PA,United States
Existing Clients,4762 Highw37416,R85116,HOKKAIDO,4235088155,9172855165,4762 Highway 58,37416,TN,United States
Existing Clients,2254 Hunte20191,R87183,HUNAN CAFE,7033919813,6464410577,2254 Hunters Woods Plaza,20191,VA,United States
Existing Clients,654 Wolcot6716,R81273,SUN HING,2038798898,8602021907,654 Wolcott Rd,6716,CT,United States
Existing Clients,514-520 St7111,R83937,HONG KONG,9733730668,7185014303,514-520 Stuyvesant Ave,7111,NJ,United States
Existing Clients,532 W Gann27597,R81151,GOOD TASTE,9194041218,9194263008,532 W Gannon Ave,27597,NC,United States
Existing Clients,2575 SW 4234471,R82362,TASTY BOWL,3528540896,9176679398,2575 SW 42nd St,34471,FL,United States
Existing Clients,2413 2nd A10035,R88186,NEW DRAGON,2124271786,2128101866,2413 2nd Ave,10035,NY,United States
Existing Clients,3467 E Nat45505,R86897,YAMATO STEAK HOUSE,9373257338,9178335080,3467 E National Rd,45505,OH,United States
Existing Clients,520 Simpso19425,R87075,LEMON TREE,6103210888,8455181549,520 Simpson Dr,19425,PA,United States
Existing Clients,7060 Commo23832,R86555,CHAN'S CHINESE RESTAURANT,8047686928,8043006700,7060 Commons Plaza,23832,VA,United States
Existing Clients,1623-29 E 13210,R81876,ASIAN PALACE,3154758888,9176800300,1623-29 E Fayette St,13210,NY,United States
