snowball_map,Date,Page location,Sessions,Restaurant Name,Address,City,State,Country,Zipcode,Cuisine Type,Phone,list_source
10060,2024-01-17,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=10060,1,Chop Suey King,800 St Louis Ave,East St Louis,IL,United States,62201,Chinese,6182744430,Brizo_US
10400,2024-01-04,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=10400,2,Sushi Payce,1417 W Fullerton Ave,Chicago,IL,United States,60614,Japanese,7736879394,Brizo_US
11068,2024-01-13,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=11068,1,China Lee,11308 Beach Blvd,Jacksonville,FL,United States,32246,Chinese,9049981368,Brizo_US
01108,2024-01-02,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=1108,1,California Bowl,706 N Vermont Ave,Los Angeles,CA,United States,90029,Japanese,3236693070,Brizo_US
11925,2024-01-09,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=11925,1,Misaka,380 W Country Club Dr,Brentwood,CA,United States,94513,Japanese,9256794890,Brizo_US
11958,2024-01-08,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=11958,1,Kikusushi Japanese Restaurant,1655 S De Anza Blvd,Cupertino,CA,United States,95014,Japanese,4087251749,Brizo_US
12199,2024-01-03,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=12199,1,My Fish Stop,14843 Burbank Blvd,Van Nuys,CA,United States,91411,Cajun,8884699980,Brizo_US
12227,2024-01-04,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=12227,1,Otay Mandarin,945 Otay Lakes Rd,Chula Vista,CA,United States,91913,Chinese,6196568080,Brizo_US
12342,2024-01-08,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=12342,1,Wing Sing Dim Sum,1125 Stockton St,San Francisco,CA,United States,94133,Chinese,4154335571,Brizo_US
12763,2024-01-06,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=12763,1,Taiwan Restaurant,1306 Lincoln Ave,San Jose,CA,United States,95125,Chinese; Taiwanese,4082898800,Brizo_US
13324,2024-01-08,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=13324,1,Teriyaki House,1540 Butte House Rd,Yuba City,CA,United States,95993,Japanese,5306713595,Brizo_US
13827,2024-01-22,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=13827,1,Hornbill Sushi & Asian Fusion,1618 E Bell Rd,Phoenix,AZ,United States,85022,Japanese,6029756220,Brizo_US
13845,2024-01-05,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=13845,2,Kyoko's Kitchen,1149 W Avenue I,Lancaster,CA,United States,93534,Japanese,6615796511,Brizo_US
01396,2024-01-03,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=1396,2,Jin Jin Fusion,7901 Front Beach Rd,Panama City Beach,FL,United States,32407,Japanese; Chinese,8502385857,Brizo_US
14020,2024-01-02,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=14020,2,Menya Noodle Bar,951 16th St,Denver,CO,United States,80202,Japanese,3036078888,Brizo_US
14573,2024-01-02,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=14573,3,Mekong Chinese Restaurant,18073 S Dixie Hwy,Miami,FL,United States,33157,Chinese,3052383500,Brizo_US
15207,2024-01-01,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=15207,1,Way 2 Go Thai & Sushi,10681 E Colonial Dr,Orlando,FL,United States,32817,Japanese; Thai,4074125720,Brizo_US
15768,2024-01-09,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=15768,2,Hibachi Buffet,3351 S Alabama Ave,Monroeville,AL,United States,36460,Chinese,2515759888,Brizo_US
