Check Map,Check B#,Check M#,Snowball Map,Group,Create Date,Mapping,Company / Account,Street,City,Zip/Postal Code,State/Province (text only),Lead Source,Lead Channel,BusinessPhone,MobilePrimary
-,-,-,54064,Group A,10/31/2022,2339191765,Mandarin Taste,23391 golden springs dr,Diamond Bar,91765,CA,Telemarketer,,(909)861-1819
-,-,-,54065,Group A,10/31/2022,8450 91770,Northern Chinese Restaurant,8450 valley blvd ste 108,Rosemead,91770,CA,Telemarketer,,(626)288-9299
-,-,-,54066,Group A,10/31/2022,8450 91770,Ji Rong Restaurant,8450 valley blvd ste 115,Rosemead,91770,CA,Telemarketer,,(626)280-8600
-,-,-,54067,Group A,10/31/2022,150 e91773,Little Tokyo Restaurant,150 e bonita ave,San Dimas,91773,CA,Telemarketer,,(909)599-0666
-,-,-,54068,Group A,10/31/2022,140 w91776,Shanghai Chinese Restaurant,140 w valley blvd ste 211,San Gabriel,91776,CA,Telemarketer,,(626)288-0991
-,-,-,54069,Group A,10/31/2022,227 w91776,Jessie Xiao Lan Liang Restaurant,227 w valley blvd ste 228c,San Gabriel,91776,CA,Telemarketer,,(626)457-5138
-,-,-,54070,Group A,10/31/2022,301 w91776,Jin Jiang Restaurant,301 w valley blvd ste 109,San Gabriel,91776,CA,Telemarketer,,(626)308-9238
-,-,-,54071,Group A,10/31/2022,708 e91776,Si Hai Restaurant Inc,708 e las tunas dr ste a,San Gabriel,91776,CA,Telemarketer,,(626)285-8369
-,-,-,54072,Group A,10/31/2022,821 w91776,Benten Ramen,821 w las tunas dr,San Gabriel,91776,CA,Telemarketer,Telemarketer,(626)910-5075
-,-,-,54073,Group A,10/31/2022,5807 91780,Chuan's,5807 rosemead blvd,Temple City,91780,CA,Telemarketer,Telemarketer,(626)677-6667
-,-,-,54074,Group A,10/31/2022,2062791789,Chan Kee,20627 golden springs dr,Walnut,91789,CA,Telemarketer,Telemarketer,(909)468-0748
-,-,-,54075,Group A,10/31/2022,2062791789,Sushi Koshu,20627 golden springs dr ste 2k,Walnut,91789,CA,Telemarketer,,(909)869-7881
-,-,-,54076,Group A,10/31/2022,35 e 29150,Happy Bowl,35 e w wesmark blvd,Sumter,29150,SC,Telemarketer,Telemarketer,(803)774-4242
-,-,-,54077,Group A,10/31/2022,9086 29142,Thai House 2 Restaurant,9086 old number six hwy,Santee,29142,SC,Telemarketer,Telemarketer,(803)854-9060
-,-,-,54078,Group A,10/31/2022,2138 29334,Tokyo Grill Express Duncan,2138 e main st,Duncan,29334,SC,Telemarketer,Telemarketer,(864)336-5244
-,-,-,54079,Group A,10/31/2022,420 s29649,Chong Wah Express,420 sc-72,Greenwood,29649,SC,Telemarketer,Telemarketer,(864)227-0100
-,-,-,54080,Group A,10/31/2022,1411 29412,James island Fire Grill hibachi sushi,1411 folly rd,Charleston,29412,SC,Telemarketer,Telemarketer,(843)501-7771
-,-,-,54081,Group A,10/31/2022,2408 29414,Hibachi Hut,2408 ashley river rd unit y,Charleston,29414,SC,Telemarketer,Telemarketer,(843)872-6537
-,-,-,54082,Group A,10/31/2022,607 j29464,Pattaya Thai Restaurant,607 johnnie dodds blvd,Mt Pleasant,29464,SC,Telemarketer,Telemarketer,(843)856-1808
-,-,-,54083,Group A,10/31/2022,503 s29620,FUSION EXPRESS,503 s main st,Abbeville,29620,SC,Telemarketer,Telemarketer,(864)366-0088
-,-,-,54084,Group A,10/31/2022,414 e29621,Thai Spice Restaurant,414 e greenville st,Anderson,29621,SC,Telemarketer,Telemarketer,(864)224-0404
-,-,-,54085,Group A,10/31/2022,1911 29621,Thai Lotus Anderson,1911 e greenville st,Anderson,29621,SC,Telemarketer,Telemarketer,(864)540-0464
