Snowball Map,State Group,datediff_queue_entered_date,datediff_rejected_date,datediff_created_date,Queue Enter Date,Rejected Time,Dead Date,Create Date,Last Name,Company / Account,Street,Zip/Postal Code,State/Province (text only),Mobile - Primary,Business Phone,Lead Owner,Assigned SDR,Lead Status,Rejected Reason,Created By,Unqualified Reason,Lead Stage
51744,Group A,137,136,584,2024-01-21,2024-01-22T02:04:00Z,,2022-10-31T04:00:00Z,HAPPY FAMILY,HAPPY FAMILY,869 N WILCOX AVE #1801,90640,CA,,(323) 722-8888,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51745,Group A,239,238,584,2023-10-11,2023-10-11T17:20:00Z,,2022-10-31T04:00:00Z,KING EGG ROLL,KING EGG ROLL,1034 3RD AVE,56159,MN,,(507) 636-0018,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51746,Group A,121,120,584,2024-02-06,2024-02-06T20:24:00Z,,2022-10-31T04:00:00Z,BAMBOO VILLAGE RESTAURANT,BAMBOO VILLAGE RESTAURANT,737 W MAIN ST,55303,MN,,(763) 432-0902,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51747,Group A,177,176,584,2023-12-12,2023-12-13T01:28:00Z,,2022-10-31T04:00:00Z,CHIN YUEN,CHIN YUEN,1125 CEDAR ST #118,55362,MN,,(763) 271-1688,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51748,Group A,134,133,584,2024-01-24,2024-01-24T17:50:00Z,,2022-10-31T04:00:00Z,CHINA ONE,CHINA ONE,712 UNIVERSITY AVE W,55104,MN,,(651) 298-9888,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51749,Group A,136,135,584,2024-01-22,2024-01-22T21:41:00Z,,2022-10-31T04:00:00Z,DON HO RESTAURANT,DON HO RESTAURANT,7700 W OLD SHAKOPEE RD,55438,MN,,(952) 941-1356,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51750,Group A,107,106,584,2024-02-20,2024-02-20T16:48:00Z,,2022-10-31T04:00:00Z,GREAT WALL CHINESE RESTAURANT,GREAT WALL CHINESE RESTAURANT,14269 BANK ST,55308,MN,,(763) 262-6882,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51751,Group A,249,248,584,2023-10-01,2023-10-01T20:15:00Z,,2022-10-31T04:00:00Z,As Chinese Food To Go,As Chinese Food To Go,827 Jefferson Blvd,95691,CA,,(916) 375-1499,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51752,Group A,231,230,584,2023-10-19,2023-10-19T18:31:00Z,,2022-10-31T04:00:00Z,Asian Cuisine Restaurant,Asian Cuisine Restaurant,973 US-16,82401,WY,,(307) 347-2404,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51753,Group A,126,125,584,2024-02-01,2024-02-01T21:01:00Z,,2022-10-31T04:00:00Z,Satori,Satori,8451 Elk Grove Blvd Ste 5,95758,CA,,(916) 683-5608,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51754,Group A,225,224,584,2023-10-25,2023-10-26T00:14:00Z,,2022-10-31T04:00:00Z,Aji Japanese Bistro,Aji Japanese Bistro,4361 Town Center Blvd Ste 111,95762,CA,,(916) 941-9181,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51755,Group A,194,193,584,2023-11-25,2023-11-25T19:00:00Z,,2022-10-31T04:00:00Z,Ms.林,TWIN DRAGON,1809 CAREY AVE,82001,WY,,(307) 637-6622,Marketing Nurture Queue,,AE Assigned,No Interest to talk to sales,Apps Associates,,Rejected
51756,Group A,228,227,584,2023-10-22,2023-10-22T23:23:00Z,,2022-10-31T04:00:00Z,Asian Pearl Restaurant,Asian Pearl Restaurant,6821 Stockton Blvd Ste 165,95823,CA,,(916) 391-8881,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51757,Group A,177,176,584,2023-12-12,2023-12-13T02:45:00Z,,2022-10-31T04:00:00Z,Arigato Sushi,Arigato Sushi,1608 Howe Ave,95825,CA,,(916) 920-5930,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51758,Group A,225,224,584,2023-10-25,2023-10-25T23:17:00Z,,2022-10-31T04:00:00Z,Banzai Japanese Restaurants,Banzai Japanese Restaurants,6409 Riverside Blvd,95831,CA,,(916) 421-4055,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51759,Group A,238,237,584,2023-10-12,2023-10-13T01:01:00Z,,2022-10-31T04:00:00Z,Fu Hing Chinese & Japanese Fast Food,Fu Hing Chinese & Japanese Fast Food,100 S Tehama St,95988,CA,,(530) 934-8922,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51760,Group A,182,181,584,2023-12-07,2023-12-07T19:42:00Z,,2022-10-31T04:00:00Z,HONG KONG CHINESE RESTAURANT,HONG KONG CHINESE RESTAURANT,112 S HOLLYWOOD BLVD,43952,OH,,(740) 264-7235,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51761,Group A,113,112,584,2024-02-14,2024-02-14T22:34:00Z,,2022-10-31T04:00:00Z,NEW GOLDEN HOUSE,NEW GOLDEN HOUSE,715 TRENTON ST,43964,OH,,(740) 537-9833,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51762,Group A,144,143,584,2024-01-14,2024-01-15T01:41:00Z,,2022-10-31T04:00:00Z,China Hot,China Hot,1204 W Screven St,31643,GA,,(229) 605-0036,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51763,Group A,226,225,584,2023-10-24,2023-10-25T00:24:00Z,,2022-10-31T04:00:00Z,Osaka Hibachi & Sushi,Osaka Hibachi & Sushi,1006 8th St W,31794,GA,,(229) 387-6777,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51764,Group A,226,225,584,2023-10-24,2023-10-25T01:36:00Z,,2022-10-31T04:00:00Z,Samurai Japanese & Sushi Bar,Samurai Japanese & Sushi Bar,1009 Broadway,31901,GA,,(706) 221-0020,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51765,Group A,176,175,584,2023-12-13,2023-12-14T01:43:00Z,,2022-10-31T04:00:00Z,CHINA KING,CHINA KING,106 S MAIN ST,46307,IN,,(219) 663-6633,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51766,Group A,153,152,584,2024-01-05,2024-01-05T18:50:00Z,,2022-10-31T04:00:00Z,FORTUNE HOUSE CHINESE RESTAURANT,FORTUNE HOUSE CHINESE RESTAURANT,8250 CALUMET AVE,46321,IN,,(219) 836-1690,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51767,Group A,241,240,584,2023-10-09,2023-10-09T20:08:00Z,,2022-10-31T04:00:00Z,Panda Garden Restaurant,Panda Garden Restaurant,1041 Brighton Ave # 6,4102,ME,,(207) 874-6935,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51768,Group A,160,159,584,2023-12-29,2023-12-29T20:42:00Z,,2022-10-31T04:00:00Z,MAILEE CHINESE RESTAURANT,MAILEE CHINESE RESTAURANT,9222 INDIANAPOLIS BLVD,46322,IN,,(219) 838-6533,Marketing Nurture Queue,Joe Yee Wong,SDR Working,,Apps Associates,,Not sure if Ideal Client Profile
