Check Map,Check B#,Check M#,Snowball Map,Map,Group,Create Date,Last Name,Company / Account,Street,Zip/Postal Code,State/Province (text only),Mobile - Primary,Business Phone,Rejected Reason,Rejected Time
-,-,-,57075,25223 grat48066,Group A,10/31/2022,Bangkok Cuisine III,Bangkok Cuisine III,25223 gratiot ave,48066,MI,,(586) 776-3660
-,-,-,57076,15640 e th48066,Group A,10/31/2022,Alisa’ s Thai food,Alisa’ s Thai food,15640 e thirteen mile rd,48066,MI,,(586) 200-5630
-,-,-,57077,56 w squar48098,Group A,10/31/2022,Orchid Cafe,Orchid Cafe,56 w square lake rd,48098,MI,,(248) 828-4149
-,-,-,57078,8583 26 mi48094,Group A,10/31/2022,Bangkok Cuisine,Bangkok Cuisine,8583 26 mile rd,48094,MI,,(586) 781-9700
-,-,-,57079,112 w gran48116,Group A,10/31/2022,Thai Express,Thai Express,112 w grand river rd,48116,MI,,(810) 225-3656
-,-,-,57080,351 loucks17404,Group A,10/31/2022,GREAT WALL,GREAT WALL,351 loucks rd #28,17404,PA,,(717) 843-9933
-,-,-,57081,7570 m-3648189,Group A,10/31/2022,Dragon Court,Dragon Court,7570 m-36,48189,MI,,(810) 231-3883,Not a decision maker,"3/12/2024, 1:08 PM"
-,-,-,57082,448 w main15666,Group A,10/31/2022,GREAT WALL CHINESE RESTAURANT,GREAT WALL CHINESE RESTAURANT,448 w main st,15666,PA,(718) 314-7032,(724) 547-3450,Cannot contact lead,"3/27/2024, 4:04 PM"
-,-,-,57083,102 cabela48131,Group A,10/31/2022,Great Wok,Great Wok,102 cabelas blvd w,48131,MI,,(734) 529-3368
-,-,-,57084,3323 w ste48144,Group A,10/31/2022,Ichiban Sushi & Chinese Cuisine,Ichiban Sushi & Chinese Cuisine,3323 w sterns rd,48144,MI,,(734) 854-8880,No Interest to talk to sales,"4/22/2024, 3:09 PM"
-,-,-,57085,33288 six 48152,Group A,10/31/2022,Pan Pan,Pan Pan,33288 six mile rd,48152,MI,,(734) 421-9260,No Interest to talk to sales,"4/16/2024, 2:59 PM"
-,-,-,57086,863 upland19015,Group A,10/31/2022,GREAT WALL RESTAURANT,GREAT WALL RESTAURANT,863 upland ave,19015,PA,,(610) 872-0330,Cannot contact lead,"1/11/2024, 8:24 PM"
-,-,-,57087,6906 n roc48306,Group A,10/31/2022,Golden House Rochester Hills,Golden House Rochester Hills,6906 n rochester rd,48306,MI,,(248) 266-6556
-,-,-,57088,900 s roch48307,Group A,10/31/2022,Thai Inn,Thai Inn,900 s rochester rd,48307,MI,,(248) 656-0287
-,-,-,57089,427 n main48381,Group A,10/31/2022,Bangkok City Thai Cuisine,Bangkok City Thai Cuisine,427 n main st,48381,MI,,(248) 684-5444,Cannot contact lead,"4/21/2024, 3:24 PM"
-,-,-,57090,3211 bay r48603,Group A,10/31/2022,Peter and Chia's House | A Thai & Chinese Eatery,Peter and Chia's House | A Thai & Chinese Eatery,3211 bay rd,48603,MI,,(989) 793-6997,Cannot contact lead,"10/5/2023, 11:08 AM"
