,,,,,,,,,,,,,,TOTAL Y,TOTAL N,
EXNAME,ENNAME,ADDRESS1,STATE,FORWARDEDPHONE,CONTACTPHONE2,BUSINESS_PHONE__C,STATUS,Found in List (Y/N),Need Update,State,Updated Address,Business Phone,Mobile Phone,166,3075,3241
R85989,*WOK EXPRESS*,12209 Dorsett Road,MO,3142916821,3147573996,(314) 291-6821,new,Y,,,12209 Dorsett Rd,(314)291-6821,,,,
R85988,*NEW YUNG HONG*,271 W. Kingsbridge Rd,NY,7185490030,9178878308,(718) 549-0030,new,Y,,,271 W Kingsbridge Rd,(718) 549-0030,,,,
R85987,*CHINA 1*,411 West Agency,IA,3197523888,3194571991,(319) 752-3888,new,N,,,, ,,,,
R85986,*^GOLDEN 1^*,4201 Neshaminy Blvd,PA,2159538887,9174966556,(215) 953-8887,new,Y,,,4201 Neshaminy Blvd,(215) 953-8888,,,,
R85985,*HOUSE DYNASTY*,7550 Telegraph Rd.,VA,7039225210,2028348211,(703) 922-5210,new,Y,,,7550 Telegraph Rd,(703) 922-5210,,,,
R85983,*^AB FISH MARKET^*,1878 3rd Ave.,NY,6465967878,7189255578,(646) 596-7878,new,N,,,, ,,,,
R9999998XX4,*CHEF KING*,5628 Old Shell Rd,AL,1111111111,,,new,N,,,, ,,,,
R999999823,*CHEF KING*,5628 Old Shell Rd,AL,2223338888,2223339999,,new,N,,,, ,,,,
R9999998XX2,*ASIAN POT HARBOR*,16537 W 159,AL,5557778899,5557778800,,new,N,,,, ,,,,
R9999998XX1,*ASIAN POT HARBOR*,16537 W 159,IL,5557778899,5557778800,,new,N,,,, ,,,,
R85979,*EAST CHINA*,2108 Kimball Ave.,IA,3192263333,3194335756,(319) 226-3333,new,N,,,, ,,,,
R85982,*FLYING DRAGON*,368 N Broad St,OH,9378799999,9174557568,(937) 879-9999,new,Y,,,368 N Broad St,(937) 879-9999,,,,
R85978,*NO 1 CHINA*,505 N. Main St.,SC,8642354250,6462405253,(864) 235-4250,new,Y,,,505 N Main St,(864) 235-4250,,,,
R85977,*^CLASSIC ASIA^*,611 Station Ave.,NJ,8563238207,8563984225,(856) 323-8207,new,Y,,,611 Station Ave,(856) 323-8207,,,,
R85976,*HONG KONG II*,2525 S. Monroe St. #26,FL,8508779930,6464729365,(850) 877-9930,new,Y,,,2525 S Monroe St,(850) 877-9930,,,,
R85975,*ORIENTAL GOURMET*,3614 Route 378,PA,6108683333,9175187292,(610) 868-3333,new,N,,,, ,,,,
R85972,*CHINA PALACE*,1581 S. Sumter Blvd,FL,9414291780,7188012826,(941) 429-1780,new,N,,,, ,,,,
R85971,*^HAPPY CHINA^*,11355 Tara Blvd,GA,7704716388,3473691567,(770) 471-6388,new,Y,,,11355 Tara Blvd,(770) 471-6388,,,,
R85966,*CHINA EIGHT*,523 E. Main St.,NC,9104282898,9176690176,(910) 428-2898,open,Y,,,523 E Main St,(910) 428-2898,,,,
R85969,*ASIAN CUISINE*,1A - 800 Central Ave.,SK,3064777783,6399980901,(306) 477-7783,new,N,,,, ,,,,
R190355,TEST RESTO ROS 35,3030 Northern Blvd,NY,1111111111,1111111111,,reject,N,,,, ,,,,
R190354,TEST RESTO ROS 35,Testing,AL,1111111111,,,reject,N,,,, ,,,,
R81040,TEST RESTO 40,3030 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R190353,TEST RESTO ROS 34,3030 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R190352,TEST RESTO ROS 33,3030 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R123943,Test Auto,3030 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R190351,TEST RESTO ROS 32,3030 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R081038,TEST RESTO 38,Testing,AL,4103631878,9733456838,,reject,N,,,, ,,,,
R19035,TEST RESTO ROS 32,3030 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R85968,*AMAZING WOK*,267 Lark Street,NY,5184343946,5184308190,(518) 434-3946,open,N,,,, ,,,,
R85967,*CHINA GARDEN*,900 Kinderkamack Rd,NJ,2012628866,2013678803,(201) 262-8866,new,Y,,,900 Kinderkamack Rd,(201) 262-8866,,,,
R85965,*CHINA HOUSE*,255 Rivertown Shops Drive,FL,9043422478,7185367630,(904) 342-2478,new,N,,,, ,,,,
R85963,*XING WANG*,2B Pennichuck Square,NH,6038804499,9174028677,(603) 880-4499,new,N,,,, ,,,,
R85962,*JASMINE ASIAN CAFE*,2171 S Grape St.,CO,3038588833,3036692562,(720) 618-1887,new,Y,,,2171 S Grape St,(720) 415-0937,,,,
R85961,*^EASTERN KITCHEN & SUSHI^*,5226 4th St N,FL,7279146161,8135685064,(727) 914-6161,new,Y,,,5226 4th St N,(727) 914-6161,,,,
R85959,*GOLDEN DRAGON*,173 Holly Rd.,PA,6103695550,2159398841,(610) 369-5550,new,N,,,, ,,,,
R85958,*^CHINA STAR^*,1256 Norman Eskridge Hwy,DE,3029905085,3027271149,(302) 990-5085,open,Y,,,1256 Norman Eskridge Hwy,(302) 990-5085,,,,
R85956,*CHINA 88*,5370 Campbellton Fairburn Rd,GA,7709648288,6785595533,(770) 964-8288,open,N,,,, ,,,,
R85957,*^SAPPORO^*,1028 Pearson Dr,WI,7153812999,6467120143,(715) 381-2999,new,Y,,,1028 Pearson Dr,(715) 381-2999,,,,
R85955,*FIRST WOK*,5370 Broadway,IN,2199851838,9179072019,(219) 985-1838,new,Y,,,5370 Broadway,(219) 985-1838,,,,
R85953,*ASIAN BAMBOO*,906 Marlton Pike West,NJ,8562162333,9179728626,(856) 216-2333,new,Y,,,906 Marlton Pike W,(856) 216-2333,,,,
R85952,*FOOD ZONE*,7023 Dexter Ann Arbor Rd,MI,7344263410,7343530518,(734) 426-3410,open,Y,,,7023 Dexter Ann Arbor Rd,(734) 426-3410,,,,
R85951,*BEIJING KITCHEN*,342 State St. SE,MI,6164588383,6168225615,(616) 458-8383,open,N,,,, ,,,,
R85938,*FOLIAGE*,43-45 7th Ave.,PA,5702822225,9172166937,(570) 282-2225,open,N,,,, ,,,,
R85937,*HONG KONG III*,45315 Alton Ln.,MD,3018621398,3014758855,(301) 862-1398,open,N,,,, ,,,,
R85939,*CHINA WOK*,5109-A Wrightsboro Road,GA,7068691888,9173533038,(706) 869-1888,new,N,,,, ,,,,
R85936,*MR SZE*,3010 Hwy 80 E,GA,9127488485,9173028626,(912) 748-8485,open,Y,Y,,3010 US Highway 80,(912) 748-8485,,,,
R85935,*^DRAGON'S SPRING^*,2642 Pleasant Hill Rd.,CA,9252878899,7186661301,(925) 287-8899,open,Y,,,2642 Pleasant Hill Rd,(925) 287-8899,,,,
R85XXX,MAIN GARDEN 2,123 ABC St.,NJ,8888888888,9734581888,,closed,N,,,, ,,,,
R85933,*EMPIRE SZECHUAN*,341 North Orange Ave.,FL,4078391236,9175177735,(407) 839-1236,open,N,,,, ,,,,
R85932,*^WINGS & SEAFOOD^*,1204 Reisterstown Rd,MD,4435013180,9175159390,(443) 501-3180,new,N,,,, ,,,,
R85929,*TUNG HING KITCHEN*,4057 Asbury Ave,NJ,7329188989,9176096623,(732) 918-8989,new,N,,,, ,,,,
R85928,*KING HOUSE*,201 N. 5th,KS,9136827661,9137753448,(913) 682-7661,open,N,,,, ,,,,
R85927,*CHINA STAR*,630-1 Mastic Rd.,NY,6317728800,9179771111,(631) 772-8800,open,N,,,, ,,,,
R85926,*HAPPY CHINA*,2458 Limestone Pkwy,GA,7702871882,9292945224,(770) 287-1882,open,Y,,,2458 Limestone Pkwy,(770) 287-1882,,,,
R85925,*CHINA KITCHEN*,935 N Beneva Rd,FL,9419536885,6463211978,(941) 953-6885,open,Y,,,935 N Beneva Rd,(941) 702-8360,,,,
R85923,^*LUCKY DRAGON*^,318 Broadway,MA,7815923600,6174078860,(781) 592-3600,open,Y,,,318 Broadway,(781) 595-8008,,,,
R12345Testing2,TEST DELIVERY RESTO 2,69-11 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R85922,*CHINA ONE*,3209 S. Franklin Street,IN,2198727722,6465494349,(219) 872-7722,new,N,,,, ,,,,
R85921,*CHINA ONE*,1393 Big Bend Rd.,MO,6368251666,6363758293,(636) 825-1666,new,Y,,,1393 Big Bend Rd,(636) 825-1666,,,,
R85919,*WAH WAH*,8243 Hull St. Road,VA,8042769368,8048686999,(804) 276-9368,open,Y,,,8243 Hull Street Rd,(804) 276-9368,,,,
R85918,^GOLDEN CITY^,2601 Monticello Ave,VA,7576225858,7202994230,(757) 622-5858,open,Y,,,2601 Monticello Ave,(757) 622-5858,,,,
G83113,CHEN SEAFOOD(GREENDOT TESTING),449 E Mills Ave,LA,9172852220,,,new,N,,,, ,,,,
G82896,OISHI JAPANESE FOOD(GREENDOT TESTING),2526 67th Ave Loop,MS,9172852220,,,new,N,,,, ,,,,
G88956,YUAN YUAN(GREENDOT TESTING),1010 W Broadway Ave,MN,9172852220,,,new,N,,,, ,,,,
G88752,CHINA GOURMET (GREENDOT TESTING),"15275 Collier Blvd.,",FL,9172852220,,,new,N,,,, ,,,,
R85917,*CHINA UNO*,90 W. Hickpochee Ave.,FL,8636120888,6813859373,(863) 612-0888,new,N,,,, ,,,,
R85916,*NO. 1*,1119 W. Michigan Ave.,MI,2692730006,9172383065,(269) 273-0006,new,N,,,, ,,,,
R85915,*HOT WOK*,6765 Dunn Ave,FL,9047648887,9172913222,(904) 764-8887,new,N,,,, ,,,,
R85913,*OSMAY HOUSE*,9543 East Fowler Ave.,FL,8139866142,9178280055,(813) 986-6142,new,Y,,,9543 E Fowler Ave,(813) 317-9184,,,,
R85912,*CHINA WOK*,2485 N. Columbia St,GA,4782952013,7708289496,(478) 295-2013,new,N,,,, ,,,,
R85911,*^DUO MODERN JAPANESE CUISINE^*,175 S Broadway,NY,5185808881,5185387806,(518) 580-8881,open,N,,,, ,,,,
R85909,*BEST WOK*,11231 Old Highway 63,MS,6019478600,9178556221,(601) 947-8600,open,N,,,, ,,,,
R85908,*HONG KONG*,107 South College Ave,IL,3095823390,9179815232,(309) 582-3390,open,N,,,, ,,,,
R85907,*CHINA KITCHEN*,3001 Johnson St,FL,9549610766,7186889488,(954) 961-0766,open,N,,,, ,,,,
R1234567890,TEST RESTO ROS 31,3030 Northern Blvd,NY,1111111111,,,new,N,,,, ,,,,
R85906,*^EDO HIBACHI^*,10120 Two Notch Rd,SC,8034621500,9174428815,(803) 462-1500,open,N,,,, ,,,,
R85905,*BLESSINGS II GO*,2586 Whitney Ave,CT,2032302726,2036067471,(203) 230-2726,open,N,,,, ,,,,
R85903,*GREEN GARDEN*,949 Teaneck Rd,NJ,2018629998,2016475852,(201) 862-9998,new,N,,,, ,,,,
R85902,*^RED CRAB DELRAY^*,4979 W Atlantic Ave,FL,5617742997,6262427878,(561) 774-2997,new,N,,,, ,,,,
R85901,*LEE'S ASIAN BISTRO*,1408 Handlir Dr,MD,4102737981,6463619140,(410) 273-7981,new,N,,,, ,,,,
R85899,*NEW CHINA*,2218 W Main St,MS,6628448488,9173612099,(662) 844-8488,open,N,,,, ,,,,
R85898,*^OEC JAPANESE EXPRESS^*,2326 McFarland Blvd. E,AL,2054623381,9042260254,(205) 462-3381,open,N,,,, ,,,,
G82991,AOMI SUSHI (Greendot testing),3717 Airport Blvd NW,NC,9172852220,3042808033,,new,N,,,, ,,,,
R85895,*^GOLDEN LEAF^*,9208 W Alameda Ave,CO,3039873360,6265053666,(303) 987-3360,open,N,,,, ,,,,
R85893,*^SHOKUDO^*,469 Route 17,NJ,1111111111,6462020495,installing now,new,N,,,, ,,,,
R85897,*PEKING GOURMET*,907 N Main Rd,NJ,8566910088,8569743442,(856) 691-0088,open,N,,,, ,,,,
R85896,^SWEET BAMBOO^,146-12 Hillside Ave,NY,7182869510,5857655265,(718) 286-9510,open,N,,,, ,,,,
R85892,*^CHINA STAR^*,436 Prospect St.,MA,9786830702,9789738828,(978) 683-0702,open,N,,,, ,,,,
R85891,*GREAT WALL*,1591 E Bridge St,CO,3036598286,3472499341,(303) 659-8286,open,N,,,, ,,,,
R85889,*^JIN LONG^*,370 S Walnut St,PA,6108376288,9175285695,(610) 837-6288,open,N,,,, ,,,,
R85888,*HIBACHI CHINESE*,4666 S. Packard Ave.,WI,4144818863,4144818863,(414) 481-8863,open,N,,,, ,,,,
R85887,*CHINESE CHEF*,850 College Street,GA,4783740809,6787095228,(478) 374-0809,new,N,,,, ,,,,
R85886,*^JOHN HOLLY'S ASIAN BISTRO^*,9232 Park Meadows Drive,CO,3037689088,9703082410,(303) 768-9088,new,N,,,, ,,,,
R85885,*^TERRYIN^*,358 Snyder Ave.,PA,2152182888,9172241104,(215) 218-2888,open,N,,,, ,,,,
R85883,*^SEAFOOD GRILLE^*,1580 W Government St,MS,7692415228,6012609378,(769) 241-5228,open,N,,,, ,,,,
R85882,*CHINA STAR*,107 Main St,MA,9783884384,9293018334,(978) 388-4384,open,Y,,,107 Main St,(978) 388-4384,,,,
R85881,*KINGDOM BUFFET*,2312 Crest View Dr,WI,7153770300,6123096126,(715) 377-0300,open,N,,,, ,,,,
R85879,*#1 KITCHEN*,2030 Nickerson Blvd.,VA,7578513388,7575287493,(757) 851-3388,open,N,,,, ,,,,
R85877,*NO.1*,7 Juliustow Road,NJ,6098938868,6093465322,(609) 893-8868,open,N,,,, ,,,,
R85878,^CITY DRAGON^,5700 W Market St,NC,3362942388,3362943688,(336) 294-2388,open,N,,,, ,,,,
R85876,*PRECIOUS CHINESE RESTAURANT *,2005 State Route 104,NY,3153331199,9178067255,(315) 333-1199,open,N,,,, ,,,,
R85875,*GOOD FRIEND*,170 Bloomfield Ave.,NJ,9734854196,9174859882,(973) 485-4196,open,N,,,, ,,,,
R85873,*HUNAN GARDEN*,"N. 12th & Liberty St, Liberty Part",PA,6104323509,7189020537,(610) 432-3509,new,N,,,, ,,,,
R85872,*^FIERY CRAB CHALMETTE^*,8402 W Judge Perez Dr,LA,5049001442,6466888695,(504) 900-1442,open,N,,,, ,,,,
R18458,TEST RESTO ROS 30,3030 Northern Blvd,NY,1111111111,,,test,N,,,, ,,,,
R12345Testing,TEST DELIVERY RESTO,69-11 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R85871,*KING CHEF*,1833 N. Pine Island Road,FL,9545778778,9547369179,(954) 577-8778,new,N,,,, ,,,,
R85803,^SUSHI Q2.5^,9163 Reisterstown Rd,MD,4439345027,6463509548,(443) 934-5027,open,N,,,, ,,,,
R18457,TEST RESTO ROS 29,3030 Northern Blvd,NY,1111111111,,,test,N,,,, ,,,,
R85869,*CHINA WONG*,601 Oriskany Blvd,NY,3157686688,2123807728,(315) 768-6688,open,N,,,, ,,,,
R85863,*^CHONG QING HOUSE^*,402 E Green St,IL,2173281888,6464208953,(217) 328-1888,suspended,N,,,, ,,,,
R8XXX5,*XXXCHONG QING HOUSEXXX*,402 E Green St.,IL,2173281888,6464208953,,reject,N,,,, ,,,,
R85868,*TASTE DELICIOUS*,630 W Ridge Rd,NY,5856211230,3472657588,(585) 621-1230,open,N,,,, ,,,,
R85867,*^ASIAN CUISINE^*,4019 Highway 66S,TN,4235001188,9175178661,(423) 500-1188,open,N,,,, ,,,,
R18619,TEST RESTO ROS 27,3030 Northern Blvd,NY,1111111111,,,new,N,,,, ,,,,
R85866,ASIAN STAR,5613 Old Troy Pike,OH,9372331111,9175872407,(937) 233-1111,open,N,,,, ,,,,
R85865,*JIN JIN CHINESE RESTAURANT*,115 Pearl St.,SC,8433932355,8432069773,(843) 393-2355,open,N,,,, ,,,,
R85862,*CHINA STAR*,"550 E. North Ave., (439 Road)",NJ,9083550575,6463182903,(908) 355-0575,open,N,,,, ,,,,
R85861,^*FANCY TASTE OF CHINA*^,#1160 137 Ave. SE,AB,4032785566,4036898335,(401) 278-5566,new,N,,,, ,,,,
R85859,*^EDDY'S^*,10216 Lake Arbor Way,MD,3018086666,2404234707,(301) 808-6666,open,N,,,, ,,,,
R85839,*TASTY OF CHINA*,1056 S Black Horse Pike,NJ,8567401212,8563613000,(856) 740-1212/(856) 740-1202,new,N,,,, ,,,,
R85858,*CHINA HOUSE*,240 Social St.,RI,4013561443,6462360407,(401) 356-1443,open,N,,,, ,,,,
R85857,*OCEAN PEARL*,441 W. Victory Way,CO,9708248888,9293169995,(970) 824-8888,open,N,,,, ,,,,
R85856,*^KING PHOENIX^*,103 Washington Ave,NJ,6099658789,9173612533,(609) 965-8789,open,N,,,, ,,,,
R85855,*CHINA SAIL*,65 Manton Ave.,RI,4015532000,3478227852,(401) 553-2000,open,N,,,, ,,,,
R85853,*CHINA WOK*,14361 Spring Hill Dr,FL,3526667898,9172144678,(352) 666-7898,open,N,,,, ,,,,
R85852,*CHINA ONE*,3218 US Highway 27 South,FL,8633148889,9178387797,(863) 314-8889,open,N,,,, ,,,,
R85851,*HONG KONG*,10 N. Main Street,NY,5852375500,9172264304,(585) 237-5500,open,N,,,, ,,,,
R85838,*CHINA KITCHEN*,"7091 Collins Road,",FL,9047231117,3472855306,(904) 723-1117,open,N,,,, ,,,,
R85765,*^CHINA TANGO^*,2850 Bicentennial Pkwy,NV,7025656002,6263421619,(702) 565-6002,open,N,,,, ,,,,
R85837,*^GOLDEN WOK OF BLOOMINGTON^*,617 W. 98th St.,MN,9528880833,7184045716,(952) 888-0833,open,N,,,, ,,,,
R18586,TEST RESTO ROS 28,3030 Northern Blvd,NY,1111111111,1111111111,,reject,N,,,, ,,,,
R18585,TEST RESTO ROS 27,3030 Northern Blvd,NY,1111111111,1111111111,,new,N,,,, ,,,,
R85836,CHINA KITCHEN,3521 Pkwy Village Cir,NC,3367713020,3368298166,(336) 771-3020,open,N,,,, ,,,,
R85835,*^THE EAST ASIAN CUISINE^*,305 Stockbridge Rd.,MA,4135288850,3475365106,(413) 528-8850,open,N,,,, ,,,,
R85832,*^RED LANTERN*^,44 Worchester Drive,WV,3042742388,7189081788,304-274-2388/304-274-3887,open,N,,,, ,,,,
R85833,*LEONG'S CHINESE CARRYOUT*,13330 Gratiot Ave,MI,3133723232,5869954152,(313) 372-3232,open,N,,,, ,,,,
R85831,*CHINA RESTAURANT*,1230 6th Street,KS,9137554460,6463718258,(913) 755-4460,open,N,,,, ,,,,
R85829,CHINA HOUSE,4891 Princeton Rd,OH,5138961688,6462508766,(513) 896-1688,open,N,,,, ,,,,
R85828,*^GINGER SEAFOOD^*,118 Washington St.,MA,9785945558,6175106105,(978) 594-5558,new,N,,,, ,,,,
R85826,*^CHEN'S KITCHEN^*,3538 Tidewater Dr.,VA,7576226633,9173066861,(757) 622-6633,open,N,,,, ,,,,
R85822,*LEE'S GARDEN*,298 Restigouche Rd,NB,5063578822,5064702886,(506) 357-8822,new,N,,,, ,,,,
R85827,*HAPPY KITCHEN*,6671 E Baseline Rd,AZ,4806648688,4807437056,(480) 664-8688,open,N,,,, ,,,,
R85825,*^PEKING HOUSE^*,176 Union St,CT,8608752088,6466961771,(860) 875-2088,open,N,,,, ,,,,
R85823,SQUARE GARDEN,2320 N Market St,DE,3026581188,3023323833,(302) 658-1188,open,N,,,, ,,,,
R85821,*SUNNY GARDEN*,6460 E. Yale Ave.,CO,3036918830,7209990788,(303) 691-8830,open,N,,,, ,,,,
R85819,CHINA KING,3827 Nazareth Pike,PA,6109549833,6463273532,(610) 954-9833,open,N,,,, ,,,,
R85818,*CHINA WOK*,3358 Canoe Creek Road,FL,4078928880,4077383900,(407) 892-8880,new,N,,,, ,,,,
R85817,*^JADE HOUSE^*,1852 Smith St,RI,4013536688,8573953736,(401) 353-6688,open,N,,,, ,,,,
R85816,RED HOUSE,1202 Azalea Ave,VA,8042668333,8046156699,(804) 266-8333,open,N,,,, ,,,,
R85815,*CHINA SPRING*,2613 8th Ave S,TN,6153863892,3472689758,(615) 386-3892,open,N,,,, ,,,,
R85XXXX,*CHINA SPRING*,2613 8th Ave S,TN,6153863892,3472689758,,reject,N,,,, ,,,,
R85813,*RAINBOW GARDEN*,407 South Main Street,NC,9195548839,6463382656,(919) 554-8839,open,N,,,, ,,,,
R85812,*GREEN TREE*,14236 West Newberry Road,FL,3523319920,6467260152,(352) 331-9920,open,N,,,, ,,,,
R85811,*^SEN SUSHI HIBACHI^*,303 Bancario Rd,AR,8707397342,9172161985,(870) 739-7342,new,N,,,, ,,,,
R85811,*^SEN SUSHI HIBACHI^*,303 Bancario Rd,AR,8707397342,9172161985,(870) 739-7342,new,N,,,, ,,,,
R85811,*^SEN SUSHI HIBACHI^*,303 Bancario Rd,AR,8707397342,9172161985,(870) 739-7342,new,N,,,, ,,,,
R85809,*^ASIAN CUISINE & SEAFOOD^*,8035 Snouffer School Road,MD,2402436921,7036597107,(240) 243-6921,open,N,,,, ,,,,
R85808,^CHUN VEGETARIAN^,582 Nostrand Ave.,NY,3476278080,7328383369,(347) 627-8080,open,N,,,, ,,,,
R85807,^CHINA GARDEN^,1948 North Columbia St.,GA,4784543449,4784148879,(478) 454-3449,open,N,,,, ,,,,
R85806,CHINA GARDEN,2035 Bahia Vista Street,FL,9419535888,9178155988,(941) 953-5888,open,N,,,, ,,,,
R85805,*^PEKING HOUSE RESTAURANT^*,7356 Rhea County Hwy,TN,4237751011,6465209149,(423) 775-1011,open,N,,,, ,,,,
R18582,TEST RESTO ROS 26,3030 Northern Blvd,NY,1111111111,,,suspended,N,,,, ,,,,
