fill_info,State,Contact_Title,Year_Established,Employee_Size,Country,Campaign_Name,New_Category
No,DC,Unkown,1970,9,USA,Apple,Unknown
No,DC,Unkown,1970,9,USA,Apple,Unknown
Yes,NJ,Unknown,1988,4,USA,Apple,Unknown
No,CA,Unkown,1988,9,USA,Apple,Unknown
No,MA,Unkown,1994,9,USA,Apple,Unknown
No,MA,Unkown,1994,9,USA,Apple,Unknown
No,NY,Unknown,1996,4,USA,Apple,Unknown
No,NY,Unkown,1997,9,USA,Apple,Unknown
No,CA,Unkown,2000,4,USA,Apple,Unknown
No,GA,Unknown,2002,4,USA,Apple,Unknown
Yes,OH,Unknown,2003,4,USA,Apple,Unknown
No,FL,Unkown,2003,4,USA,Apple,Unknown
No,UT,Unkown,2007,9,USA,Apple,Unknown
No,NV,Unknown,2008,9,USA,Apple,Unknown
No,TX,Unkown,2009,19,USA,Apple,Unknown
No,IL,Unkown,2012,9,USA,Apple,Unknown
No,MN,Unkown,2013,4,USA,Apple,Unknown
No,TX,Unkown,2015,19,USA,Apple,Unknown
No,TX,Unknown,2016,9,USA,Apple,Unknown
No,FL,Unkown,2017,9,USA,Apple,Unknown
No,FL,Unkown,2017,9,USA,Apple,Unknown
No,FL,Unkown,2017,9,USA,Apple,Unknown
No,FL,Unknown,2018,4,USA,Apple,Unknown
No,NV,Unknown,2021,9,USA,Apple,Unknown
No,CA,Unknown,NA,1,USA,Apple,Chinese
No,NJ,Unknown,NA,1,USA,Apple,Japanese
No,LA,Unknown,NA,1,USA,Apple,Japanese
No,MI,Unknown,NA,2,USA,Apple,Japanese
No,OR,Unknown,NA,2,USA,Apple,Chinese
No,OR,Unknown,NA,2,USA,Apple,Chinese
No,NJ,Unknown,NA,2,USA,Apple,Cajun_Seafood
No,CA,Unkown,NA,2,USA,Apple,Chinese
No,SC,Unknown,NA,2,USA,Apple,Chinese
No,FL,Unknown,NA,2,USA,Apple,Chinese
No,CA,Unknown,NA,3,USA,Apple,Japanese
No,DE,Unknown,NA,3,USA,Apple,Chinese
No,VA,Unknown,NA,3,USA,Apple,Asian_Fusion
No,AB,Unkown,NA,4,Canada,Apple,Chinese
No,ON,Unkown,NA,4,Canada,Apple,Chinese
No,ON,Unkown,NA,4,Canada,Apple,Chinese
No,ON,Unkown,NA,4,Canada,Apple,Japanese
No,ON,Unkown,NA,4,Canada,Apple,Japanese
No,ON,Unkown,NA,4,Canada,Apple,Japanese
No,ON,Unkown,NA,4,Canada,Apple,Chinese
No,AB,Unkown,NA,4,Canada,Apple,Chinese
Yes,BC,Unkown,NA,4,Canada,Apple,Chinese
No,BC,Unkown,NA,4,Canada,Apple,Chinese
No,BC,Unkown,NA,4,Canada,Apple,Chinese
No,ND,Unkown,NA,4,USA,Apple,Unknown
No,IN,Unkown,NA,4,USA,Apple,Unknown
No,OH,Unkown,NA,4,USA,Apple,Unknown
No,TX,Unkown,NA,4,USA,Apple,Unknown
No,NY,Unknown,NA,4,USA,Apple,Unknown
No,MO,Unknown,NA,4,USA,Apple,Unknown
No,LA,Unknown,NA,4,USA,Apple,Unknown
No,IN,Unknown,NA,4,USA,Apple,Unknown
No,NJ,Unknown,NA,4,USA,Apple,Unknown
No,PA,Unknown,NA,4,USA,Apple,Unknown
